source_id,date,category,title,author,text
,"March 09, 2020",nCov,Cebu to start screening domestic passengers after coronavirus cases confirmed in Metro Manila,Ryan Macasero,"
SCANNING. Scanners at the Mactan Cebu International Airport check temperatures of arriving passengers. File photo by Gelo Litonjua/Rappler   CEBU CITY, Philippines – The Mactan Cebu International Airport’s domestic terminal will add thermal screening to domestic flights after 10 cases of the novel coronavirus were confirmed in Metro Manila.
Bureau of Quarantine Central Visayas chief Dr. Terrence Anthony Bernejo said in a press conference on Monday, March 9, that currently, only passengers coming out of the domestic airport are being scanned for high fever.
As of Monday, Department of Health Region 7 head Dr. Jaime Bernadas said that there are no more patients under investigation or persons under monitoring in Central Visayas.
Cebu Governor Gwendolyn Garcia, who held an emergency meeting on the novel coronavirus outbreak on Monday afternoon, expressed concern that  none of the confirmed cases came from countries that were included in the Philippines’ travel ban.After the travel ban on mainland China and special administrative regions was announced in late January, Cebu has been requiring returning Filipinos from these areas to go under quarantine. (READ: Cebu to quarantine passengers from mainland China for 14 days)
Among the confirmed cases, one was Taiwanese, another a Filipino with travel history to Japan, and an American male who came from South Korea. (READ: Coronavirus cases in Philippines rise to 10)  Garcia is meeting with stakeholders to come up with more stringent containment strategies and response plans after President Rodrigo Duterte declared a state of public health emergency earlier on Monday. (READ: Duterte declares state of public health emergency amid rise in coronavirus cases)   The first confirmed COVID-19 case traveled through Central Visayas, including Cebu and Dumaguete, before going to Manila.  The 26 South Koreans from virus-hit Daegu City, South Korea, were also quarantined in Cebu. According to recent data, the tourism-reliant region has taken a hit due to the novel coronavirus travel bans. The Department of Tourism said hotel occupancies in Cebu and Bohol have dropped 20% and 35%, respectively. (READ: Hotel occupancy down in Cebu due to coronavirus travel ban)
 So far, the DOH has probed a total of 700 patients for possible infection nationwide – 48 have been admitted in health facilities across the country, while 646 have been discharged.
At least 89 Filipinos outside the country have contracted the virus since the outbreak began. These cases included 4 cases in Hong Kong, 80 from the Diamod Princess cruise ship that docked in Japan, 3 in Singapore, and 2 in the United Arab Emirates.
As of Sunday, March 8, 40 Filipinos from the Diamond Princess,1 in Singapore, and 2 in Hong Kong have since recovered.  
Globally, the death toll from the virus was pegged at 3,803, while over 109,000 infections have been confirmed across 104 countries. –Rappler.com "
,"March 09, 2020",nCov,Boracay combats coronavirus impact with discounts,Ralf Rivas,"
BUSINESS. Shops struggle to remain open in Boracay due to the novel coronavirus. Photo by Ralf Rivas/Rappler 
AKLAN, Philippines – Businesses in Boracay have slashed prices by as much as 50%, just to stay open and attract local tourists as the novel coronavirus spooks the foreign market.
One can now enjoy a sumptuous buffet under P300. Some luxury hotels offer rooms for as low as P3,800 a night (before taxes) from the normal rate of P8,000 to P10,000.
Boracay is now hoping for a surge in local tourists to offset losses from the decline in foreign visitors.
Total tourists in January dwindled by 40% from 172,695 visitors to just 103,834, according to the Malay Municipal Tourism Office.
Bulk of the tourists that visit Boracay are from China. With the travel ban in place, businesses relying mostly on the Chinese market have shut down.
Domestic boost
Domestic tourists increased by 6% to 117,359 in the first two months of 2020. However, this rate is still not enough to keep businesses open.
While prices have gone down, businesses are relying on volume just to break even. So far, the strategy has not worked.
""It's probably the most empty I've seen in almost 20 years of coming to the island,"" said Nowie Potenciano, a local business owner.
He has already closed one restaurant and moved the staff there to his 5 other shops that are struggling to remain open.
""We've heard businesses ask their staff to go on leave for a large amount of time. And when they come back, they don't have long duty days either,"" Potenciano said.
""We're lucky that we haven't reached that point yet. But at the rate that it has been going down, the situation is not looking good,"" he added.
I’m here in beautiful Boracay on a Friday night. But where are the people? Stores close around 10pm, travel bans due to the novel coronavirus really affecting local tourism here. @Rapplerdotcom pic.twitter.com/tOuM9iqeyy— Ralf Rivas (@RalfRivas) March 6, 2020
 
Messaging mess
The Department of Tourism is set to spend over P800 million to promote tourist destinations to countries which do not have reported cases of the novel coronavirus.
But the Department of Health (DOH) is advising the public not to go to crowded places.
What should the public really do?
Health Secretary Francisco Duque III clarified on Monday, March 9, that prior to the Philippines declaring local transmission of the virus, it was alright to visit crowded places like malls and hotels, as long as precautionary measures are in place.
He said establishments should have sufficient disinfectants and thermal machines at entry points.
However, government agencies will have to further refine their messaging and protocols now, as local transmission has been confirmed.
President Rodrigo Duterte declared a state of public health emergency on Monday. The Philippines now has 10 confirmed cases of the virus – 5 of them foreigners – while at least 91 Filipinos abroad were found to be infected. – Rappler.com "
,"March 09, 2020",nCov,Cebu Pacific execs take pay cut to save jobs as coronavirus hurts profits,Ralf Rivas,"
BUDGET CARRIER. An aircraft of Cebu Pacific. File photo from Cebu Pacific 
MANILA, Philippines – Senior management of budget airline Cebu Pacific voluntarily took a pay cut to avoid layoffs, as the novel coronavirus continues to bite into its profits.
""It's the least that can be done given the challenging situation and it's the right thing to do,"" said Cebu Pacific spokesperson Charo Logarta Lagamon in a text message to Rappler.
Lagamon did not disclose just how drastic the pay cut was, but Gokongwei-led Esquire magazine reported that officials took a 10% cut.
Cebu Pacific expects losses to reach as much as P4 billion due to travel bans and fewer bookings.
It is now relying on volume to offset losses, as it had already offered lower rates to encourage travel. (READ: Airlines grim as trade group sees potential $113-billion hit from virus)
Cebu Pacific earned P7.1 billion in net income in the 1st half of 2019, an increase of 115.7% from the same period in 2018.
In 2018, it reported a 50.6% decline in its earnings due to a ""challenging macro environment.""
Rival Philippine Airlines has already let go of around 300 employees, as the coronavirus aggravated its losses.
In a bid to help local airlines, the country's aviation authorities have decided to defer their fees for takeoff, landing, and parking for a year. – Rappler.com
  "
,"March 09, 2020",nCov,PH airports to defer charging local airlines for a year due to coronavirus,Aika Rey,"
MAIN GATEWAY. Scene at Ninoy Aquino International Airport Terminal 1. File photo by Angie de Silva/Rappler  
MANILA, Philippines – Aviation officials announced on Monday, March 9, that payment of charges for takeoff, landing, and parking will be deferred for local airlines, as the novel coronavirus cripples the industry.
In a press briefing on Monday, Civil Aviation Authority of the Philippines Director General Jim Sydiongco said the payment will be deferred for one year.
""We have considered the deferring [of] payment [for] landing and parking while the impact of COVID-19 is present, or even up to a year. Deferment or payable after one year,"" Sydiongco said, referring to the disease caused by the virus.
""Our timeline is, we look at it up to a point of a year of deferment, and payment after one year,"" he added.
Manila International Airport Authority General Manager Ed Monreal clarified that the announcement does not mean waiver of fees. Guidelines will be released on the matter.
Monreal added that recovery is seen to slowly build up after the COVID-19 threat wanes.
""Kahit naman wala nang COVID-19, siyempre ang confidence kasi ng traveling public will still slowly go back. So kailangan natin tantiyahin kung kailan babalik at kailan katagal,"" he said.
(Even if the threat of COVID-19 is no longer there, of course the confidence of the traveling public will still slowly go back. So we need to consider when the demand will go up and when.)
The move would cause at least P58 million worth of deferred payments to the government per month, solely coming from the main gateway, the Ninoy Aquino International Airport (NAIA).
""We're seeing around P58 million a month in terms of expenses that cover takeoff and landing, parking, and tracking fees here in NAIA,"" Monreal said.
Despite that, Monreal explained that airports will be able to survive the deferment of fees, as it only covers local airlines.
""Meron po kaming recovery fund so we can still survive. Kasi 'di naman lahat, so we're just deferring payments for landing, takeoff, and parking. Mga terminal fee, babayad pa rin sila. So may portion pa rin to keep us afloat,"" he said.
(We still have a recovery fund so we can still survive. The deferment isn't for everything, just deferring payments for landing, takeoff, and parking. Terminal fees will still be paid. So there's still a portion that will keep us afloat.)
Sydiongco said regional airports have suffered from a 20% to 30% decrease in passengers, while Monreal said NAIA has seen around a 30% drop in passengers or about 476,000 passengers, mostly foreigners.
Monreal hopes local carriers will use their aircraft slots to boost local tourism.
The airline industry has taken a huge hit because of the virus, with flag carrier Philippine Airlines terminating some 300 employees due to losses.
As of Monday, the Philippines has had 10 confirmed cases of the virus. Of the total, 7 are confined, 2 have recovered, while a Chinese tourist died. 
President Rodrigo Duterte declared a state of public health emergency on Monday. – Rappler.com "
,"March 09, 2020",nCov,SBMA starts coronavirus disinfection protocol,Randy V. Datu,"
 Disinfection is also undertaken in public areas like the Subic Bay Freeport main gate. Photo courtesy of SBMA Media Production Department 
SUBIC BAY FREEPORT — The Subic Bay Metropolitan Authority (SBMA) has started disinfecting facilities and buildings frequented by the public following President Rodrigo Duterte's declaration of a state of public health emergency amid the rise in novel coronavirus cases in the Philippines, including the country's first case of local transmission.
(READ: Duterte declares state of public health emergency amid rise in coronavirus cases)
SBMA Chairman and Administrator Wilma T. Eisma said that the disinfection protocol will be carried out by the SBMA Public Health and Safety Department initially in all SBMA offices and public areas using agents prescribed by the Department of Health (DOH).
“We will be disinfecting SBMA offices, especially the areas and surfaces most often touched by people who do business in our offices. But we also encourage business locators and other Subic stakeholders to do the same,” Eisma said. 
“I call on all Subic stakeholders to support this measure because we all need to observe cleanliness and practice proper hygiene in face of heightened coronavirus threat in the country. We need to protect ourselves and keep the Subic community safe,” Eisma added.
On Saturday, Health Secretary Francisco Duque said that the COVID-19 alert system has been raised to Code Red sublevel 1 ""in anticipation of possible sustained community transmission,"" after the Department of Health (DOH) confirmed the first case of local transmission in the country.
 The DOH said over the weekend that the Philippines has 10 confirmed cases.
Worldwide, the death toll from the coronavirus stood at 3,803, while over 109,000 were infected across 104 countries as of Monday morning.
Meanwhile, Eisma reminded the public that other health safety protocols announced by the SBMA previously will remain in force in the Subic Bay Freeport.
These include the ban on entry of people, ships and aircraft coming from virus-hit countries, as well as voluntary quarantine of those who recently travelled abroad and thermal scanning at Subic Bay Freeport gates for foreign visitors. – Rappler.com
 
  "
,"March 09, 2020",nCov,'No touch:' PSG bans close contact with Duterte amid coronavirus outbreak,Sofia Tomacruz,"
NO TOUCHING. President Rodrigo Duterte presides over a meeting in Malacañang on March 4, 2020. Malacañang photo 
MANILA, Philippines – The Presidential Security Group (PSG) announced on Monday, March 9, that it will be implementing a ""no-touch"" policy between President Rodrigo Duterte and the public after health officials reported additional cases of the novel coronavirus in the Philippines.
PSG Group Commander Coloner Jesus Durante III made the statement in an advisory on Monday, saying the move was part of preventive measures taken to ensure Duterte and his family's safety.
Durante said that people expected to ""get near"" Duterte during events and meetings will be subject to ""thorough screening"" and will be tested for any illnesses and signs of symptoms related to COVID-19, the disease caused by the novel coronavirus.
""PSG...is observing these preventive measures based on the guidelines set forth by the Department of Health. PSG Troopers ask for the public’s utmost understanding and cooperation,"" Durante said.
Aside from this, the PSG announced it will also assess ""large crowd gatherings"" where Duterte is scheduled to attend as a guest of honor and speaker. Such events may be cancelled for Duterte and the wider public's safety.
Durante assured the public that health protocols and measures to prevent the spread of COVID-19 were in place and in effect for all PSG personnel and the entire Malacañang complex.
In various public addresses, Duterte, who is 74-years-old, claimed he suffered from a slew of medical conditions that include myasthenia gravis, Buerger's disease, Barrett's esophagus, and ""spinal issues,"" among others. In October 2018, Duterte also said he tested for cancer but that it came back negative.
Experts earlier said that older adults with preexisting health conditions were more vulnerable to the coronavirus, particularly those aged over 60-years-old.
The Philippines has so far recorded 10 confirmed cases of coronavirus, including the first death outside of China. Of the remaining 9, two have since recovered and left the country, while the others were being treated.
One patient, a 62-year-old man, was in ""very critical condition"" as of early Saturday morning, March 7, the DOH said. Having no recent history of travel, he is considered the first case of local transmission in the Philippines. 
Meanwhile, the health department said it has probed a total of 700 patients for possible infection, 48 of whom remain admitted in health facilities across the country while 646 have already been discharged.
Duterte has declared a state of public health emergency in the Philippines amid the rising number of cases. 
Worldwide, the death toll from the coronavirus stood at 3,803, while over 109,000 were infected across 104 countries. – Rappler.com "
,"March 09, 2020",nCov,"Cook Islands bans travelers from PH, 13 other countries over coronavirus scare",Mara Cepeda,"
TRAVEL BAN DUE TO CORONAVIRUS. Tapuaetai or One Foot Island is part of Cook Islands, an island country in the South Pacific Ocean. Photo courtesy of Wikipedia 
MANILA, Philippines – The government of Cook Islands is prohibiting travelers from the Philippines and 13 other countries from entering its borders due to the outbreak of COVID-19, the disease caused by the novel coronavirus. 
“We also have information that the Cook Islands has also restricted travel from certain COVID-affected countries,” said Department of Foreign Affairs (DFA) Assistant Secretary Eduardo Meñez, in a press conference in Malacañang on Monday, March 9.
As he was speaking, the DFA official flashed a presentation listing Cook Islands among the foreign countries that have imposed travel restrictions on the Philippines. The others are Saudi Arabia, Kuwait, and Qatar.  
Apart from the Philippines, Cook Islands is also imposing a travel ban on passengers who have been to the following countries within the last 14 days:

China and its administrative regions Hong Kong and Macau
Taiwan
 Japan
Singapore
South Korea
Malaysia
Thailand
Indonesia
Vietnam
Cambodia
Laos
Italy
Iran

Cook Islands, an associate state of New Zealand, is a self-governed island country located in the South Pacific Ocean. 
In the same press conference, Meñez announced that two Filipinos tested positive for 2019-nCoV in Lebanon, increasing the total number of Filipinos who caught the virus outside the Philippines to 91.  
Locally, the Philippines has reported 10 positive cases so far, including 5 Filipinos, 3 Chinese, one Taiwanese, and one American. One of the 3 Chinese patients died, but the other two have already recovered from COVID-19. 
President Rodrigo Duterte declared a state of public health emergency on Monday due to the coronavirus threat. – Rappler.com "
,"March 09, 2020",nCov,Coronavirus seen to make Philippines miss 2020 GDP growth target,Aika Rey,"
ECONOMIC IMPACT. A shopper wears a mask at the Greenhills Shopping Center in San Juan City. Photo by Inoue Jaena/Rappler  
MANILA, Philippines – The novel coronavirus is seen to spoil the Philippines' economic growth rate in 2020, said Socioeconomic Planning Undersecretary Rosemarie Edillon, which would make the country miss its target.
Speaking at the Senate inquiry on the economic impact of the virus, Edillon said on Monday, March 9, that it may bring down the gross domestic product (GDP) growth rate to the range of 5.5% to 6.5% this year.
""Kung ang target natin (If our target) is 6.5% to 7.5%, then we're looking at 5.5% to 6.5% for the year,"" Edillon said.
Senator Imee Marcos, chairperson of the Senate committee on economic affairs, said the upper-range estimate of the government's economic team may not be feasible anymore.
""Wala na 'yung 6.5%, 5.9% sabihin na lang natin. 'Wag na tayo magtawaran sa numero, masakit sa bulsa 'yan,"" Marcos said.
(6.5% is unrealistic, let's just say 5.9%. Let's not bargain on the numbers, it will hurt our coffers.)
The economic team previously projected that growth would be slashed by 0.2% if the virus would not be contained within a quarter, and up to 0.4% if it drags on until the 1st half of the year.
If China continues to be crippled by the outbreak until June, the Philippine economic team estimates that around 30,000 to 50,000 jobs in manufacturing and tourism would be lost.
The Philippine economic team also expects around 1.42 million tourist arrivals lost, which would amount to foregone gross value added (GVA) of around P93 billion to P187 billion. GVA is the value of goods and services produced in a sector or municipality that contributes to the economy.
Besides that, Edillon said the country may face a wider fiscal deficit of 3.3% to 3.4% of GDP, or equivalent to around P680 billion, higher than the current cap of 3.2%. (READ: [ANALYSIS] How the budget deficit exploded under Duterte's watch)
The deficit ceiling was initially raised to 3% from the Aquino administration's 2%, when the Duterte administration pushed for infrastructure growth. The cap was later revised to 3.2% in 2019.
The Philippines has had 10 confirmed cases of the virus. Of the total, 7 are confined, 2 have recovered, while a Chinese tourist died.
President Rodrigo Duterte declared a state of public health emergency on Monday. – Rappler.com "
,"March 09, 2020",nCov,Duterte declares state of public health emergency amid rise in coronavirus cases,Sofia Tomacruz,"
HEALTH EMERGENCY. Shoppers wear surgical mask in the Greenhills Shopping Center, San Juan City, where sanitation procedures are carried out after a rise in coronavirus cases. Photo by Inoue Jaena/Rappler

MANILA, Phlippines (UPDATED) – President Rodrigo Duterte declared a state of public health emergency on Monday, March 9, after health officials recorded additional cases of the 2019 novel coronavirus, including the first case of local transmission in the Philippines.
In Proclamation No. 922 signed on Sunday, March 8, and released to media on Monday, Duterte ordered all government agencies and local government units to cooperate and mobilize necessary resources to combat the coronavirus.
Duterte's declaration was based on the recommendation of Health Secretary Francisco Duque III, who earlier raised the Philippines' coronavirus alert system to Code Red-Sublevel 1, due to the first case of local transmission.
Duque earlier said that a state of public health emergency ""will facilitate the mobilization of resources, ease processes including procurement of critical logistics and supplies, and intensify reporting and quarantine measures.""
The Philippines has so far recorded 10 confirmed cases of coronavirus, including the first death outside of China. Of the remaining 9, two have since recovered and left the country, while the others were being treated. One patient, a 62-year-old man, was in ""very critical condition"" as of early Saturday morning, March 7.
The 62-year-old patient, who was reported to frequent a Muslim prayer hall in Barangay Greenhills, is the considered the first case of local transmission in the Philippines.
What to expect: Under a state of public health emergency, Health Assistant Secretary Maria Rosario Vergeire earlier said patients suspected to have the novel coronavirus could face sanctions if they refuse to undergo quarantine.
""Itong (This) state of public health emergency would give the government more authority with regards to this procedure,"" she said.
In the proclamation, Duterte said Duque ""may tap the Philippine National Police and other law enforcement agencies to assist in responding to the outbreak.”
Duterte also urged all citizens, residents, tourists, and business owners to “act within the bounds of the law” and comply with advisories issued by the government to prevent the spread of the coronavirus. 
Duque earlier said that the government was conducting intensified contact tracing, while health officials were preparing for ""possible sustained community transmission.""
""Once there is sustained community transmission or increasing number of local cases whose links cannot be established, the strategy will be shifted from intensive contact tracing, to the implementation of community level quarantine or lockdown and possible suspension of work or school,"" Duque said.
As of Monday, the DOH has probed a total of 700 patients for possible infection, 48 of whom remain admitted in health facilities across the country while 646 have already been discharged.
Meanwhile, at least 89 Filipinos outside the Philippines have contracted the virus since the outbreak began. This included 4 cases in Hong Kong, 80 from a cruise ship docked in Japan, 3 in Singapore, and 2 in the United Arab Emirates. 
As of Sunday, March 8, 40 Filipinos from the cruise ship,1 in Singapore, and 2 in Hong Kong have since recovered.
Worldwide, the death toll from the coronavirus stood at 3,803, while over 109,000 were infected across 104 countries as of Monday morning. – Rappler.com "
,"March 09, 2020",nCov,DOH: 4 new coronavirus cases admitted in hospitals in Metro Manila,Mara Cepeda,"
 
Health Secretary Francisco Duque III and Assistant Secretary Maria Rosario Vergeire update the public on the novel coronavirus cases in the country at a press conference at the DOH Headquarters in Manila on Saturday, March 7. Photo by Ben Nabong/Rappler 
MANILA, Philippines – Department of Health (DOH) Secretary Francisco Duque III confirmed that the 4 new patients who tested positive for the novel coronavirus are all admitted in private hospitals across Metro Manila.
In an interview with CNN Philippines on Monday, March 9, Duque said that the 4 positive cases are currently admitted in the following cities:

38-year-old Taiwanese male (7th case): Makati Medical Center in Makati City
32-year-old Filipino male (8th case): St Luke’s Medical Center in Taguig City
86-year-old American male (9th case): Medical City-Ortigas in Pasig City
57-year-old Filipino male (10th case) St Luke’s Medical Center in Quezon City

Only patients deemed by doctors as “severe” cases of 2019-nCoV would  be referred to the government’s official referral hospitals like the Research Institute for Tropical Medicine (RITM) in Muntinlupa City, the Lung Center of the Philippines in Quezon City, and the San Lazaro Hospital in Manila, said DOH Assistant Secretary Maria Rosario Vergeire in a press conference on Monday.
Quezon City Mayor Joy Belmonte said in a speech at city hall on Monday morning that a coronavirus-positive patient is hospitalized in the city’s 1st District.
Vergeire clarified that the patient Belmonte mentioned was among the 10 cases already announced by the Health Department. 
Marikina City Mayor Marcelino Teodoro also confirmed in a statement that the 86-year-old American male is a resident of the city.
Vergeire reminded the public that only persons exhibiting flu-like symptoms after traveling to countries with 2019-nCoV cases or being exposed to confirmed cases should be tested for possible infection.
She explained that the coronavirus symptoms like cough and colds are similar to the symptoms of the common flu. Vergeire said that people who have not been exposed to a positive patient are “at very low risk” of getting COVID-19, the disease caused by 2019-nCoV. 
“But for those people who exhibit signs and symptoms like fever, sore throat, cough and colds without any history of travel at all to those affected areas or without history of known exposure to those positive cases, they don’t need to worry. They [should] just monitor themselves and if symptoms progress, they can consult their doctor. But they are the ones at [ a ] very low risk of contracting this disease,” Vergeire said.
The Philippines now has 10 confirmed cases of 2019-nCoV , including 5 Filipinos, a Taiwanese, an American. The country’s first 3 cases were all Chinese, one of whom died while the other two have already recovered from COVID-19.
The country has also recorded its first local transmission of COVID-19 after a 62-year-old Filipino man with no travel history outside the Phililppines infected his 59-year-old wife. The couple is the country’s 5th and 6th positive cases.
President Rodrigo Duterte is set to issue on Monday an Executive Order formally declaring a state of public health emergency, under which patients suspected to have 2019-nCoV will be required to undergo the 14-day quarantine period. 
The DOH has probed a total of 700 patients for possible infection, 48 of whom remain admitted in health facilities across the country while 646 have already been discharged.
Worldwide, the novel coronavirus has infected more than 109,800 people and killed 3,803, with most deaths still being recorded in Hubei, China, the epicenter of the outbreak. Still, over 60,700 have already recovered from COVID-19. – Rappler.com
  "
