,source_id,date,category,title,author,text
0,,"
Published 6:18 PM, February 24, 2020                                    ",nCov,PH tracksters pursue Olympic dream despite coronavirus outbreak,Rappler.com,"
GETTING STRONGER. EJ Obiena will compete in the USA and Europe as he prepares for the Tokyo 2020 Olympics. File photo by Josh Albelda/Rappler  
MANILA, Philippines – Filipino tracksters continue to gear up for the Tokyo 2020 Olympics despite the threat of the novel coronavirus outbreak.
Pole vaulter EJ Obiena, the first Filipino to qualify for Tokyo, has been mapping out his preparation plans with Ukrainian coach Vitali Petrov which center around competing and training in California, USA and Europe. 
Obiena, who cleared 5.8 meters to punch his Olympic ticket, was slated to see action in the Asian Indoor Championships and the World Indoor Championships in China in March but both events were postponed. 
World Athletics, formerly known as the IAAF, decided to call off both championships due the coronavirus outbreak. 
Obiena and Petrov will unveil their new plans on February 25.
Like Obiena, three-time SEA Games 400m hurdles gold medalist Eric Cray was forced to tweak his plans following the postponement of the events in China and he instead competed in two indoor meets in New Mexico, USA. 
He can make the Olympics by meeting the qualifying standard of 48.8 seconds or by being ranked in the world's top 50 by the end of the qualifying date on June 29.
Cray will be suiting up in several top-notch competitions in the USA in the next 4 or 5 months.
Meanwhile, William Morrison achieved a distance of 20.21 meters in shotput in a meet in Indiana, USA earlier February – a mark that compares favorably with the qualifying standard of 21.1 meters.
In a conversation with Philippine Athletics Track and Field Association president Philip Ella Juico, Morrison expressed confidence in meeting the qualifying standard ""with a lot of hard work and technical adjustments.""
Kristina Knott, who lorded over the 200m sprint in the 2019 SEA Games, was also affected by the cancellation of the events in China. 
The Florida-based runner will compete in the Texas relays before she moves to Orlando and train there until the rest of the outdoor races are confirmed for April and beyond.
Knott will then have stops in San Antonio and Austin in Texas and in Japan and Italy. 
Pole vaulter Natalie Uy, the 2019 SEA games gold medalist and a 2019 Asian Championship bronze medalist, recently set a new Philippine indoor record of 4.25 m. 
Uy participated in the Pole Vault Summit in Nevada and will play in several outdoor events in the months to come. 
Christine Hallasgo, who emerged as the surprise marathon gold medalist in the 2019 SEA Games, proved her victory was no fluke by winning the MILO National Marathon this month in Tarlac City. 
Meanwhile, the rest of the 50-string PATAFA national pool are preparing for regional meets, national championships, and the Philippine National Athletics Championships. – Rappler.com "
1,,"
Published 6:00 PM, February 24, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 24, 2020",Rappler.com,"
PREPARED. A nurse from the Ospital ng Parañaque prepares to demonstrate the precautionary measures the hospital has implemented amid the novel coronavirus outbreak. Photo by Ben Nabong/Rappler 
MANILA, Philippines – The Philippines is still monitoring people with symptoms of respiratory illness, in order to prevent the spread of the novel coronavirus.
As of Monday, February 24, the Department of Health said it has probed 609 patients. Out of this number:

126 - admitted to hospitals
480 - discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of COVID-19, the disease caused by the new virus, while the other two recovered. All 3 are Chinese.
There is still no recorded case of local transmission in the country.
Below is the latest breakdown of patients under investigation per region. All numbers are from the DOH's nCoV tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
11


Cagayan Valley 
36


Cordillera Administrative Region
28


Central Luzon
61


Metro Manila
204


Calabarzon
79


Mimaropa
17


Bicol
10


Western Visayas
38


Central Visayas
61


Eastern Visayas
18


Northern Mindanao
17


Caraga
3


Davao Region
23


Soccsksargen
3


Bangsamoro Autonomous Region in Muslim Mindanao
1



There are at least 63 Filipinos confirmed to have the virus. All are based outside the Philippines, including two in the United Arab Emirates, one in Hong Kong, one in Singapore, and 59 who were aboard a cruise ship quarantined in Japan.
The World Health Organization earlier declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed over 2,600 and infected at least 77,000 people in China. Cases have been recorded in more than two dozen countries. – Rappler.com "
2,,"
Published 5:30 PM, February 24, 2020                                    ",nCov,Singapore's Filipino coronavirus patient 'in stable condition',Paterno Esmaquel II,"
ISOLATION WARDS. The facade of the National Centre for Infectious Diseases building at Tan Tock Seng Hospital in Singapore is pictured on January 31, 2020. Photo by Roslan Rahman/AFP 
SINGAPORE – The Singaporean Ministry of Health (MOH) said the first Filipino novel coronavirus patient is now in stable condition as of Monday, February 24.
His identity remains anonymous due to Singapore's privacy laws.
""We have verified with the MOH that the patient is in stable condition in the hospital,"" said Philippine Ambassador to Singapore Joseph Yap in a media briefing Monday afternoon, February 24.
Yap said the Singapore government has not disclosed the identity of the Filipino. The most that Singapore has relayed to the Philippine embassy is that the Filipino is a male 41-year-old permanent resident of the city-state. The patient does not have a recent travel history to China.
Yap also confirmed that the Filipino is Singapore's Case 89 of COVID-19, the disease caused by the novel coronavirus.
The MOH provided information about Case 89 in its novel coronavirus bulletin on Sunday, February 23. Below is an excerpt from the MOH bulletin, as quoted verbatim:
6. Case 89 is a 41 year-old male Singapore Permanent Resident who has no recent travel history to China. He is currently warded in an isolation room at the National Centre for Infectious Diseases (NCID).
7. He reported onset of symptoms on 3 February and had sought treatment at two general practitioner (GP) clinics on 3 February, 7 February, 10 February, 17 February and 21 February. He was referred to NCID on 21 February, and subsequent test results confirmed COVID-19 infection on 22 February morning.
8. Prior to hospital admission, he had gone to work at Affinity Equity Partners (S) Pte Ltd (8 Temasek Boulevard) and visited Bishan Community Club (51 Bishan Street 13). He stays at Serangoon Avenue 3.
Travel ban not recommended
Yap said that despite Case 89, he is not recommending travel restrictions against Singapore because the novel coronavirus situation here is improving. Earlier, Philippine Foreign Secretary Teodoro Locsin Jr also said he is opposing a travel ban to Singapore, citing the city-state's capacity to handle the outbreak.
""I know it's one case that hits close to home because it's a kababayan (countryman) who is ill, but on the other hand, in terms of the bigger picture in the whole of Singapore, I think the situation is better now than it was one or two weeks ago,"" Yap said.
In an earlier phone interview with Rappler, Yap advised Filipinos, ""I think we should just continue to be careful, to be cautious, but there's no reason to be panicking.""
In the first few weeks after Singapore got its first case of COVID-19, the city-state had the highest number of novel coronavirus cases outside China. It has since been overtaken by South Korea and Japan.
Singapore has at least 89 confirmed cases of the novel coronavirus, according to data from the Singaporean government as of Sunday evening. Of these cases, 65 contracted the virus in Singapore while 24 got it outside the country.
The Singaporean government said 49 patients have been discharged, 35 are stable, and 5 others remain in critical condition. No one has died due to the virus in Singapore. – Rappler.com "
3,,"
Published 4:40 PM, February 24, 2020                                    ",nCov,Coronavirus to have 'minimal effect' on OFW remittances in 2020,Mara Cepeda,"
REMITTANCES. Filipino workers line up to send money to their families. File photo by Pat Nabong/Rappler  
MANILA, Philippines – The Philippine government expects that the novel coronavirus (2019-nCoV) outbreak would only have a ""minimal effect"" on the total cash remittances from overseas Filipino workers (OFWs) by the end of 2020.
Cabinet Secretary Karlo Nograles said in a press conference on Monday, February 24, that the government foresees a decrease of 0.8 percentage points in total cash remittance growth in 2020 – from the initial projection of 3% to just 2.2% – as an effect of COVID-19, the disease caused by 2019-nCoV.
""Because of this COVID-19 epidemic, we have adjusted our growth projections to 2.2% and now expect $34.2 billion in remittances for 2020. Nevertheless, this shall still breach another record high in overseas Filipino remittances,"" Nograles said.
He said the government had initially expected OFW remittances to reach as high as $34.5 billion by the end of this year. But Nograles said they had to adjust their projections due to the partial travel ban on China and its administrative regions Hong Kong and Macau.
The government has already allowed some 25,000 Filipinos to return to their jobs or homes in Hong Kong and Macau after being stranded in the Philippines due to the travel ban.
Nograles said the existing travel restrictions, however, would not severely affect OFW remittances as mainland China accounts for only 0.1% of total OFW remittances, Hong Kong 2.7%, and Macau 0.4%.
""DOLE (Department of Labor and Employment) also assures us that remittances from other source countries such as the US, UAE, and Saudi Arabia may help compensate for the possible slowdown in remittances coming from China, Macau, and Hong Kong. And we are encouraged by historical data that shows that Philippine remittances have been resilient even in the face of global downtrends,"" added the Cabinet secretary.
In 2019, personal remittances from OFWs reached a record high of $33.5 billion, which is 3.9% higher than the $32.2 billion recorded in 2018.
As of Monday, the Philippines has recorded 3 confirmed cases of COVID-19, all of them Chinese. One died, while the other two recovered.
The Department of Health has probed 609 patients in the Philippines for possible infection. Of this number, 126 remain admitted in heath facilities nationwide, while 480 have been discharged. – Rappler.com "
4,,"
Published 3:50 PM, February 24, 2020                                    ",nCov,Filipino teachers in Vietnam lose income amid COVID-19 crisis,Dumay Solinggay,"
People stand in a queue to buy protective facemasks in Hanoi on February 17, 2020, amid concerns of the COVID-19 coronavirus outbreak. (Photo by Nhac NGUYEN / AFP) 
HANOI, Vietnam – Teacher Brenda* from Baguio City has been waiting for classes to resume after Vietnam’s Ministry of Education and Training (MET) extended the Lunar New Year break due to the novel coronavirus (COVID-19) scare.
“If the forced vacation extends to another week, I’ll just stay home and wait. But if they extend it longer, I’ll start looking for an alternative source of income,” Brenda, 37, said.
Brenda is among the many Filipino English teachers in Vietnam who are losing income since the MET suspended classes as a preventive measure against the COVID-19 pandemic.
The suspension of classes began on February 3. Since then, classes have not resumed, preventing many Filipinos working at English Learning Centers from earning their daily wages.
According to Brenda, her employer cannot pay her for the month of February because the students’ parents asked for a reimbursement of the tuition fee they paid for their children’s English language lessons.
Teacher Mary, 23, from Ilocos Sur, came back to Hanoi after spending the Lunar New Year break in the Philippines. She has been staying with her sister since. She is working in Hai Duong, a province in Northern Vietnam, but she has not yet returned to her workplace because of the class suspension.
“I am not expecting I’ll get paid this month because I did not teach,” she said.
The MET released its directive for a week of cancellation of classes on the first week of February. The second directive was released for the city of Ho Chi Minh on February 14, which stated that classes are cancelled until February 29. The city of Hanoi and 62 provinces were later included in the directive.
Teacher Cecilia, 40, from Mankayan in Benguet, has a full-time contract with a “big” English center. Her school moved some of her classes to an online platform. Her teaching hours are lesser but she will still earn her monthly salary. However, she has to offset her teaching hours once the school resumes its regular schedule.
Both Brenda and Mary are working for “small” English centers and have a full-time contract with their employers.
Filipino teachers in Hanoi bonding during the time of COVID-19. Photo by Khare Ap-apid 
The three Filipinos, like many other English teachers in Vietnam, are waiting for further announcement from the MET after the Municipal People’s Committee of Ho Chi Minh requested an extension of the school break until the end of March.
This could mean two months of no income for many Filipino English teachers.
Meanwhile, online hubs like Filipino English Teachers in Vietnam and Filipino Expats in Vietnam have offered their help to those greatly affected by the crisis.
On Facebook community pages, Filipinos in different parts of Vietnam wrote they were willing to take in kababayans (countrymen) who are in need of a place to stay while ""this remains unsolved and 'till classes resume.""
Vietnam has recorded 16 cases COVID-19 infection, where 15 have recovered and been discharged from the hospital. Vietnam also closed its borders to China for the meantime.
The Philippine Embassy has a list of 1,758 registered Filipino voters in Vietnam.  – Rappler.com
*The teachers' last names are withheld upon request. "
5,,"
Published 3:22 PM, February 24, 2020                                    ",nCov,Coronavirus-free Filipinos on Japan ship to return home February 25,Michelle Abad,"
ESCAPE. A passenger (L) disembarks from the Diamond Princess cruise ship. Photo by Charly Triballeau/AFP 
MANILA, Philippines – Around 400 Filipinos on board the Diamond Princess cruise ship docked in Japan are set to come home on Tuesday, February 25, according to Department of Health (DOH) Assistant Secretary Maria Rosario Vergeire.
Vergeire confirmed the repatriation date on Monday, February 24, after DOH coordination with the Department of Foreign Affairs and the Philippine embassy in Tokyo.
Although over 400 Filipinos requested repatriation, the exact number of repatriates will be known only on Tuesday. Vergeire said they would still be subject to a screening process that would include testing and assessment if they have signs and symptoms of the COVID-19 disease. 
Those who test positive or exhibit symptoms prior to disembarking will be left behind, along with the 59 novel coronavirus-positive crew members in Japan. 
The repatriates will depart on two carriers. While they are on board the aircraft, the DOH will conduct regular monitoring. Those who manifest signs of respiratory illness will be isolated in one area of the plane. The planes are set to arrive at the Clark International Airport, where another layer of screening will be conducted upon landing.
Those who manifest illness will be brought to hospitals, while asymptomatic passengers will be taken to New Clark City in Tarlac for a two-week quarantine period.
""During the 14-day quarantine procedure, 20 medical teams from DOH hospitals will manage the quarantine facility to provide appropriate health services. Patients will be checked twice a day and provided with food and basic provisions,"" the DOH said.
A total of 538 Filipinos had been quarantined aboard the Diamond Princess docked at the port of Yokohama, Japan, since the outbreak of the novel coronavirus (2019-nCoV), which infected a total of 763 people aboard the ship.
Left behind for now
The 59 crew members who are COVID19-positive will not be included in the repatriation on Tuesday. They are currently in hospitals in Japan. If they test negative twice within 48 hours and exhibit no more symptoms, then they will be cleared to go home.
The two Filipinos in Japan who previously tested positive but recovered from the coronavirus will not be included in Tuesday's repatriation.
According to Vergeire, the Japanese government assured the Philippine government that the Filipinos who won't be going home yet will be taken care of.
Less than 20 Filipino ship crew members will be left behind, as designated by their employers. 
As of Monday, the confirmed cases in the Philippines has been stable at 3 for the past weeks. One died and two recovered and have been discharged from the hospital. The DOH has probed 609 for possible novel coronavirus infection, but 480 have been released. There remains 126 patients in various health facilities nationwide. – Rappler.com "
6,,"
Published 2:35 PM, February 24, 2020                                    ",nCov,Philippines won't impose travel ban on South Korea for now,Mara Cepeda,"
ON ALERT. People in traditional Korean hanbok dresses wear face masks as they visit Gyeongbokgung Palace in Seoul, South Korea, on February 23, 2020. Photo by Jung Yeon-je/AFP 
MANILA, Philippines – The Philippine government will not yet impose a travel ban on South Korea, which has so far recorded the highest number of novel coronavirus (2019-nCoV) cases outside of mainland China.
On Monday, February 24, Cabinet Secretary Karlo Nograles told Malacañang reporters that the inter-agency task force handling the 2019-nCoV outbreak has yet to talk about possibly restricting travel to and from South Korea.
He said the Philippine government would be relying on existing protocols and recommendations from the World Health Organization (WHO) before imposing another travel ban.
""Sa ngayon wala pang desisyon 'no? Pag-uusapan ito sa task force,"" Nograles said. (Right now there's still no decision on this, okay? The task force will still talk about it.)
There has been a surge of 2019-nCoV infections in South Korea in the past days, with the country recording 763 confirmed cases as of 1:50 pm on Monday. Of this number, 7 people have died while 18 have recovered from COVID-19, the disease caused by the virus. (READ: South Korea on frontline as coronavirus spreads)
Nograles assured the public that none of those who tested positive in South Korea is a Filipino.
""So far, Filipinos there are safe, and I think the South Korean government is also doing everything that they can to contain the epidemic and control the situation,"" said the Cabinet secretary in a mix of English and Filipino.
For now, the Philippine Department of Foreign Affairs has advised Filipinos to ""delay non-essential travel"" to South Korea.
The Philippines is currently imposing a partial travel ban on China and its administrative regions Hong Kong and Macau to help prevent the spread of COVID-19. But the government has already allowed some 25,000 Filipinos to return to their jobs or homes in Hong Kong and Macau after being stranded in the Philippines due to the travel ban. – Rappler.com  "
7,,"
Published 12:57 PM, February 24, 2020                                    ",nCov,Filipino crew of Japan cruise ship infected with coronavirus now at 59,Mara Cepeda,"
QUARANTINED. A bus drives through dockside past the Diamond Princess cruise ship, which is in quarantine in the port of Yokohama, Japan due to fears of possible COVID-19 infection File photo by Philip Fong/AFP 
MANILA, Philippines (UPDATED) – The number of Filipino crew members aboard Japanese cruise ship M/V Diamond Princess who have been infected with the novel coronavirus (2019-nCoV) has risen to 59 as of Monday, February 24. 
The latest figure was announced by both Health Assistant Secretary Maria Rosario Vergeire and Foreign Affairs Assistant Secretary Eduardo Meñez during the weekly “Laging Handa” press briefing in Malacañang on Monday.  
THe 59 infected cases include two crew members who have already recovered from COVID-19, the disease caused by 2019-nCoV.  
“To date, 59 out of the 538 overseas Filipinos from the cruise ship had been confirmed with COVID-19. Two of the confirmed cases have recovered since isolation and admission [in health facilities],” Vergeire said. 
A total of 538 Filipinos – only 7 of whom are passengers while the rest are crew members – had been quarantined aboard the Diamond Princess docked at the port of Yokohama, Japan, since the outbreak of 2019-nCov, which infected a total of 763 people aboard the ship. 
Over 400 Filipinos from Diamond Princess have already requested to be repatriated to the Philippines. But Cabinet Secretary Karlo Nograles said their trip back to the country, originally set on Sunday, February, 23, was postponed to sometime this week “out of an abundance of caution to further safeguard the health and safety of our kababayans (countrymen).”
The Cabinet officials did not specify the new flight schedules of the Filipinos to be repatriated from Japan, but the DOH said in a briefing later on Monday afternoon that the repatriation will happen on Tuesday, February 25. (READ: Virus ship crew's families fear for kin as PH evacuation postponed)
None of the 52 positive cases will be allowed to go back to the Philippines, while those that will be allowed to enter the country will be subjected to a 14-day quarantine period at the New Clark City in Capas, Tarlac, the designated national quarantine facility for possible COVID-19 cases.
Meñez also said several Filipino crew members will be asked by their employer, Magsaysay Maritime Corporation, to stay behind to keep the cruise ship running, but only “essential” staff will be asked to work.  
“Actually even before na in-announce ’yong essential crew, I believe over 100 of our crew members nagsabi na rin sila na they were willing to stay behind should it be required by the employer. Pero as the situation developed, mukhang ang [Diamond Princess management] mismo ang nagsabi na titingnan namin kung sino lang ang crew member na essential,” Meñez said. 
(Actually, even before they announced that an essential crew will be needed, I believe over 100 of our crew members already expressed they were willing to stay behind should it be required by the employer. But as the situation developed, it looks the Diamond Princess management itself said they would still have to check who only among the crew members would be considered essential for the operations.) 
As of Monday, the Philippines has so far recorded 3 confirmed cases of COVID-19. One of them died, but the other two recovered and have since been discharged from the hospital.  The Department of Health has probed 609 patients in the Philippines for possible novel coronavirus infection. Of this number, 126 remain admitted in various heath facilities nationwide, while 480 have been released. – Rappler.com "
8,,"
Published 8:20 AM, February 24, 2020                                    ",nCov,No PH travel ban vs Singapore amid Filipino coronavirus case,Paterno Esmaquel II,"
STROLL. A visitor, wearing a protective face mask amid fears about the spread of the COVID-19 novel coronavirus, walks along Merlion Park in Singapore on February 17, 2020. Photo by Roslan Rahman/AFP 
SINGAPORE – The Philippine government is not implementing a travel ban against Singapore even if close to 90 individuals here, including a Filipino permanent resident of the city-state, have contracted the novel coronavirus.
Praising how the Singaporean government has handled the crisis, Philippine Ambassador to Singapore Joseph Yap said he will not recommend travel restrictions against Singapore. His superior, Foreign Secretary Teodoro Locsin Jr, earlier said he will also oppose a travel ban against the city-state.
“It’s unfortunate that we have a kababayan (countryman) affected by the virus, but the overall situation in Singapore really, I think, is stable and is in fact improving,” Yap told Rappler late Sunday evening, February 23. (READ: Singapore announces $4.6-billion boost to fight virus)
Yap cited information from the Singaporean Ministry of Health (MOH) that on Sunday there were no new cases of COVID-19, the disease caused by the novel coronavirus, in Singapore. Two were discharged from the hospital on the same day.
This brings to 51 the number of people who have recovered from COVID-19 in Singapore, which has 89 recorded cases of the disease as of Sunday.
“I think whatever protocols and procedures that Singapore has in place, seem to be showing results. If anything, there is even less reason now to have travel restrictions of any kind compared to one or two weeks ago,” Yap said.
He added, “I think we should just continue to be careful, to be cautious, but there's no reason to be panicking.”
What’s at stake
If a travel ban against Singapore is imposed, Yap said that “definitely, it will be very inconvenient for everybody.” 
The ambassador noted that Singapore is one of the Philippines’ top trading partners. Singapore is the Philippines’ top export market in the Association of Southeast Asian Nations, and the Philippines’ 5th biggest in the world, according to data from the Philippine embassy. Singapore is also the Philippines’ second largest international investor.
The embassy added that Singapore is the Philippines’ biggest tourist market in ASEAN.
“It’s not as simple as just saying, you know, we’ll ban people for health reasons. We have to seriously weigh the pros and cons, whether the damage will be much more than what we’re trying to prevent,” Yap explained.
Locsin earlier also opposed a travel ban against Singapore, as he tweeted on February 14: “I will not support a travel ban to and from ASEAN Singapore. A ban should hinge NOT on the incidence and number of infections/fatalities but on the demonstrated capability of the state concerned to contain the disease and strictly regulate ingress and egress from its air/seaports.”
The MOH on Sunday informed the Philippine embassy that a male Filipino permanent resident of Singapore contracted the novel coronavirus. Singapore has not disclosed the identity of the Filipino patient, and will only give more information to the Philippine government if the Filipino gives his consent.
Singapore will shoulder the Filipino patient’s hospital bills, as the city-state does with other COVID-19 cases. Yap said the Philippine embassy however is willing to help in reaching out to the Filipino patient’s relatives or flying them into Singapore if needed. 
In the first few weeks after Singapore got its first case of COVID-19, the city-state had the highest number of novel coronavirus cases outside China. It has since been overtaken by South Korea and Japan.
Singapore has at least 89 confirmed cases of the novel coronavirus, according to data from the Singaporean government as of Sunday evening. Of these cases, 65 contracted the virus in Singapore while 24 got it outside the country.
The Singaporean government said 49 patients have been discharged, 35 remain stable, and 5 others remain in critical condition. No one has died due to the virus in Singapore.  – Rappler.com "
9,,"
Published 11:45 PM, February 23, 2020                                    ",nCov,Filipino coronavirus case in Singapore didn't travel to China,Paterno Esmaquel II,"
TIGHT SCREENING. Health officers screen arriving passengers at Singapore Changi Airport on January 22, 2020, as authorities increase measures against the novel coronavirus. File photo by Roslan Rahman/AFP 
SINGAPORE (UPDATED) – The Singaporean government is investigating the close contacts of the first Filipino case of the novel coronavirus here, as the patient, whose identity Singapore has not disclosed, did not recently travel to China.
Philippine Ambassador to Singapore Joseph Yap confirmed these details to Rappler late Sunday evening, February 23, as he said the Philippine embassy is ready to help the Filipino coronavirus patient.
""The patient has no recent travel history to China, and they are still investigating his close contacts to find out more about where he could have gotten the virus from,"" Yap told Rappler.
Yap said it is possible that the patient's close contacts are also Filipinos, ""but it's hard to speculate."" He noted that Singapore's protocol for all coronavirus patients here is to trace their close contacts and to test them for the virus, if necessary.
The Filipino ""is now in isolation"" at Singapore's National Centre for Infectious Diseases, said Foreign Affairs Undersecretary Brigido Dulay earlier on Sunday.
It was also on Sunday evening when Singapore's Ministry of Health (MOH) advised the Philippine embassy about the Filipino patient, Yap said.
The most that the MOH disclosed was that the Filipino is a male permanent resident of Singapore, according to Yap. The patient needs to give his consent to the Singaporean government before his identity can be disclosed to the Philippine embassy.
""We do not know the identity because the MOH has not shared it with us for privacy reasons,"" the ambassador said.
Yap said that based on the Singaporean government's protocol, Singapore will shoulder the hospital bills of the Filipino patient and all other novel coronavirus cases. (READ: Singapore announces $4.6-billion boost to fight virus)
But the Philippine embassy can help by contacting his relatives or flying them into Singapore, if needed, using the Philippine government's fund to assist overseas Filipinos.
""We stand ready to render all the assistance that he would need,"" Yap said.
'No reason to panic'
Singapore has at least 89 confirmed cases of the novel coronavirus, according to data from the Singaporean government as of Sunday evening. Of these cases, 65 contracted the virus in Singapore while 24 got it outside the country.
The Singaporean government said 49 patients have been discharged, 35 remain stable, and 5 others remain in critical condition. No one has died due to the virus in Singapore.
Singapore now has the 3rd highest number of novel coronavirus patients outside China. The country used to have the biggest number of patients outside China, but South Korea now has at least 602 confirmed cases. Japan has 132.
These figures exclude the 634 patients from the cruise ship Diamond Princess, docked in Japan.
Sought for words of reassurance for Filipinos in Singapore, Yap said: ""My advice is still the same: We should remain calm. Yes, there is one case, but we should continue to remain calm and continue to exercise vigilance. We really should continue to follow the advisories from the Ministry of Health.""
He added that ""the Singapore government has actually been doing a good job in terms of implementing their protocols."" He pointed out, for instance, that the number of novel coronavirus cases has been going down while the number of discharged patients has been going up.
""The trend is positive, and I personally feel that the situation now is more stable than it was maybe one or two weeks ago. I think we should just continue to be careful, to be cautious, but there's no reason to be panicking,"" Yap said. – Rappler.com "
