,ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC,loc
0,93,101 Shopping Center,,13.6191435,123.1839003,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NAGA CITY,Tabuco,PH051724030,13.6191435123.1839003
1,769,11/88 Mall,,14.604227100000001,120.97363600000001,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,Barangay 293,PH133902007,14.604227100000001120.97363600000001
2,52,1188 Mall,,14.60224,120.97405,8Xsc9XcTBMqy_BNP15OzBA,Yelp Fusion API,Yelp Fusion API,1/31/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,Barangay 292,PH133902006,14.60224120.97405
3,297,138 Mall,Formerly known as Plaza Fair,10.2972571,123.900681,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Central (Pob.),PH072217022,10.2972571123.900681
4,48,167 Marketing,,14.58468698,121.17743290000001,188347844,OpenStreetMap,OpenStreetMap,02/05/2020,REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),PH045802008,14.58468698121.17743290000001
5,770,168 Shopping Mall,Filipino-Chinese Traders Association (Davao City),14.6049356,120.97188259999999,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,Barangay 293,PH133902007,14.6049356120.97188259999999
6,580,500 Shaw Zentrum,Lica Land,14.5882984,121.04376059999998,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF SAN JUAN,Pedro Cruz,PH137405013,14.5882984121.04376059999998
7,421,578 Emporium Borongan,578 Emporium,11.6094854,125.4330615,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 52,PH083747081,11.6094854125.4330615
8,417,578 Emporium Tacloban,578 Emporium,11.2452936,125.0026273,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 17,PH083747038,11.2452936125.0026273
9,83,8 Shoppe Mall,,17.1279131,121.8657696,ChIJreWiiXlChTMRuenow4uEFtk,Google Maps,Google Maps,05/02/2020,REGION II (CAGAYAN VALLEY),ISABELA,ILAGAN CITY (Capital),Calamagui 2nd,PH023114034,17.1279131121.8657696
