Pro_Name,coordinates
abra,"17.578320582649532,120.80323178689963"
agusan del norte,"9.031258403216029,125.53568703622533"
agusan del sur,"8.421597689630838,125.72898497121886"
aklan,"11.609596407309311,122.24801950796716"
albay,"13.209724656139331,123.61575328770839"
antique,"11.126781621137509,122.06800186472013"
apayao,"18.105767594597207,121.18753212071714"
aurora,"15.923376649673076,121.70032668488263"
basilan,"6.565450077575952,122.02914508716357"
bataan,"14.660472759250856,120.45440185487114"
batanes,"20.552453434095575,121.88795798831168"
batangas,"13.891920116590907,121.03136855463036"
benguet,"16.542843489984676,120.69886165995462"
biliran,"11.596711474062607,124.4732482477902"
bohol,"9.853868307605666,124.1975842658832"
bukidnon,"8.018749722080313,125.0069298522428"
bulacan,"14.978775752501043,121.0578718508016"
cagayan,"18.094153693157722,121.76060740712542"
camarines norte,"14.143186015708528,122.72760282252113"
camarines sur,"13.705380299386833,123.26230552013558"
camiguin,"9.171998365790792,124.71774288305038"
capiz,"11.369901236960997,122.63293369395036"
catanduanes,"13.783221244064016,124.23644721138679"
cavite,"14.25516403408472,120.86848001819337"
cebu,"10.355054312556009,123.75472946661633"
city of isabela (not a province),"6.6505878983302935,121.98685082300837"
compostela valley,"7.573249908755652,126.02292586389352"
cotabato (north cotabato),"7.202605578217139,124.85052286163507"
cotabato city (not a province),"7.208622772326833,124.23144686603852"
davao del norte,"7.58531959570065,125.64221785931467"
davao del sur,"7.016216443698188,125.34537317479264"
davao occidental,"6.098113884191264,125.54058051097506"
davao oriental,"7.25135524911085,126.29822784708693"
dinagat islands,"10.171334305845575,125.6023393208521"
eastern samar,"11.64759792136993,125.38108510586882"
guimaras,"10.568794513973854,122.61409061986909"
ifugao,"16.848466964576275,121.2072359682651"
ilocos norte,"18.20489827068573,120.73030970510304"
ilocos sur,"17.24746812068703,120.54700777862779"
iloilo,"11.007600887160626,122.60537465887501"
isabela,"16.987346258001832,121.96123653136165"
kalinga,"17.430975036821515,121.2795035936103"
la union,"16.58054311148273,120.42452475279431"
laguna,"14.24132397019057,121.36511316544217"
lanao del norte,"8.026572350041699,124.03771718642287"
lanao del sur,"7.789094538097749,124.34459995834526"
leyte,"10.97461206922928,124.75584918385614"
maguindanao,"7.028520452407761,124.38728901730325"
marinduque,"13.391239439587487,121.97191459958319"
masbate,"12.294607260503149,123.55232833472175"
misamis occidental,"8.32404160506118,123.69023176582645"
misamis oriental,"8.632576183862879,124.79152671162463"
mountain province,"17.101295623748754,121.12926577802398"
"ncr, city of manila, first district (not a province)","14.600624809836466,120.98545772190668"
"ncr, fourth district (not a province)","14.4800808115753,121.02564122383305"
"ncr, second district (not a province)","14.656997581627321,121.06667545536187"
"ncr, third district (not a province)","14.711083068783946,120.99424043792943"
negros occidental,"10.311015119578167,122.98713136400268"
negros oriental,"9.60690854078538,123.03351670516587"
northern samar,"12.411097202035522,124.79172552156366"
nueva ecija,"15.61783735863657,121.02057444840659"
nueva vizcaya,"16.30543091619809,121.17179288480091"
occidental mindoro,"12.971966462256985,120.89264301225137"
oriental mindoro,"12.962082335611223,121.26164670783888"
palawan,"9.9785383734185,118.74424351523216"
pampanga,"15.058512165406851,120.64723368525789"
pangasinan,"15.999503844618147,120.31259207537151"
quezon,"14.16652395085388,121.9620781740288"
quirino,"16.29454849024161,121.595533396461"
rizal,"14.617403000048624,121.26254142656285"
romblon,"12.435672628422466,122.23451677204113"
samar (western samar),"11.846478982296578,124.94033503670931"
sarangani,"6.059662655391341,125.15833386809669"
siquijor,"9.1852049839245,123.5886617832792"
sorsogon,"12.85432727088445,123.9285620095986"
south cotabato,"6.2846055261887415,124.85312991812731"
southern leyte,"10.291232786050372,125.05195043471451"
sultan kudarat,"6.534981009490681,124.43128106046659"
sulu,"5.953179389809631,121.05431329978254"
surigao del norte,"9.670755702748773,125.73755085147792"
surigao del sur,"8.776364674493056,126.11300262406756"
tarlac,"15.478348064348085,120.47620557496033"
tawi-tawi,"5.237980592977627,119.90155664109126"
zambales,"15.2868090412689,120.14366467247456"
zamboanga del norte,"8.049203768917549,122.80734209791568"
zamboanga del sur,"7.678960669536569,122.99399006407882"
zamboanga sibugay,"7.69473502149508,122.72543063319415"
