date,category,title,author,text,LDA_Topics,count_docs,PH_Loc,status,counts,case,Loc
2020-02-06,nCov,'Olympics will go ahead': Tokyo organizers slam virus rumors,"Alastair Himmer, Agence France-Presse","


Fireworks light up the sky near the illuminated Olympic rings at a ceremony to mark 6 months before the start of the 2020 Olympic Games in Tokyo, Japan, Jan. 24, 2020. Kyodo/Reuters


TOKYO—Tokyo 2020 Olympics organizers said Thursday the Games would ""go ahead as planned,"" slamming misinformation over the new coronavirus for triggering panic.
Chief executive officer Toshiro Muto revealed that organizers had set up a task force to combat the fast-spreading disease that has killed over 560 people and infected at least 28,000 -- the vast majority in mainland China -- but promised that the Games would be not derailed.
""The Olympics will go ahead as planned,"" he told reporters after a Paralympic project review.
""It is important to remain objective and cool-headed. We don't want to alarm the public. The infection is still limited and there is no problem staging the Olympics based on the current situation.""
International Paralympic Committee (IPC) spokesman Craig Spence complained that scaremongering had created an ""info-demic"" that could skew public perception in the run-up to the Olympics and Paralympics.
""Fear is spreading quicker than the virus,"" he said. ""It's important we quell that fear. Only 191 of the total cases are outside mainland China, so let's put things into perspective.
""If you compare those rates with the common flu, they are still relatively small numbers,"" added Spence.
""The World Health Organization (WHO) has not declared this a pandemic. We dealt with the Zika virus in Rio and in these matters we need to rely on the experts.
""We will follow the advice of the World Health Organization. Every organizing committee looks into countermeasures, and we have measures in place from previous Olympics and Paralympics here in Tokyo. It is standard practice, it's business as usual.""
More than 20 countries have confirmed cases of the flu-like coronavirus.
GLOBAL PANIC
Japan has had no reported deaths so far, but 45 cases have been detected, including at least 20 people on a cruise ship carrying more than 3,700 passengers and crew quarantined off Yokohama.
The WHO has declared the outbreak a global health emergency.
Japan has warned citizens against non-essential travel to China and fast-tracked new rules including limits on entering the country as it tries to contain the spread of the virus.
Japanese Prime Minister Shinzo Abe on Thursday pledged that preparations for the Olympics would proceed as normal.
""The coronavirus is beginning to have an impact on tourism,"" he said. ""But the government will continue to steadily prepare for the Games in close cooperation with the IOC (International Olympic Committee), the local organizing committee and the Tokyo Metropolitan Government.""
The Japanese government has chartered 3 flights to repatriate 565 Japanese nationals from Wuhan, the central Chinese city hardest hit by the virus.
Tokyo governor Yuriko Koike promised at the weekend to implement ""thorough measures"" to protect people from the virus.
The health scare has led to the cancellation of Olympic qualifying events in China such as boxing and badminton.
The Tokyo Olympics begin on July 24 with the Paralympics starting on Aug. 25. 
","['\n ', 'tokyo', 'olympics', 'virus', 'committee', 'olympic', 'china', 'health', 'games', 'cases', 'japan', 'said', 'government', '2020', 'japanese', 'people', 'coronavirus', 'paralympics', '\n\n\n ', 'international', 'panic', 'flu', 'global', 'declared', 'important', 'organization', 'paralympic', 'spreading', 'spence', 'thursday']",['45 cases'],[[]],,45,cases,[]
2020-02-06,nCov,PhilHealth warns member-hospitals: Accept all suspected nCoV cases,ABS-CBN News,"


A tent area to receive possible patients under investigation for the 2019 Novel Coronavirus acute respiratory disease (2019-nCoV ARD) stands at the East Avenue Medical Center in Quezon City, Feb. 5, 2020. Mark Demayo, ABS-CBN News


MANILA - The Philippine Health Insurance Corporation (PhilHealth) has warned its member-hospitals to accept all patients with suspected infection of the new coronavirus.
Should accredited medical institutions refuse to provide care to patients, the state health insurance agency said they will be dealt with by the corporation accordingly.
""Refusal to provide care to said patients shall be considered a violation of the signed Performance Commitment and shall be dealt with by the Corporation accordingly,"" PhilHealth president and chief executive officer Ricardo Morales said in a statement released Wednesday.
All accredited level 2 and 3 hospitals, which have the capacity to perform quarantine and manage infectious diseases, are directed to accept suspected cases of the 2019 Novel Coronavirus acute respiratory disease (2019-nCoV ARD) for assessment and appropriate management, Morales added.
PhilHealth also reiterated that the World Health Organization (WHO) had already declared the outbreak a global health emergency.
""PhilHealth is working hand in hand with the Department of Health and other concerned agencies to ensure that all Filipinos are protected from risks brought about by this emerging disease,"" Morales said.

Duque: PhilHealth to offer coverage for suspected new coronavirus cases 

Health Secretary Francisco Duque III earlier said PhilHealth would offer a special package for its members with symptoms of the new strain of coronavirus.
The package includes a P1,000 per day for each hospital taking care of a suspected nCoV patient, he had said.

Philippines confirms 3rd new coronavirus case

As of Wednesday, the number of confirmed coronavirus infection in the country was 3, including a Chinese man who died from severe pneumonia on Feb. 1. It was the first recorded nCoV-related death outside China.

China virus death tolls rises to 560: govt 

Philippine health authorities are also monitoring 178 patients for possible infection of the virus, which has killed nearly 600 in China.
","['coronavirus', 'health', 'said', '\n\n ', '\n ', 'philhealth', 'patients', 'suspected', 'new', 'china', 'morales', 'care', 'disease', 'infection', 'corporation', 'respiratory', '2019', 'duque', 'ncov', 'dealt', 'package', 'insurance', '\n\n\n ', 'philippine', 'offer', 'cases', 'hospitals', 'provide', 'shall', 'virus']",[],[[]],suspected,0,,[]
2020-02-06,nCov,PH Sports Commission reschedules nat’l tournaments in wake of virus alert,ABS-CBN News,"


As the country tries to contain the spread of the 2019 novel coronavirus, national sports officials decided on Thursday to postpone several tournaments. Jonathan Cellona, ABS-CBN News/file


The Philippine Sports Commission on Thursday said that a number of national events has been postponed, as the country deals with the 2019 novel coronavirus. 
The PSC has also proposed moving the 10th ASEAN Paragames at a later date.
In a press conference, PSC chairman William Ramirez said the National Sports Summit 2020, the Philippine National Games, Batang Pinoy, and Children’s Games will be rescheduled, although no dates were mentioned.
Seminars and other gatherings with 40 or more participants have also been shelved indefinitely.
Ramirez said that his office also recommended the postponement of the 10th ASEAN Paragames, which is penciled for March 20 to 28.
“We have a board resolution advising the Paralympics to possibly postpone the games,” he said.
The decision comes down to the Philippine Paralympic Committee.
PPC president Mike Barredo said he will fly to Thailand on Friday to discuss the issue with the ASEAN Para Sports Federation.
Amid the global spread of the 2019 nCoV acute respiratory disease, the PSC is focused on the welfare of the athletes and coaches bound for the Tokyo Olympics later this year.
“In terms of preventive measures, we have put out information materials for our national athletes and coaches,” said Marc Velasco, the PSC chief of staff and the national training director.
“The PSC Board will not approve any foreign trips and exposures to China. Caution will be exercised on allowing athletes and coaches traveling to other countries for international competitions
For more sports coverage, visit the ABS-CBN Sports 
","['\n ', 'said', 'sports', 'national', 'psc', 'coaches', 'games', 'philippine', '2019', 'athletes', 'asean', 'thursday', '\n\n\n ', 'cbn', 'later', 'country', 'coronavirus', 'novel', 'spread', 'paragames', '10th', 'abs', 'board', 'ramirez', 'postpone', 'year', 'pinoy', 'mike', 'coverage', 'dates']",[],[[]],,0,,[]
2020-02-06,nCov,"ALAMIN: Proseso ng pag-quarantine sa mga Pinoy na uuwi galing Hubei, China",ABS-CBN News,"


Dumadaan ang isang biyahero sa screening lane ng Bureau of Quarantine sa Ninoy Aquino International Airport noong Pebrero 4, 2020. Jonathan Cellona, ABS-CBN News


(UPDATE) Malayo sa mga ordinaryong pag-uwi sa bansa ang pagdadaanan ng mga Pinoy na uuwi galing Hubei, ang lalawigan sa China na nakasasakop sa lungsod na sinasabing pinagmulan ng isang bagong strain ng coronavirus.
Kahit wala kasing ipinapakitang sintomas ang balikbayan, kailangan nitong dumaan sa 2 linggong quarantine, ayon sa Department of Health (DOH).
""We plan to bring back our fellow Filipinos here in the country as seamlessly and efficiently as possible,"" sabi ngayong Huwebes ni Health Secretary Francisco Duque III.
Paglapag ng chartered flight sa Hubei, walang bababang flight crew at mga tauhan lang ng DOH ang haharap sa mga uuwing Pinoy para matingnan ang mga ito.

Watch more in iWant or TFC.tv
Kapag nakitaan ng sakit, hindi pasasakayin ang mga Pinoy at idederetso sa ospital sa Hubei.
Kapag nakasakay naman na lahat sa eroplano, agad itong lilipad pabalik ng Pilipinas.
Pagdating sa Pilipinas, dadaan sa screening ng Bureau of Quarantine ang mga balikbayan, ayon kay Duque.
Nakasuot ng personal protective equipment ang lahat ng taong kabilang sa mga tututok sa pagdating ng mga Pinoy.
Ang mga Pinoy na makikitaan ng mga sintomas ay agad ipapasok sa mga ospital bilang patients under investigation habang iyong mga asymptomatic o hindi makikitaan ng sintomas ay dadalhin sa quarantine facility sa New Clark City.
Isang kuwarto ang ilalaan kada isang tao pero kaya rin ng kuwartong ma-accommodate ang pamilya na may 3 miyembro.
""We will be providing the needed medical logistics, including hygiene kits, disinfectant solutions, transportation, and other things that will be needed in the quarantine process,"" ani Duque.
Limitado ang galaw ng mga naka-quarantine sa gusali kung saan lang sila nakatira.
Target ng gobyerno na maiuwi ang mga Pinoy ngayong weekend.
Apatnapu't limang Pinoy na ang nagsasabing gusto nilang umuwi ng bansa, ayon kay Foreign Affairs Undersecretary Brigido Dulay.
May 178 taong itinuturing na patients under investigation o pinaghihinalaang may novel coronavirus, ayon kay Duque.

Watch more in iWant or TFC.tv
SPECIAL FLIGHT PA-CHINA
Samantala, dahil sa laki ng demand ng mga banyagang pasahero sa Pilipinas na papuntang China, magsasagawa ng special flight ang Philippine Airlines (PAL) sa Lunes, Pebrero 10, ayon sa tagapagsalita ng airline.
Ito ay sa kabila ng ibinabang ban ng Pilipinas sa pagbiyahe papunta at pabalik ng Mainland China, Hong Kong at Macau bilang pag-iingat sa pagkalat ng novel coronavirus.
Lilipad nang balikan mula Ninoy Aquino International Airport at Xiamen, China ang eroplano.
Hindi bababa ng eroplano ang flight crew at piloto, pero pagbalik ng Pilipinas ay sasailalim ang mga ito sa 2 linggong quarantine, ayon kay PAL Spokesperson Cielo Villaluna.
Nasa 27,300 na ang nahawahan ng novel coronavirus, karamihan ay galing sa China, habang hindi bababa sa 560 ang namatay.
Sa Pilipinas, 3 na ang kumpirmadong kaso ng novel coronavirus, kabilang ang isang lalaking Chinese na pumanaw dito at isang babaeng pasyenteng nakabalik na ng China bago pa nakumpirmang positibo siya sa virus.
Samantala, isang Pinay household worker naman sa Dubai ang naiulat na nasawi dahil sa hindi pa natutukoy na strain ng coronavirus, ayon kay Labor Secretary Silvestre Bello III.
Hindi malinaw kung alin sa mga uri ng coronavirus ang ikinamatay ng 58 anyos na overseas worker, na galing General Santos City at 28 taon nang nagtatrabaho doon, ani Bello.
-- May ulat nina Raphael Bosano, Jacque Manabat, Johnson Manabat, ABS-CBN News
Bisitahin ang Patrol.PH para sa iba pang mga balita.
","['sa', 'ng', 'ang', '\n ', 'mga', 'na', 'china', 'coronavirus', 'isang', 'quarantine', 'ayon', 'pinoy', 'pilipinas', 'hindi', 'kay', 'ay', 'flight', 'novel', 'duque', 'hubei', 'eroplano', 'ito', 'pa', 'galing', 'sintomas', 'nang', 'pero', 'bansa', 'news', 'pabalik']",[],[[]],suspected,0,,[]
2020-02-06,nCov,ALAMIN: Bayad ba ang quarantine ng empleyadong na-expose sa 2019-nCoV?,"Joyce Balancio at Johnson Manabat, ABS-CBN News","

MAYNILA — Sa pagdami ng ulat ng kumpirmado at hinihinalang kaso ng 2019 Novel Coronavirus acute respiratory disease (2019-nCoV ARD) sa Pilipinas, sinusubukan ng Health officials na mapigilan pa ang pagkalat ng virus sa bansa. 

Pangatlong kaso ng novel coronavirus sa PH naitala sa babaeng Chinese

Isa sa paraan na epektibo ay ang pag-quarantine o pag-iwas sa pakikihalubilo sa tao upang hindi na kumalat pa ang sakit. Inirerekomenda ng mga awtoridad na hindi bababa sa 14 araw o 2 linggo ang gagawing quarantine para sigurado. 
Pero kapag hindi nakapagtrabaho ang empleyado dahil sa quarantine, sino ang dapat sumagot sa sahod nito? 
Iginigiit ng Trade Union Congress of the Philippines (TUCP) na dapat magkaroon ng ""14-day paid quarantine leave/hazard pay"" para sa lahat ng mga manggagawang kinakailangang maisailalim sa quarantine period.
Ayon kay TUCP president Raymond Mendoza, dapat na bayaran ng gobyerno at ng private sector ang kanilang mga empleyado na na-expose sa novel coronavirus.
Sabi naman ng Bureau of Local Employment (BLE) ng Department of Labor and Employment na dapat ibawas ang quarantine period sa leave credits ng empleyado. 
""Puwede po gamitin leave credits, pag wala nang leave credits, no-work-no-pay will apply po,"" ani BLE director Dominique Tutay.
Samantala, sinabi pa ni Tutay na maaari namang maging opsiyon ang work from home scheme. 
""Work from home is an option as we already have a law on telecommuting."" 
Bisitahin ang Patrol.PH para sa iba pang mga balita.
","['sa', 'ng', 'na', 'ang', 'quarantine', '\xa0\n ', 'dapat', 'leave', 'mga', 'coronavirus', 'credits', 'pa', 'hindi', '\n ', 'pag', 'work', 'novel', 'para', 'empleyado', 'tutay', 'tucp', '\n\n ', 'employment', 'period', 'kaso', 'o', 'po', 'pay', 'ble', 'home']",[],[[]],suspected,0,,[]
2020-02-06,nCov,Thousands quarantined on Asian cruise ships in virus fight,"Harumi Ozawa, Agence France-Presse","


Cruise ship Diamond Princess, where 10 people on the ship had tested positive for coronavirus yesterday, approaches Daikoku Pier Cruise Terminal in Yokohama, south of Tokyo, Japan, Feb. 6, 2020. Kim Kyung-Hoon, Reuters


YOKOHAMA - Thousands of people were stranded aboard 2 cruise ships in Asia on Thursday, quarantined by officials desperate to stem the spread of a deadly virus that has killed hundreds in China and spread panic worldwide.
At least 20 people on board 1 ocean liner off the Japanese coast have tested positive for the new coronavirus, with thousands more staring at a 2-week seaborne isolation. 
The outbreak on the vessel, whose 3,700 passengers and crew hail from over 50 countries, is the latest development in a snowballing global health emergency that has left more than 560 people dead, most of them in China.
Tens of thousands of people have been infected, including a few hundred in around 2 dozen countries.
The World Health Organization, which has declared the outbreak a global health emergency, on Wednesday appealed for $675 million to fight the virus.
In Japan, more than 3,700 people were stuck on board the Diamond Princess cruise ship, which has been held off the port city of Yokohama since Monday night.
Authorities decided to quarantine the ship and test hundreds on board after a former passenger who disembarked in Hong Kong last month tested positive for the virus.
Health Minister Katsunobu Kato told parliament on Thursday that results for 102 people had now come in, with 20 testing positive for the new strain.
In all, 273 people on board were tested, including those who had close contact with the former passenger and others displaying potential symptoms.
The first 10 people diagnosed with the new virus have already been removed from the ship, which on Thursday docked in Yokohama to resupply for a quarantine that could last until Feb. 19.
Ambulances arrived at the port, where officials could be seen dressed in white full-body protective suits, complete with face masks and helmets, to remove the additional 10 people who have tested positive.
An extendable white-tented passageway was wheeled to a door on the side of the massive cruise ship, apparently to protect the identity of people being evacuated from the boat.
'FLOATING PRISON'
""We are confined here full time,"" British passenger David Abel said in a Facebook Live video.
""The meals have completely changed. We are definitely not on a luxury cruise!... It's going to be like a floating prison.""
In Hong Kong, 3,600 passengers and crew spent the night marooned on board the cruise ship World Dream as authorities conducted health checks after 3 former passengers tested positive for the virus.
City health officials said passengers would only be allowed off after tests were completed, with crew checked first and passengers to be screened on Thursday.
Two dozen countries now have confirmed cases of the novel coronavirus that emerged from a Wuhan market selling exotic animals at the end of last year.
China is struggling with a shortage of hospital beds, equipment and materials to treat those infected, despite building 2 hospitals from scratch and converting public buildings to house patients.
'DON'T GO OUT!'
Tens of millions of people, from the eastern industrial heartlands to near the northern border with Russia, have been told to stay indoors as authorities battle to curb the outbreak.
In parts of Hangzhou, 175 kilometers (110 miles) from Shanghai, new restrictions allow only 1 person per household to go outside every 2 days.
""Please don't go out. Don't go out. Don't go out!"" blared a message on a loudspeaker urging people to wear masks, wash their hands regularly and report any people from Hubei -- reflecting a common fear that people from the province might infect others.
Several governments have imposed travel restrictions over the virus, while major airlines have suspended flights to and from China.
Italy announced that passengers on every international flight would be scanned for fever and on Thursday Taiwan banned all international cruise ships from docking.
China has reacted angrily to the travel bans, noting that the WHO does not advise imposing them.
Health experts note that the mortality rate of the new virus, at around 2 percent, is well below that of SARS, which killed 800 people in 2002-2003, around 10 percent of those infected.
Two fatalities have been reported outside the mainland, in Hong Kong and the Philippines.
","['\n ', 'people', 'cruise', 'virus', 'health', 'ship', 'passengers', 'tested', 'positive', 'new', 'thursday', 'china', 'board', '2', '10', 'yokohama', 'hong', 'officials', 'infected', 'outbreak', 'authorities', 'crew', 'kong', 'passenger', 'coronavirus', 'thousands', 'countries', 'feb', 'global', 'port']",[],[[]],suspected,0,,[]
2020-02-06,nCov,Travel bans upend Chinese lives,"Ludovic Ehret and Eva Xiao, Agence France-Presse","


Passengers arrive at LAX from Shanghai, China, after a positive case of the coronavirus was announced in the Orange County suburb of Los Angeles, California, US, Jan. 26, 2020. Ringo Chiu, Reuters/File


BEIJING - Students blocked from returning to their universities; tourists forced to extend expensive holidays; a scientist cut off from her lab in the United States: coronavirus entry bans are wreaking havoc on the plans of thousands of Chinese travelers.
From the US to Australia and Israel, several countries have banned entry to foreigners who have recently been in China, while major airlines have suspended flights to and from the country.
AFP spoke to 4 Chinese people in limbo:
EXTENDED VACATION
After traveling to Japan from the Chinese city of Chongqing for a skiing holiday in the mountains of Hokkaido, Wang Bili was supposed to return to Washington, where he works for an international organization, on Feb. 10.
""The American decision was a total shock,"" he said.
""I had to change my tickets for a later date to comply with the incubation period.""
Now he will not be able to return to Washington until mid-February, but he said he doubted whether the US decision would be effective.
""They can't know when a Chinese person left China,"" he said, noting that China does not stamp the passports of its citizens when they leave.
But the main thing bugging the 32-year old is the cost of extending his stay in Japan.
""This will cost me another $1,000,"" he said. ""I'm annoyed but what can I do?""
SYDNEY STUDENT
Like other Chinese students who were back at home when Australia announced its restrictions, Chloe has not been able to return to her university Down Under.
""Some Chinese students didn't even find out about it until they got off the plane in Australia. Then they had to pay out of their own pockets for a flight back to China,"" she said.
She is worried about paying her rent in Sydney, and being evicted if she cannot.
""Will we be able to graduate? It's really a hassle. All of this is upsetting the plans we had for the next 2 or 3 years.""
Her plans to take a holiday in New Zealand before term started again were also ruined, when the country announced similar restrictions.
""I've lost a lot of money in canceled hotel bookings.""
RESEARCH HALTED
When Sherry Huang first heard about the US travel ban, she felt shocked.
""How could such a strict measure come out so suddenly?"" said the 36-year-old, who is staying at her parents' home in Xiamen, in the southeastern province of Fujian.
Huang, who does biomedical research in the United States, had last visited China in 2016. This year was a rare chance to gather with family over the Lunar New Year holiday.
But the Chinese researcher is now stuck on the mainland after Washington banned all foreign nationals who have traveled to China in the last 2 weeks.
That means her lab experiments -– which she cannot conduct remotely –- have been suspended until she returns.
""This is a key time period,"" Huang emphasized. ""I have made some very interesting findings and we can make some new discoveries soon.""
If research is suspended now, she said, the impact will be ""pretty large.""
""China is so big -– implementing a travel ban on an entire country is not reasonable,"" said Huang. ""Such a large-scale travel ban will impact many people's lives.""
NO INFORMATION
A second-year student at the Royal Melbourne Institute of Technology, Xiao Shen said he has not heard anything from his university or Australian authorities since the ban. 
""Everything I know has come from the news,"" he fumed.
""Australia hasn't told us anything, nothing on whether term has been postponed or if we'll be able to take our classes over the internet... it's really irresponsible. I'm angry."" 
As Chinese students are forced to defer studies, top Australian universities stand to lose around $2 billion in fees alone, according to preliminary estimates from analysts at Standard & Poor's.
Xiao thinks Australia should only have banned entry to tourists, or those coming from Hubei province at the epicenter of the virus. 
""I understand it's for safety reasons but it's too much. They haven't thought about how it will impact foreign students at all.""
","['\n ', 'said', 'chinese', 'china', 'australia', 'students', 'ban', 'huang', 'able', 'holiday', 'impact', 'new', '2', 'country', 'washington', 'suspended', 'entry', 'return', 'year', 'announced', 'plans', '\xa0\n ', 'banned', 'travel', 'research', 'lab', 'term', 'united', 'australian', 'come']",['4 Chinese'],[[]],,4,Chinese,[]
2020-02-06,nCov,Coronavirus could cost Australian universities 'billions',Agence France-Presse,"


People wearing face masks walk by Flinders Street Station after cases of the coronavirus were confirmed in Melbourne, Victoria, Australia, Jan. 29, 2020. Andrew Kelly, Reuters/File


SYDNEY - The coronavirus outbreak could deliver a painful multi-billion-dollar hit to Australian universities, as high-paying Chinese students are forced to defer their studies, economists warned Thursday.
Top universities stand to lose around US$2 billion (Aus$3 billion) in fees alone, according to preliminary estimates from analysts at Standard & Poor's.
Under open-ended travel restrictions imposed by the government in a bid to prevent the spread of the coronavirus, non-Australian citizens or permanent residents who have been in China since Feb. 1 are not allowed into Australia.
The virus's outbreak came in between Australia's academic years -- which begin in February -- and as many of the country's roughly 165,000 Chinese university students had returned home for the Lunar New Year.
""Our calculation is one of higher-education fee revenues only, and excludes the broader economic contribution from students to accommodation, tourism, and domestic consumption of goods and services,"" S&P said in a report.
Foreign students are a vital income stream for Australian universities and one that has grown exponentially in recent years.
Australia is now 1 of the top 3 destinations for foreign students worldwide.
Student representatives told AFP that many of those students have not been able to return in time to start this semester and fear missing the whole year because of the way courses are constructed.
Universities have offered to defer placements and reimburse tuition fees, but many are also trying to buy time.
The University of Sydney has extended the last date students have to be on campus to March 30 -- more than a month after classes were due to begin -- and is trying to arrange for remote teaching.
Australia's top universities are expected to be disproportionately hit, but they should be able to absorb the blow, at least temporarily.
""We believe they have some buffer in free cash, leverage, and operating margin ratios to absorb a temporary shock to revenues,"" S&P said. 
","['\n ', 'students', 'universities', 'australia', 'coronavirus', 'australian', 'billion', '\n\n\n ', 'trying', 's&p', 'begin', 'outbreak', 'said', 'foreign', 'time', 'hit', '1', 'able', 'sydney', 'fees', 'chinese', 'years', 'year', 'absorb', 'university', 'revenues', 'defer', 'semester', 'march', 'standard']","['165,000 Chinese']",[[]],,165000,Chinese,[]
2020-02-06,nCov,Viral hysteria: Hong Kong panic buying sparks run on toilet paper,Agence France-Presse,"


Customers wear masks as they shop for instant noodles at a supermarket following the outbreak of a new coronavirus, in Hong Kong, China, Jan. 30, 2020. Tyrone Siu, Reuters/File


HONG KONG - Panic buyers in Hong Kong have descended on supermarkets to snap up toilet rolls as the government warned that online rumors of shortages were hampering the city's fight against a deadly coronavirus outbreak.
Videos obtained by AFP showed long queues of frantic shoppers packing trolleys with multiple packets of toilet rolls, with some arguments breaking out.
Rice and pasta have also become a popular target for panic buying.
The footage -- and photos of shelves emptied of toilet rolls -- sparked a call from the government for the public to halt panic buying. 
""In response to various rumors recently that there are shortages of goods such as rice and toilet papers, leading to panic buying and even chaos, a government spokesman today expresses regret over the malicious act of spreading rumors when the city is fighting against the disease, and condemns those rumor mongers with evil intentions,"" the statement said. 
While Hong Kong has closed most of its land borders to mainland China, where the coronavirus outbreak began, freight services have not been affected, the government said.
""There are sufficient stocks of staple food including rice and pastas. There is no need for the public to worry,"" the statement said.
Harold Yip, founder of Mil Mill, a Hong Kong-based waste paper recycling company, told AFP they received over 100 inquiries from members of the public about toilet paper on Wednesday alone.
RTHK news reported that toilet paper and rice at one supermarket in the district of Wanchai -- which had been fully restocked overnight -- were cleared within 30 minutes of the store opening on Thursday morning.
The supermarket chain Wellcome said rumors of shortages were unfounded. 
The coronavirus has killed more than 550 people in China since spreading from the central city of Wuhan late last year. 
Hong Kong now has 21 confirmed infections, including 1 patient who died.
The majority of those infected came from mainland China. 
But in recent days there has been a spike in carriers with no history of travel to the mainland sparking fears local transmissions were growing.
The city's pro-Beijing leader Carrie Lam has faced growing calls to close the border with China, a step she has been reluctant to take saying it would be economically damaging and discriminatory. 
Her administration has gradually cut the number of land border crossings to just 2.
On Wednesday, she announced anyone arriving from the Chinese mainland from Saturday would face a mandatory 2-week quarantine. 
While Hong Kong maintains close economic and cultural links to the Chinese mainland, as seething distrust of the authorities in Beijing permeates the city.
The 2003 outbreak of the SARS virus, which Beijing initially covered up, killed 299 people in Hong Kong and left lasting psychological scars on the densely populated city.
Lam already boasts record-low approval ratings after using riot police to quell 7 months of huge and often violent pro-democracy protests.
","['\n ', 'kong', 'hong', '\xa0\n ', 'toilet', 'city', 'china', 'mainland', 'said', 'panic', 'rumors', 'outbreak', 'government', 'coronavirus', 'rice', 'supermarket', 'buying', 'public', 'rolls', 'beijing', 'paper', 'shortages', 'growing', 'lam', 'border', 'people', 'chinese', '\n\n\n ', 'spreading', 'close']",['21 confirmed'],[[]],,21,confirmed,[]
2020-02-06,nCov,WHO investigates Singapore conference linked to foreign virus spread,"John Geddie, Reuters","


The facade of the Grand Hyatt hotel in Singapore, Feb. 5, 2020. Tim Chong, Reuters


SINGAPORE - At least 3 employees of a multinational company that held a meeting of more than 100 international staff in Singapore have contracted the new coronavirus, sparking a World Health Organization investigation of the case.
Malaysia and South Korea have confirmed 3 cases of the virus related to the mid-January company meeting held with 94 overseas staff at the Grand Hyatt hotel, and Singapore said late on Wednesday 4 other attendees were showing symptoms.
Authorities have not revealed the name of the company that held the meeting or said what business it is involved in.
Malaysian health authorities have said people from China including 1 from the city of Wuhan, where the virus emerged in December, attended.
""WHO is coordinating with relevant ministries of health in relation to it,"" Olivia Lawe-Davies, a spokeswoman for the WHO, said in response to questions from Reuters.
""As countries are stepping up surveillance, the detection of more cases of local transmission can be expected.""
Singapore has reported 28 cases of the coronavirus, including some involving person-to-person transmission.
The cases linked to the Singapore business meeting provide more evidence the virus is spreading through human-to-human contact outside China, which the WHO has said is deeply concerning and could signal a much larger outbreak.
China reported its biggest daily jump in fatalities from the virus on Thursday, up 73 to 563, although there have been only 2 reported deaths outside mainland China.
Malaysian health authorities first revealed the link to the Singapore business meeting when they confirmed the case of a 41-year-old Malaysian who had attended it, along with colleagues from China.
South Korea subsequently confirmed 2 cases involving South Korean who attended the conference. The Koreans and the Malaysian shared a buffet meal during the conference, South Korean media reported.
Of the 15 Singapore attendees, 4 have been referred to its National Center for Infectious Diseases, Singapore's health ministry said. All the overseas attendees have left Singapore, the ministry added.
A spokesman for the Grand Hyatt, Gerald Kheng, said the hotel had been deep cleaned after it was first informed of the incident by the health ministry on Tuesday and it was not aware of any other cases among guests or staff.
The city-state says no evidence has emerged of widespread community spread but it announced new precautionary measures on Tuesday including halting group activities such as school assemblies.
Several firms in Singapore have suspended business and media events, including a big travel fair, but the Singapore Airshow is set to go ahead next week albeit on a smaller scale.
","['\n ', 'singapore', 'said', 'health', 'cases', 'china', 'meeting', 'business', 'south', 'malaysian', 'reported', 'including', 'virus', 'staff', 'company', 'ministry', 'hyatt', 'confirmed', 'hotel', 'grand', 'authorities', 'attended', 'held', 'attendees', 'revealed', 'case', 'transmission', 'human', 'media', 'reuters']",['3 cases'],[[]],confirmed,1,cases,[]
