ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE
,Isetann Carriedo,Joymart Consolidated,14.5985001,120.9814821,,,,
,Pavilion at Greenfield District,,14.5794301,121.0528082,,,,
,Prism Plaza @ FiveE-comCenter,,14.539467,120.9826,,,,
,Worldwide Corporate Center Podium,,14.5820137,121.0521459,,,,
,Shoppesville Arcade at Greenhills Shopping Center,,14.6019843,121.0489887,,,,
,Tutuban Center (Centermall Building),"Prime Orion Philippines, Inc.; Ayala Property Management Corp.",14.6087349,120.9708793,,,,
,Ayala Malls Arca South,,14.577926,120.9821404,,,,
,Metropoint Mall,,14.5375678,121.0022005,,,,
,SM Cherry Congressional,,14.6015401,121.0415203,,,,
,Duty Free Philippines Fiesta Mall,,14.5010962,120.9994315,,,,
,Baclaran Supermall,,14.5329258,120.9968629,,,,
,Tutuban Center,,14.6072248,120.9730539,,,,
