ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,REGION,PROVINCE,CITY,BRGY,PSGC
0,101 Shopping Center,,13.6191435,123.1839003,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NAGA CITY,Tabuco,PH051724030
1,11/88 Mall,,14.6042271,120.973636,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,Barangay 293,PH133902007
2,1188 Mall,,14.60224,120.97405,8Xsc9XcTBMqy_BNP15OzBA,Yelp Fusion API,Yelp Fusion API,1/31/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,Barangay 292,PH133902006
3,138 Mall,Formerly known as Plaza Fair,10.2972571,123.900681,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),CEBU,CEBU CITY (Capital),Central (Pob.),PH072217022
4,167 Marketing,,14.58468698,121.1774329,188347844,OpenStreetMap,OpenStreetMap,2/5/2020,REGION IV-A (CALABARZON),RIZAL,CITY OF ANTIPOLO,San Jose (Pob.),PH045802008
5,168 Shopping Mall,Filipino-Chinese Traders Association (Davao City),14.6049356,120.9718826,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",BINONDO,Barangay 293,PH133902007
6,500 Shaw Zentrum,Lica Land,14.5882984,121.0437606,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",CITY OF SAN JUAN,Pedro Cruz,PH137405013
7,578 Emporium Borongan,578 Emporium,11.6094854,125.4330615,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 52,PH083747081
8,578 Emporium Tacloban,578 Emporium,11.2452936,125.0026273,,Wikipedia,Google Maps,16/02/2020,REGION VIII (EASTERN VISAYAS),LEYTE,TACLOBAN CITY (Capital),Barangay 17,PH083747038
9,8 Shoppe Mall,,17.1279131,121.8657696,ChIJreWiiXlChTMRuenow4uEFtk,Google Maps,Google Maps,5/2/2020,REGION II (CAGAYAN VALLEY),ISABELA,ILAGAN CITY (Capital),Calamagui 2nd,PH023114034
10,888 China Town Mall,,10.6733203,122.9499291,,Wikipedia,Google Maps,16/02/2020,NEGROS ISLAND REGION (NIR),NEGROS OCCIDENTAL,BACOLOD CITY (Capital),Barangay 8 (Pob.),PH184501043
11,999 Shopping Mall,,14.6055391,120.9731945,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
12,A. Bichara Silverscreen Entertainment Center,ABSEC,13.1491376,123.7526393,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),ALBAY,LEGAZPI CITY (Capital),Bgy. 34 - Oro Site-Magallanes St. (Pob.),PH050506033
13,A. Venue Mall,,14.566142,121.029785,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Post Proper Northside,PH137602021
14,Abanao Square,Pacific Land and Building Corp.,16.4140947,120.5941022,,Wikipedia,Google Maps,16/02/2020,CORDILLERA ADMINISTRATIVE REGION (CAR),BENGUET,BAGUIO CITY,Country Club Village,PH141102025
15,Abreeza,Ayala Land,7.0921104,125.6123753,,Wikipedia,Google Maps,16/02/2020,REGION XI (DAVAO REGION),DAVAO DEL SUR,DAVAO CITY,Matina Crossing,PH112402075
16,Ace CenterPoint,Ace Centerpoint,6.500036,124.845442,,Wikipedia,Google Maps,16/02/2020,REGION XII (SOCCSKSARGEN),SOUTH COTABATO,GENERAL SANTOS CITY (DADIANGAS),Dadiangas West,PH126303037
17,Active Fun,,14.5497074,121.0508311,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",PASAY CITY,Barangay 76,PH137605076
18,AGL Mall,,14.85415,120.86065,608wdtuq-2cfb3b733059498bae4222dbc7a16f48,Here WeGo,Here WeGo,5/2/2020,REGION III (CENTRAL LUZON),BULACAN,GUIGUINTO,Santa Rita,PH031408010
19,Agora Mall,,14.6049478,121.0230967,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Socorro,PH137404115
20,AH Shoppers' Mart,AH Shoppers' Mart Inc.,9.6412334,123.8565027,,Wikipedia,Google Maps,16/02/2020,REGION VII (CENTRAL VISAYAS),BOHOL,TAGBILARAN CITY (Capital),Poblacion III,PH071242012
21,Alabang Town Center,Ayala Land,14.4224503,121.0297185,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF PARAÑAQUE,Tambo,PH137604006
22,ALDP Mall,,13.6150725,123.1903184,,Wikipedia,Google Maps,16/02/2020,REGION V (BICOL REGION),CAMARINES SUR,NAGA CITY,Triangulo,PH051724032
23,Ali Mall,Araneta Group,14.6192721,121.0569041,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Bagumbuhay,PH137404007
24,Alphaland Makati Place Mall,,14.5627892,121.0162577,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT (Not a Province)",CITY OF MAKATI,Magallanes,PH137602013
25,Alphaland Southgate Mall,,14.5409212,121.0191118,,Wikipedia,Google Maps,16/02/2020,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT (Not a Province)",QUEZON CITY,Blue Ridge A,PH137404015
