ID,NAME,DEVELOPER,LAT,LONG,SOURCE_ID,SOURCE_NAME,SOURCE_GEOLOC,RECORD_DATE,points,REGION,PROVINCE,ÇITY,BRGY,PSGC
0,Mall of Alnor (MOA),Alnor Prime Properties,7.20152,124.25079,NT_zI.CrihAEHjvFP8wW022BC,Here WeGo,Here WeGo,2020-02-17,POINT (124.25079 7.20152),REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VI,PH129804025
1,CityMall Cotabato,DoubleDragon Properties,7.21349,124.24611,NT_ODllRYfGfkmFHQi4PfZNLC,Here WeGo,Here WeGo,2020-02-17,POINT (124.24611 7.21349),REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights IV,PH129804023
2,South Seas Mall,,7.20152,124.25079,NT_zI.CrihAEHjvFP8wW022BC,Here WeGo,Here WeGo,2020-02-17,POINT (124.25079 7.20152),REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VI,PH129804025
3,Puregold and Centro Shopping Center,Lucio and Susan Co,7.20152,124.25079,NT_zI.CrihAEHjvFP8wW022BC,Here WeGo,Here WeGo,2020-02-17,POINT (124.25079 7.20152),REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VI,PH129804025
4,Superama Hypermart,Tan Abing,7.20152,124.25079,NT_zI.CrihAEHjvFP8wW022BC,Here WeGo,Here WeGo,2020-02-17,POINT (124.25079 7.20152),REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VI,PH129804025
5,Fiesta Mall,Unknown businessman from Manila,7.20152,124.25079,NT_zI.CrihAEHjvFP8wW022BC,Here WeGo,Here WeGo,2020-02-17,POINT (124.25079 7.20152),REGION XII (SOCCSKSARGEN),COTABATO CITY (Not a Province),COTABATO CITY,Rosary Heights VI,PH129804025
6,101 Shopping Center,,7.81039,122.65653,NT_Gj0mqaDZrQURK7cZN06FDB,Here WeGo,Here WeGo,2020-02-17,POINT (122.65653 7.81039),REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,NAGA,La Paz,PH098309007
7,ALDP Mall,,7.81039,122.65653,NT_Gj0mqaDZrQURK7cZN06FDB,Here WeGo,Here WeGo,2020-02-17,POINT (122.65653 7.81039),REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,NAGA,La Paz,PH098309007
8,E-Mall,,7.81039,122.65653,NT_Gj0mqaDZrQURK7cZN06FDB,Here WeGo,Here WeGo,2020-02-17,POINT (122.65653 7.81039),REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,NAGA,La Paz,PH098309007
9,Grand Master Mall,,7.81039,122.65653,NT_Gj0mqaDZrQURK7cZN06FDB,Here WeGo,Here WeGo,2020-02-17,POINT (122.65653 7.81039),REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,NAGA,La Paz,PH098309007
