,Name,City/municipality,Province,Developer,Remarks
0,Mall of Alnor (MOA),Cotabato City,Maguindanao,Alnor Prime Properties,
7,101 Shopping Mall,Legazpi,Albay,,
10,E-Mall,Naga,Camarines Sur,,
42,Regent Central Commercial Complex,Iriga,Camarines Sur,Regent Land Developer Corp.,
50,Xentro Mall Malilipot,Malilipot,Albay,,
57,Fragante Citimall,Tuguegarao,Cagayan,,First shopping mall in North Luzon
72,Vista Mall Tuguegarao,Tuguegarao,Cagayan,Vista Land & Lifescapes,Upcoming
74,SM Center Tuguegarao Downtown,Tuguegarao,Cagayan,SM Prime Holdings,Second SM Mall in Cagayan Valley and First SM Mall in Cagayan
95,Name,City/municipality,Province,Developer,Remarks
116,Vista Mall Daang Hari,Bacoor,Cavite,Vista Land & Lifescapes,
136,Name,City/municipality,Province,Developer,Remarks
145,Name,City/municipality,Province,Developer,Remarks
148,Name,City/municipality,Province,Developer,Remarks
156,Gaisano Grand Mall Tandag (Soon to Rise),Tandag,Surigao del Sur,,
169,Fiesta Mall Paniqui,Paniqui,Tarlac,,
202,Tarlac Central Mall,Tarlac City,Tarlac,,
203,Tarlac Central Mall,Tarlac City,Tarlac,,
224,Bohol Quality Superstore Jagna,Jagna,Bohol,Bohol Quality Corp.,
278,SM Seaside City Cebu,Cebu City,Cebu,SM Prime Holdings,Biggest mall in the Visayas region and 4th largest mall in the Philippines
286,Centerpoint Plaza,Baguio,,,"Anchored by Puregold, Robinsons & BDO."
288,Maharlika Complex,Baguio,,,The 1st mall in the region; near Baguio City Market
293,168 Mall,Davao City,Davao del Sur,Filipino-Chinese Traders Association (Davao City),
313,NCCC Mall Davao,Davao City,Davao del Sur,New City Commercial Corp.,Site of the deadly 2017 Davao City mall fire.
323,Gaisano Capital Ormoc,Ormoc,Leyte,Gaisano,
362,GT 168 Mall,Boac,Marinduque,"Golden Three 168 Trading, Inc.",First mall in Marinduque
378,SBG Strip Mall,Iligan,Lanao del Norte,,
379,Squarelland Shopping Centre,Iligan,Lanao del Norte,,
389,Vista Mall,Cagayan de Oro,Misamis Oriental,Vista Land & Lifescapes,
392,Ororama Supercenter Cogon,Cagayan de Oro,Misamis Oriental,Ororama Supercenters Inc.,
394,Market City,Cagayan de Oro,Misamis Oriental,Ororama Supercenters Inc.,
416,Capitol Shopping Center,Bacolod,Negros Occidental,,
456,Lopue's South Centre,Bacolod,Negros Occidental,,
472,Street of Festive Walk,Iloilo City,Iloilo,Megaworld Corporation,
