source_id,date,category,title,author,text
,"February 25, 2020",nCov,"SKorea ‘very grave’, Moon says as coronavirus cases approach 1,000",THE MANILA TIMES,"SEOUL: The novel coronavirus outbreak in South Korea is “very grave,” President Moon Jae-in said on Tuesday as he visited its epicenter and the country’s total number of cases approached 1,000. The Korea Centers for Disease Control and Prevention (KCDC) confirmed 144 new infections, taking the tally to 977, the largest national total anywhere outside China, where the virus first emerged. Scores of events have been canceled or postponed as the outbreak has spread in the world’s 12th-largest economy, from K-pop concerts to the start of the K-league football season, with casualties on Tuesday including parliamentary sessions and the World Team Table Tennis championships. More than 80 percent of the infections have been in South Korea’s fourth-largest city Daegu and neighboring North Gyeongsang province. “The situation is very grave,” President Moon Jae-in said on a visit to Daegu, wearing the uniform of a government emergency official and vowing full government support. “We will achieve a victory in the fight against this virus,” he added. People buy face masks at a retail store in the southeastern city of Daegu on February 25, 2020. (Photo by Jung Yeon-je / AFP) The streets of Daegu — which has a population of 2.5 million — have been largely deserted for days, apart from long queues at the few shops with masks for sale. Authorities urged the public to exercise extra caution, advising citizens to stay home if they have a fever or respiratory symptoms. South Korea’s parliament canceled sessions Tuesday as it closed for cleaning after confirmation a person with the coronavirus had attended a meeting last week. The country’s flag carrier Korean Air also reported a cabin crew member had tested positive, without giving details. The staffer may have been infected by a group of South Korean pilgrims who flew to Israel, reports said, adding that the attendant subsequently flew from Incheon to Los Angeles and back last week. And the US hinted at scaling back joint military exercises, with Defense Secretary Mark Esper telling reporters in Washington the two allies’ militaries were “looking at scaling back the command post training due to concerns about the coronavirus.” The US Centers for Disease Control and Prevention advised travelers to “avoid all nonessential travel” to South Korea. Hong Kong has said it will not allow arrivals from South Korea other than returning residents, while a Mongolian ban on flights to and from the South came into force Tuesday. Organizers of the World Team Table Tennis championship, due to be held in Busan in March, said new dates in June had been “provisionally reserved.” The Korean Basketball League said it would hold matches behind closed doors “until the situation improves.” Government list Three more people had died, the KCDC said, taking the toll to 10. But the case numbers it announced represented the smallest daily increase for four days. People buy face masks at a retail store in the southeastern city of Daegu on February 25, 2020.  (Photo by Jung Yeon-je / AFP) South Korea has an advanced medical system, a free press and a strong culture of public accountability, and observers say that its health statistics can be treated with confidence. Most of the country’s infections are linked to the Shincheonji Church of Jesus, an entity often accused of being a cult. A 61-year-old female member developed a fever on February 10, but attended at least four church services in Daegu before being diagnosed. KCDC director Jung Eun-kyeong advised Shincheonji followers to refrain from going outside “as much as possible.” With public criticism growing, Shincheonji’s founder Lee Man-hee said the group would provide the government a list of all its members to have them tested for the virus. AFP AFP/CC   "
,"February 25, 2020",nCov,White House unveils $2.5B emergency coronavirus plan,THE MANILA TIMES,"WASHINGTON, D.C.: The White House on Monday sent lawmakers an urgent $2.5 billion plan to address the deadly coronavirus outbreak, whose rapid spread and threat to the global economy rocked financial markets. The White House budget office said the funds are for vaccines, treatment and protective equipment. The request was immediately slammed by Democrats as insufficient and came as coronavirus fears were credited with Monday’s 1,000-plus point drop in the Dow Jones Industrial Average and are increasingly seen as a potential political threat to President Donald Trump. The request was released Monday evening and came as key government accounts were running low. The Department of Health and Human Services had already tapped into an emergency infectious disease rapid response fund and was seeking to transfer more than $130 million from other HHS accounts to combat the virus but is pressing for more. “Today, the Administration is transmitting to Congress a $2.5 billion supplemental funding plan to accelerate vaccine development, support preparedness and response activities and to procure much needed equipment and supplies,” said White House budget office spokeswoman Rachel Semmel. “We are also freeing up existing resources and allowing for greater flexibilities for response activities.” The administration is requesting $1.25 billion in new funding and wants to transfer $535 million more in funding from an Ebola preparedness account that’s been a top priority of Democrats. It anticipates shifting money from other HHS accounts and other agencies to complete the $2.5 billion response plan. Senators returning to Washington after a weeklong recess will receive a classified briefing Tuesday morning on the government’s coronavirus response, a Senate aide said. A spokeswoman for Senate Appropriations Committee Chairman Richard Shelby said the panel “will take their input into account as we continue to do our due diligence to determine what additional resources are necessary.” Democrats said the request is insufficient and said Trump’s attempt to go after existing Ebola prevention funding is dead on arrival. “All of the warning lights are flashing bright red. We are staring down a potential pandemic and the administration has no plan,” said Senate Minority Leader Chuck Schumer, who blasted a shortage of kits to test for the virus and President Donald Trump’s proposed budget cuts to health agencies like the Centers for Disease Control and Prevention. “We have a crisis of coronavirus and President Trump has no plan, no urgency, no understanding of the facts or how to coordinate a response.” Trump was a vocal critic of President Barack Obama’s response to the 2014 Ebola scare, which barely touched the US but was seen as a factor in that year’s midterm elections, which restored control of the Senate to Republicans. Trump took to Twitter Monday to defend his record. “The Coronavirus is very much under control in the USA. We are in contact with everyone and all relevant countries. CDC & World Health have been working hard and very smart. Stock Market starting to look very good to me!” he tweeted. Among the needs is funding to reimburse the Pentagon, which is housing evacuees from China — who are required to undergo 14-day quarantines — at several military bases in California. Democrats controlling the House wrote HHS Secretary Alex Azar earlier this month to request funds to help speed development of a coronavirus vaccine, expand laboratory capacity, and beef up screening efforts at US entry points. House Appropriations Committee Chairwoman Nita Lowey, called the plan “woefully insufficient.” “Despite urgent warnings from Congress and the public health community, the Trump administration took weeks to request these emergency funds,” Lowey said in a statement. “Their answer now is to raid money Congress has designated for other critical public health priorities.” Azar is slated to testify before the Senate Appropriations Committee on Tuesday, and the US response to the outbreak is sure to be a major topic. The quickly spreading virus has slammed the economy of China, where the virus originated, and caseloads are rapidly increasing in countries such as South Korea, Iran, and Italy. Almost 80,000 people have contracted the disease, with more than 2,500 deaths, mostly in China. The United States, however, has had only 14 cases of the disease spread across seven states. In San Francisco, House Speaker Nancy Pelosi took a walking tour of Chinatown on Monday to let the public know the neighborhood is safe and open for business. Pelosi, a Democrat who represents the heavily Chinese American city, visited the Golden Gate Fortune Cookie Factory, whose owner Kevin Chan, says his business and others are down 70% since the outbreak of the coronavirus. “Çome to Chinatown,” Pelosi said. “Precautions have been taken by our city, we know that there’s concern about tourism, traveling all throughout the world, but we think it’s very safe to be in Chinatown and hope that others will come.” Asked about the Trump administration’s looming request, Pelosi said she would want to know how the money would be used. AP "
,"February 25, 2020",nCov,US and SKorea may cut back military moves due to coronavirus,THE MANILA TIMES,"WASHINGTON, D.C.: The United States and South Korea are considering curtailing joint military exercises due to concerns about the spread of coronavirus, officials said Monday. After a meeting at the Pentagon to review a full range of issues, including a standoff over US demands that Seoul pay a much bigger share of the cost of hosting American forces, Defense Secretary Mark Esper and South Korean Defense Minister Jeong Kyeong-doo told reporters that coronavirus is a threat to their schedule of military exercises. The exercises are held periodically throughout the year and are intended to prepare troops and commanders for potential combat against North Korea. Esper said the top South Korean and American commanders in Seoul “are looking at scaling back” some training exercises “due to concerns about the coronavirus.” He added that he is confident that commanders will find a way to protect troops while also ensuring that both countries “remain fully ready to deal with any threats that we might face together.” Jeong said the coronavirus situation in his country is “quite serious” and has compelled authorities to limit the movement of troops, which makes it more difficult to conduct exercises with American forces. He said there have been 13 confirmed coronavirus cases in the South Korean military. “Because movement has been limited between units, the situation is limited,” he said through an interpreter. South Korea has the second-largest number of cases in the world with 893 and has had a near 15-fold increase in reported infections in a week. In their remarks to reporters, Esper and Jeong left no doubt that their governments are stuck in a difficult standoff over the US demand for an unusually large increase in South Korea’s share of the cost of maintaining US forces on the peninsula. Negotiations have reached a standstill. Jeong said a US threat to furlough Korean workers who support US forces is “a very difficult pill to swallow.” Over the years, the amount that Seoul pays for the presence of about 28,000 US troops has varied, and most recently it was almost $1 billion. But the latest agreement between the two countries expired at the end of last year, and a new pact has not been approved.
Defense Secretary Mark Esper, (left) listens as South Korean National Defense Minister Jeong Kyeong-doo (right) speaks during a news conference at Pentagon in Washington, Monday, Feb. 24, 2020. AP PHOTO According to the Pentagon, the US has so far been paying the salary costs of the Korean National workforce. But the US funds will run out at the end of March unless the Korean government agrees to pay much more. If no agreement is reached, Esper said, the US will furlough most Korean employees on April 1 and would also suspend some construction and other activities. News reports have said the Trump administration is demanding a five-fold increase in South Korean contributions, to about $4.7 billion for 2020, but officials have not publicly confirmed the specifics. Esper said that South Korea is a “global economic powerhouse” and should contribute more to the cost of having American forces on the peninsula. Jeong said that South Korea increased its contribution by 8.2 percent last year and is considering a higher increase this year. The so-called Special Measures Agreement helps to offset the significant cost of stationing US forces., which have operated there since the Korean War, which lasted from 1950 to 1953. Contributions are divided across three categories: Korean National labor, South Korean-funded construction, and logistics, with the vast majority of South Korean contributions going back into its economy. AP "
,"February 25, 2020",nCov,China: Waging a two-front war on coronavirus and the economy,Frank Ching,"Frank Ching GENERATIONS of journalism students have been told that if a plane crashes, it’s news. If it doesn’t crash, it’s not news. Hence, news tends to be bad news. It isn’t surprising, therefore, that in reporting on the coronavirus currently afflicting China, attention is focused on the number of new infections and deaths every day. Hence, it came as something of a surprise when, on February 6 at the Chinese Foreign Ministry’s daily press briefing, spokesman Hua Chunying before taking questions said there was information from the National Health Commission that she wished to share. During the 24 hours of February 5, she announced, 261 patients had been cured and discharged, while there had been 73 fatalities. Newly confirmed cases, excluding Hubei, the disease’s epicenter, “declined for a second day starting from February 4.” It was a daring move, based on China’s interpretation of the direction in which the fight against the virus was moving. But it was not without reason. The previous day, President Xi Jinping met with Cambodian Prime Minister Hun Sen and informed the visitor that China’s “most thorough and rigorous measures” to fight the outbreak were “producing results.” President Xi has exuded confidence in this battle against the virus from the beginning. At his meeting with World Health Organization Director General Tedros Adhanom Ghebreyesus on January 28, he let it be known that he was personally in charge of the campaign against the “devil” virus. He showed how an authoritarian government could marshal resources in this battle, without having to answer annoying questions from media or legislators. Since February 5, the Foreign Ministry each day began its briefing with a good-news report. And the figures continued to bear out the official optimism. After 10 days, it seemed evident that the virus was slowly but surely coming under control. But a number of events last week demonstrated that the virus wasn’t that easily conquered and was, in fact, a real devil. On Monday, February 17, the state news agency Xinhua made it known that the annual parliamentary meeting scheduled for March was likely to be postponed. The meeting is normally held alongside the annual meeting of the nation’s top advisory body, each attended by thousands of delegates. These meetings have not been postponed in 25 years. In a way, it makes sense to postpone what is generally called the “two sessions.” After all, in 2003, when another virus lurked in China, the meetings went ahead with deadly consequences. Thousands of delegates from around the country descended on Beijing, bringing with them the severe acute respiratory syndrome virus. The capital, then, became seriously infected. Clearly, China doesn’t want this to happen again. On Wednesday, Xi convened a meeting of the Politburo Standing Committee, a seven-man body at the apex of the Communist Party, which listened to reports on the campaign against the epidemic and studied the coordination of epidemic prevention and economic development. After studying “relevant opinions,” it decided to refer the matter to the full 25-member Politburo. The decisive Politburo meeting, again presided over by Xi, was held two days late on February 21. At that meeting, the Politburo decided that “a turning point in the development of the national epidemic situation has not yet arrived,” meaning the epidemic had not yet reached its peak. This was no doubt disappointing, but probably realistic, in view of outbreaks in hospitals in Beijing and clusters of infections in at least four prisons across three provinces. A release issued after the meeting also highlighted “all-out epidemic control efforts in Beijing,” suggesting serious misgivings over the situation in the capital. On Sunday, Xi delivered a major speech in which he called the current coronavirus a threat the country’s “biggest public health emergency” in 70 years. He made it clear that fighting the virus alone was not enough because of the simultaneous need to advance on the economic front, after a month in which much of the economy had been locked down. Calling the situation a crisis, Xi acknowledged shortcomings in the party’s response, but still voiced confidence in eventual triumph, though he said there would be “a considerable impact on the Chinese economy and society.” So, China today is waging a two-front war. On one hand, it can’t let its guard down where the virus is concerned. On the other, it has to revive its economy, the basis for its global influence. The stakes are high. The global audience is, in effect, viewing an epic battle in which China is battling two foes at the same time, but cannot afford to lose either struggle. The final outcome will be big news indeed. Frank.ching@gmail.com "
,"February 25, 2020",nCov,Lazio on Juve’s heels as coronavirus fears rise,Agence France-Presse,"MILAN: Lazio kept their bid for a first Serie A title in 20 years on track as they stayed one point behind leaders Juventus with a 3-2 win at Genoa on Sunday (Monday in Manila), but four Serie A matches were postponed amid growing coronavirus fears in northern Italy. Reigning champions Juve had edged out bottom club SPAL 2-1 on Saturday, but Lazio responded to keep the pressure on at the top, extending their unbeaten run in the league to 20 games in the north-western port city. Third-placed Inter Milan, who are six points behind Juve, saw their game on Sunday at the San Siro against Sampdoria postponed, with Thursday’s Europa League match against Bulgarian club Ludogorets at risk, along with next weekend’s league clash with Juventus in Turin. Three other top-flight matches were also pushed back — between Torino and Parma, Atalanta versus Sassuolo and Hellas Verona against Cagliari. Prime Minister Giuseppe Conte announced late on Saturday that all sporting events in two northern regions would be suspended on Sunday. Strong measures are being taken in Italy with over 152 confirmed cases of coronavirus in an outbreak that has claimed three lives in the country. “I think it’s right to take the necessary precautions,” said Lazio coach Simone Inzaghi. “Do a lot of prevention, try to defeat and understand the problem by stopping the championship, because we shouldn’t underestimate what is happening.” On the pitch in Genoa, Adam Marusic scored the opener for Lazio with less than two minutes on the clock before Ciro Immobile, the top flight’s leading scorer this season, netted his 27th Serie A goal of the campaign six minutes into the second half. The Italian striker pulled six goals clear of Juventus star Cristiano Ronaldo who scored for a record-equalling 11th consecutive Serie A game in his 1,000th professional match against SPAL. Francesco Cassata pulled one back for the relegation-threatened hosts, but Danilo Cataldi secured Lazio all three points despite Domenico Criscito’s late consolation. AFP "
,"February 24, 2020",nCov,G20 gathering weighs coronavirus threat,Agence France-Presse,"RIYADH: The deadly coronavirus epidemic will dent global growth, the International Monetary Fund (IMF) warned on Saturday, as Group of 20 (G20) finance ministers and central bank governors weighed its economic ripple effects at a two-day gathering in Riyadh. The coronavirus disease 2019 (Covid-19) outbreak will shave about 0.1 percentage point from global growth and constrain China’s growth to 5.6 percent this year, IMF chief Kristalina Georgieva told luminaries from the leading 20 economies in the Saudi capital. The gathering comes amid growing alarm over the new virus as Chinese authorities lock down millions of people to prevent its spread, with major knock-on effects economically. Riyadh: Managing Director of the International Monetary Fund Kristalina Georgieva arrives for a Welcome Dinner at the Murabba Palace in Riyadh on February 22, 2020 during the G20 finance ministers and central bank governors meeting. AFP PHOTO The virus has now claimed 2,345 lives in China, cutting off transportation, disrupting trade and fanning investor alarm as businesses are forced to close their doors. “Global growth would be about 0.1 percentage points lower,” Georgieva said. “But we are also looking at more dire scenarios where the spread of the virus continues for longer and more globally, and the growth consequences are more protracted,” she added. At the meeting in Saudi Arabia, the first Arab nation to hold the G20 presidency, financial leaders also discussed money laundering, digital currencies and ways to achieve a global taxation system for the digital era. But at the core of the discussions was an action plan to shield the world economy — already facing a slowdown — from the impact of the outbreak, said French Finance Minister Bruno Le Maire. “The question remains open: whether it will be a V-shape with a quick recovery of the world economy or whether it would lead to a L-shape with a persistent slowdown in world growth,” Le Maire told reporters. “This is the key question.” A senior United States treasury official said Washington was “closely watching” the developments relating to the virus and assessing its effects. China has said it will not be sending any leaders from Beijing for the Riyadh gathering, chaired by the kingdom’s finance minister Mohammed al-Jadaan and central bank governor Ahmed al-Kholifey. But it said the Chinese ambassador in the kingdom will instead lead a small delegation. Coordinated answer’
The G20 organizers also hosted a ministerial-level symposium on international taxation on Saturday, focused on the challenges arising from the digitalization of the global economy. “There is a consensus among the G20 members on the necessity of getting this new international taxation system for the sake of fairness and efficiency,” said Le Maire. He urged the gathered leaders to reach a compromise solution by the end of the year over the digital tax on giants such as Apple, Facebook and Google, which has emerged as a key bone of contention between the US and France. Presidents Emmanuel Macron and Donald Trump have agreed to extend negotiations on the proposed French tax on digital giants to the end of the year, postponing Washington’s threat of sanctions against Paris. France has said it would drop its tax if an international agreement is reached under the auspices of the Organization for Economic Cooperation and Development (OECD). The OECD says the tax changes under discussion could increase global corporate income tax revenues by some $100 billion (92 billion euros) annually. “A coordinated answer is not the better way forward, but the only way forward,” OECD chief Angel Gurria told the Riyadh gathering. Last month, Britain said its own planned digital tax on hugely profitable technology giants will proceed from April despite US threats of retaliatory tariffs. “You cannot have in a global economy different national tax systems that conflict with each other,” US Treasury Secretary Steven Mnuchin said in Riyadh. Even as France has put its plans on hold, other European nations like Italy and Austria have introduced their own digital levy. Saudi Arabia’s G20 presidency will see it host world leaders for a summit in Riyadh from November 21 to 22. It will hold more than 100 events and conferences in the run-up to the summit, including ministerial meetings, organisers say. Human rights groups have urged G20 member states to exert pressure on the kingdom over its intensifying crackdown on dissent, which has seen women activists, journalists and political dissidents jailed. AFP "
,"February 24, 2020",nCov,Coronavirus puts cruise industry in the dock,The Manila Times,"HONG KONG: Deadly viruses, chickenpox outbreaks and mass cases of the runs: sometimes sailing on luxury cruise ships are not the trips of a lifetime elderly passengers had hoped for. Cruise-goers have fallen sick en masse in the past with their predicament on the high seas coming into sharp focus because the holidays can cost thousands of dollars and are often marketed as trips of a lifetime. “Cruise ships are very prone to outbreaks of common cold and the vomiting virus,” said John Oxford, professor of virology at Queen Mary University of London. “Invariably the ships are overcrowded and with so many passengers, hygiene levels can slip.” The United States Centers for Disease Control and Prevention (CDC) logged eight outbreaks aboard cruise ships last year of the highly contagious norovirus, which causes vomiting and diarrhea hardly the stuff of a dream holiday. Measles, E. coli, chickenpox and salmonella poisoning have all broken out on cruises in recent years. “Unfortunately, the more elderly demographic found on a typical liner are more likely to be susceptible to anything which might present a serious health challenge,” warned Dr. Simon Clarke, an associate professor at Britain’s University of Reading. With global concerns mounting about the threat of the new coronavirus, an elderly Japanese man and woman died on Thursday having been on the virus-stricken Diamond Princess. The vessel, moored in Yokohama, Japan, was by far the biggest coronavirus cluster outside the epicenter in China. Some have pointed the finger at Japan’s authorities for how they handled the 14-day quarantine of hundreds of passengers. Annual growth
Stewart Chiron, a leading industry expert, says that cruise ships are nothing like the hotbed of viruses that they are painted out to be and cruise lines take “extensive precautions to keep ships clean.” US-based Chiron says the image of thousands of people crammed together on board ripe conditions for the spread of illness is also wide of the mark. According to him, citing CDC figures, of the more than 31 million people who went on a cruise last year, there were 1,038 cases of norovirus, or 0.003 percent. Chiron and other experts say that the cruise industry has successfully shrugged off past negative headlines and will quickly bounce back once the coronavirus passes. Cruise Lines International Association, the world’s largest cruise industry trade organization, says 17.8 million people took an ocean cruise in 2009, compared with last year’s 31 million, demonstrating its continually growing popularity. "
,"February 23, 2020",nCov,Coronavirus cases surge in South Korea,Agence France-Presse,"SEOUL: South Korea reported 142 more coronavirus cases on Saturday, the sharpest spike in infections yet, with many new cases involving patients being treated in hospital for mental health issues. ANOTHER ONE Medical workers wearing protective gear carry a patient infected with the Covid-19 at a hospital in Chuncheon on Saturday. YONHAP / AFP PHOTO The national toll of 346 is now the second-highest outside of China, with the jump in cases at the hospital in the southern city of Cheongdo following a similar spike among members of a religious sect in the nearby city of Daegu. Among the new cases, 92 were “related” to patients or staff at Cheongdo Daenam Hospital, the Korea Centers for Disease Control and Prevention (KCDC) said. “Most of the hospital’s patients who have been diagnosed are those who had been staying as inpatients for mental illnesses,” Seoul’s Vice Health Minister Kim Gang-lip told reporters. Some cases show “no confirmed epidemiological connections,” meaning they are not sure where or how they contracted the virus, he added. Authorities reported another death on Saturday, taking the toll to two. Both victims had been inpatients at the hospital. Almost 170 members of the Shincheonji Church of Jesus have now been infected, starting with a 61-year-old woman who attended at least four services at the church’s Daegu branch before being diagnosed. “Those who are related to Shincheonji’s Daegu branch account for 48 percent of all confirmed cases,” KCDC director Jung Eun-kyeong told reporters. KCDC said some 9,300 Shincheonji members in Daegu have either been quarantined at facilities or have been asked to stay at home. Among them, 1,261 said they had symptoms, health officials added. The mayor of Daegu — South Korea’s fourth-biggest city, with a population of over 2.5 million — has advised locals to stay indoors, while access to a major US military base in the area has been restricted. One of the Shincheonji members in Daegu visited China — where the deadly virus was first detected — in January, while some three others are believed to have traveled to other countries, KCDC director Jung said. Cheongdo, some 27 kilometers south of Daegu, is the birthplace of Shincheonji’s founder Lee Man-hee. County officials said on Friday that a three-day funeral was held for one of the church members three weeks ago at a hall owned by the Cheongdo hospital. Shincheonji is often accused of being a cult and claims its founder Lee has donned the mantle of Jesus Christ and will take 144,000 people with him to heaven on the day of judgement. But with more church members than available places in heaven, they are said to have to compete for slots and pursue converts persistently and secretively. President Moon Jae-in on Friday called for a “thorough investigation” of everyone who attended the funeral and Shincheonji services. The central government on Friday had declared Daegu and Cheongdo “special management zones,” with Prime Minister Chung Sye-kyun saying the region would be supported with medical personnel, beds and equipment. Authorities in Seoul banned public rallies at three main locations on health and safety grounds. The US army garrison in Daegu — where around 10,000 soldiers, civilians and family members live or work — has restricted access and instructed any American troops who recently attended Shincheonji services to self-quarantine. Shincheonji offered an apology, suspending its worship services and gatherings nationwide. “We are deeply sorry that because of one of our members, who thought of her condition as a cold because she had not traveled abroad, led to many in our church being infected and thereby caused concern to the local community,” it said in a statement. "
,"February 23, 2020",nCov,Wuhan doctor dies of coronavirus before wedding,Xinhua,"WUHAN: At a meeting room-turned memorial hall at a Wuhan hospital, doctors and nurses wrote down their memories of Peng Yinhua on three notebooks before rushing back to treat patients infected with the novel coronavirus. Peng, a 29-year-old doctor at the First People’s Hospital of Jiangxia District, was the latest medical worker, and among the youngest, who died from the virus on Thursday night, leaving behind his pregnant wife and a wedding yet to be held. The respiratory doctor became infected while working to combat the novel coronavirus at the hospital. He was hospitalized on January 25 and died at Wuhan Jinyintan Hospital despite all-out efforts to save his life. His colleagues remembered him as an honest, optimistic and hard-working young lad. “I still remember the day when you were transferred to Jinyintan (Hospital), you still looked bright,” read one comment on the notebook. “He is diligent and motivated at work, fulfilling his job faithfully and never complaining about difficulties. He is very popular among us,” said Chen Hao, ward director of the respiratory and critical care department where Peng had been working. Chen said Peng was supposed to tie the knot in November 2017 but the wedding was postponed to February 1 this year as he was then attending a training course. The hospital had allowed him a holiday for the wedding but Peng offered to delay the big day to stand with other colleagues amid the raging epidemic. “Patients swarmed in after our department was designated as an isolation ward. We treated 130 patients in one day, and all doctors ate and slept in the hospital,” Chen said. Peng developed symptoms including loss of appetite and low fever on Jan. 24, the eve of the Chinese New Year. The next day, his CT results showed evidence of infection. "
,"February 23, 2020",nCov,Using technology to cope with disruption caused by the coronavirus outbreak,NOEMI LARDIZABAL-DADO,"NOEMI LARDIZABAL-DADO With no proven cure in sight, the race is on to find a treatment for the coronavirus disease 2019 (Covid-19). Meanwhile, the fatalities, the confirmedcases and disruption caused by the coronavirus outbreak continues. The impact on the tech industry is being predicted in a new report by TrendForce, a supply chain analytics provider. TrendForce’s investigation range from semiconductors, memory products, panels, telecommunications, green energy to consumer electronics and automobiles. The Mobile World Congress, the world’s biggest phone show, is no longer taking place this year because of coronavirus concerns. Aside from having a material impact on Apple’s bottom line, a “worldwide iPhone supply would be temporarily constrained.” While the coronavirus outbreak situation brings a strain on tech companies and most retail, restaurants, hotels, airlines, and other offline businesses, an opportunity opens doors for some tech companies. China and major hubs like Hongkong and Singapore use technology to cope with the coronavirus outbreak when citizens stay at home or do remote work. Learning from their experience would also prepare us on how work and the school situation may have to change during a crisis. Remote workers, online students and bored people in the world’s biggest internet population overwhelmed apps, games and streaming sites that they have to deal with the occasional server crash, challenging even the most experienced service providers. Could the Philippines’ telecom providers handle an overload of users?
Let’s look at how some countries leverage technology. Many are forced to stay at home, boosting online activities. Schools in China postponed their Spring classes. Some teachers now stream their classes online. Free online classes are being offered from some tutoring centers. Students ask questions in a live chat box. Studying at home has become an engine driving the growth of online education, according to Global Times China. Digital advertising of online education “increased significantly, which also brings benefits to advertisers”.China’s real estate company, Evergrande claims 10 million people are using its app which allows shoppers to connect with consultants and virtual reality house tours. Even courts are moving online. Shanghai High Court reported a 63 percent increase in online court cases compared to the same period last year. Online court technology is being used in other parts of China but before the trial, the participants needed to be contacted by phone or WeChat and taught how to use the software. Gaming apps, fitness apps, online health services, enterprise collaboration apps, cross-border e-commerce apps are thriving. Thomas Graziani from walkthechat.com reported the change in consumption patterns, boosts some industries. In gaming, top-grossing apps include Tencent’s “Game for Peace” and “Honor of Kings”. The game “Plague Inc.” which lets players “spread and evolve a deadly plague to bring about the end of the human race” was also a hit. Offline gyms like Keep closed down until further notice. Keep, the number 1 fitness app in China used the Douyin live streaming feature to move the classes online. The new “Health” segment in the WeChat Wallet menu covers the ability to track in real-time the epidemic data of every district in every province. Online consultations for doctors in virology are in demand. WeChat Work, the enterprise communication App from Tencent released a set of unique features directed at facilitating remote work such as online meetings up to 300 people. Cross-border e-commerce like Omall and Haitun, is booming because Chinese residents are searching for supplies such as face masks now unavailable in China. The governments of Singapore, Hong Kong, and Macao ordered civil servants to work from home and requested private employers to do so where possible, with only essential staff or emergency service providers still at the office. Some schools have been suspended so teachers conduct classes through digital learning tools, such as Google Hangouts and other video conferencing software. Online classes are challenging for some educators who work with children with special learning needs or disabilities. Working at home for those in the digital based sectors seems effective since one only needs an internet connection and a computer. Brice Lamarque, sales and accounts director at a web and branding agency in Hong Kong was interviewed by CNN Business. Lamarque mentioned “that all the agency’s employees have been working from home this month and would continue for as long as the Hong Kong government advises”. A friend in Singapore in the same sector alternates work days with home and office using whatsapp for office chat and a virtual private network (VPN) to access shared files. Employees in customer service industries don’t have the optionfor remote work. While the coronavirus outbreak has changed the way of life in China and major hubs, technology companies could seize this opportunity for growth, for better internet and online services. Perhaps, it is time to conduct a work-from-home experiment in Metro Manila to check if servers could handle household demand. "
