source_id,date,category,title,author,text
,"February 28, 2020",nCov,Philippine Airlines lays off 300 workers,Ralf Rivas,"
 
MANILA, Philippines – Philippine Airlines (PAL) terminated some 300 employees, as the company incurs losses primarily due to the travel bans caused by the novel coronavirus.
""The streamlining will strengthen the company in the wake of losses sustained in 2019, aggravated by the ongoing travel restrictions and flight suspensions to areas affected by COVID-19,"" PAL said on Friday, February 28, referring to the disease caused by the novel coronavirus.
The airline said that it implemented a ""voluntary separation initiative"" for long-serving employees and a retrenchment process on Friday.
PAL said that affected employees will receive ""appropriate separation benefits,"" as well as trip pass privileges.
Affected employees will also get career counseling and outplacement support.
""PAL continues to be focused on managing the risks related to the COVID-19 situation, in the interest of public health and safety,"" it said.
Parent firm PAL Holdings earlier told the Philippine Stock Exchange that it registered a total comprehensive loss of over P3 billion in the 1st semester of 2019, a sharp 355% increase from the total loss of P661.6 million during the same period in 2018.
PAL reported consolidated expenses amounting to P77.75 billion in the six-month period of 2019, 3.3% higher than the previous year's total of P75.27 billion.
The novel coronavirus that originated from Wuhan, China, has so far killed over 2,800 and sickened over 83,700 people across the country and worldwide. The World Health Organization already declared an international emergency over the virus.
As of Friday, the Philippines has recorded 3 confirmed cases of the novel coronavirus, all of them Chinese. One died, while the other two recovered.
The DOH has also probed 621 patients in the Philippines for possible infection. Of this number, only 30 remain admitted to heath facilities nationwide, while 588 have been discharged. – Rappler.com
  "
,"February 28, 2020",nCov,"PH coronavirus watch: Suspected cases per region, as of February 28, 2020",Rappler.com,"
PREPARATION. A sign of 'No mask, No Entry' is put into the entrance of San Lazaro Hospital in Manila. Photo by Inoue Jaena/Rappler 
MANILA, Philippines – Health authorities continue to ramp up their efforts to detect possible cases of the novel coronavirus in the Philippines.
As of Friday, February 28, the Department of Health said it has probed 621 patients. Out of this number:

30 - admitted to hospitals
588 - discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of COVID-19, the disease caused by the new virus, while the other two have since recovered.
There is still no recorded case of local transmission in the country.
Below is the latest breakdown of patients under investigation per region. All numbers are from the DOH's nCoV tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
12


Cagayan Valley 
37


Cordillera Administrative Region
29


Central Luzon
65


Metro Manila
204


Calabarzon
80


Mimaropa
15


Bicol
13


Western Visayas
39


Central Visayas
62


Eastern Visayas
18


Northern Mindanao
18


Caraga
3


Davao Region
23


Soccsksargen
3


Bangsamoro Autonomous Region in Muslim Mindanao
1



There are at least 85 Filipinos confirmed to have the virus, but all are based outside the Philippines, including two in the United Arab Emirates, two in Hong Kong, one in Singapore, and 80 who were aboard a cruise ship quarantined in Japan.
The World Health Organization earlier declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed 2,791 and infected more than 78,900 people in China. Cases have been recorded in at least 50 countries. – Rappler.com "
,"February 28, 2020",nCov,PH eyes repatriation of Filipinos in Macau amid coronavirus scare,Michelle Abad,"
MACAU. Visitors wear face masks as they walk outside the Venetian casino hotel resort as a Lunar New Year light display is projected upon a facade of the building in Macau on January 22, 2020, after the former Portuguese colony reported its first case of the new SARS-like virus that originated from Wuhan in China. Photo by Anthony Wallace / AFP 
MANILA, Philippines – The Philippine government is eyeing the repatriation of Filipinos in Macau, Health Assistant Secretary Maria Rosario Vergeire said on Friday, February 28.
Vergeire said in a news briefing that the Inter-agency Task Force (IATF) met to discuss the plan and were reaching out to the Macau government for the repatriation process.
The IATF is also discussing logistical matters, such as what kind of carrier the repatriates would be brought in, if they would travel by air or sea.
Vergeire said that the final decision may be reached after the IATF meeting this weekend.
Cabinet Secretary Karlo Nograles, an ex-officio member of the IATF, said in a news brieing earlier this week that at least 200 Filipinos in Macau have signified their desire to be repatriated.
Unlike the repatriates from Wuhan, China; and the Diamond Princess cruise ship in Japan, the DOH said that repatriates from Macau and other countries would not be brought to the New Clark City (NCC) in Capas, Tarlac, for quarantine.
Vergeire said that the Diamond Princess repatriates had a ""special situation,"" because the transmission dynamics are unique on the ship. Since it is a contained place, it is difficult to determine the circumstances of the people on board, so the Philippine government quarantined them in New Clark City where they could be closely monitored.
Since the possible repatriates from Macau were not subject to the same situation, the DOH would only consider them as persons-under-monitoring, subject to home-based quarantine. Vergeire noted that they would be strictly monitored.
The first batch of 49 Filipino repatriates from Hubei province were quarantined in NCC and discharged on February 21.
Four days later, 445 repatriates from the Diamond Princess were brought to NCC. The DOH reported that a total of 5 exhibited symptoms, although two had already tested negative for COVID-19. Three were still awaiting results. – Rappler.com "
,"February 28, 2020",nCov,Coast Guard probes foreign ship for violating PH quarantine rule,Rappler.com,"
DETAINED. The 'MV Harmony 6' is held at the anchorage area of Poro Point in La Union after its captain allegedly lied about their date of departure from China. Photo from Philippine Coast Guard 
MANILA, Philippines – The Philippine Coast Guard (PCG) is investigating a foreign cargo vessel for allegedly violating the Philippines’ 14-day quarantine rule amid the novel coronavirus outbreak.
PCG Spokesperson Commodore Armand Balilio said that PCG Commandant Admiral Joel Garcia ordered the investigation of the Panama-flagged MV Harmony 6, which arrived at Poro Point in La Union on February 23.
Captain Luu Van Loi, MV Harmony 6 skipper, declared to Philippine authorities on February 23 that the ship left China on February 10, apparently to skirt the 14-day quarantine strictly implemented on ships coming from China and other areas with the coronavirus outbreak. 
The PCG said that based on the initial report, the MV Harmony 6 arrived in Changzhou, China, on February 13 and left that country on February 18. 
“Scheduled to have its next port call at the Port of Poro Point in La Union, Philippines, the crew of the vessel allegedly turned off its Automatic Identification System (AIS) from 19 February 2020 until its arrival in Philippine waters on 23 February 2020,” the PCG said.
The MV Harmony 6 was placed under temporary detention at the anchorage area pending PCG investigation.
“PCG will coordinate with BOQ to identify possible criminal charges if MV Harmony 6 will be found guilty of mentioned violations,” the PCG said.
Under the rule, foreign vessels that came from any country with reported COVID-19 cases should observe a 14-day period from its date of departure to its arrival in Philippines waters, before the Bureau of Quarantine (BOQ) conducts a health inspection on its crew. This is a requirement for the issuance of port clearance.
“However, due to the Captain’s misrepresentation of its date of departure from China, the BOQ team boarded the vessel to conduct the health inspection among its 18 Vietnamese and 5 Indian crew in just 6 days, instead of the required 14-day quarantine period,” the PCG said.
Fortunately, the PCG Command Center, with the help of the National Coast Watch Center (NCWC), managed to alert La Union port authorities about the altered date of departure on February 24, a few hours after the health inspection.
The Philippines has imposed a partial travel ban on China and its administrative regions Hong Kong and Macau to help prevent the spread of COVID-19. 
As of  Friday, the COVID-19 death toll in mainland China stands at 2,788, while there are 78,824 people infected with the virus there. – Rappler.com "
,"February 28, 2020",nCov,2 more repatriates from cruise ship in Japan show flu-like symptoms – DOH,Michelle Abad,"
REPATRIATED. The government begins efforts to repatriate Filipinos from the Diamond Princess cruise ship in Japan. They had been quarantined following an outbreak of the novel coronavirus on the ship. Photo from the Department of Foreign Affairs 
MANILA, Philippines (UPDATED) – The Department of Health (DOH) confirmed on Friday, February 28, that two more repatriates from the coronavirus-hit Diamond Princess cruise ship docked in Japan showed flu-like symptoms.
This brings the number of symptomatic repatriates to 5. Three, not feverish, were reported to exhibit symptoms on Thursday, February 27. However, the DOH announced that 2 of them had already tested negative for the coronavirus disease (COVID-19). The remaining 3 are awaiting results. 
The two new persons under investigation were brought to a referral health facility due to sore throat. Their specimens were collected and sent for testing at the Research Institute for Tropical Medicine.
“While we are still waiting for the other test results, we assure the public that our referral hospitals are well-equipped and prepared to handle COVID-19 cases once they arise. Our health response team at the quarantine facility is being extra cautious to prevent further health risks,” said Health Secretary Francisco Duque III.
Of the 538 Filipinos who were previously quarantined on the cruise ship docked in Yokohama, a total of 445 were repatriated late Tuesday night, February 25. They went through several layers of screening before, during, and after the flight to ensure they were asymptomatic and coronavirus-free.
All the Filipino repatriates from Diamond Princess are subject to another 14 days of quarantine from their arrival in New Clark City.
Eighty Filipino crew members have so far tested positive for COVID-19. These confirmed cases were left behind in hospitals in Japan. – Rappler.com "
,"February 28, 2020",nCov,"WHO: 9 countries, including PH, show coronavirus 'can be contained'",Mara Cepeda,"
PROTECTION. Metro Manila commuters wear face masks as protection from the coronavirus on February 3, 2020. Photo by Jire Carreon/Rappler 
MANILA, Philippines – The World Health Organization (WHO) has cited 9 countries, including the Philippines, that show that the spread of the novel coronavirus (2019-nCoV)  ""can be contained"" after these nations recorded no new positive cases in the past two weeks. 
“The key message that should give all countries hope, courage and confidence is that this virus can be contained. Indeed, there are many countries that have done exactly that,” WHO Director-General Tedros Adhanom Ghebreyesus said in a press briefing on Wednesday, February 26.
“Fourteen countries that have had cases have not reported a case for more than a week, and even more importantly, 9 countries have not reported a case for more than two weeks: Belgium, Cambodia, Finland, India, Nepal, Philippines, the Russian Federation, Sri Lanka, and Sweden,” he added. 
Still, the WHO Director-General clarified that this did not mean that new COVID-19 cases “may not came to these countries, but the cases that made it before have been contained.” 
COVID-19 is the name of the disease caused by the novel coronavirus.
The Philippines has so far recorded 3 confirmed COVID-19 cases, all Chinese travelers  from Wuhan, the epicenter of the outbreak, who came to the Philippines in late January.  
Since then, the country has not reported any new confirmed cases, and no local transmission of the virus as of Friday, February 28.
The Department of Helath (DOH) is probing a total of 621 patients for possible infection, but only 30 remain admitted in hospitals nationwide. The other 588 patients under investigation have already been discharged. 
DOH Secretary Francisco Duque III told Rappler on Friday, February 28, that even with the WHO update served as ""inspiration"" for the Philippine government to remain vigilant in handling the COVID-19 threat.
“This should not be a reason for us to be complacent nor should we put our guards down. We should use this as inspiration to do better [in terms of containing COVID-19],” Duque said in a phone interview. 
A total of 442 Filipinos repatriated from the Diamond Princess  cruise ship earlier this week were on a 14-day quarantine at the New Clark City in Capas, Tarlac.
Another 3 repatriates started showing flu-like symptoms on Thursday, February 27, and were transferred to a hospital outside the quarantine center for further observation. – Rappler.com  "
,"February 28, 2020",nCov,"Philippines considering travel bans to Japan, Italy, Iran",Michelle Abad,"
TRAVELING. Passengers wearing masks prepare to disembark from a flight from Hong Kong on arrival at Bangkok's airport ahead of the Chinese New Year in Bangkok on January 23, 2020. Photo by Vivek Prakash / AFP 
MANILA, Philippines (UPDATED) – The Philippines is looking at banning travel to Japan, Italy, and Iran in light of the increasing cases of the novel coronavirus in the 3 countries, Cabinet Secretary Karlo Nograles said on Friday, February 28. 
In an interview with CNN Philippines, Nograles said that the country's task force is constantly assessing the situations in the 3 countries. ""Ayaw ko pangunahan (I don't want to preempt anything), but obviously the task force is looking at these countries as well,"" said Nograles.
He mentioned the importance of checking the situation in Iran, due to the large volume of Filipinos situated there.
""Hindi natin puwedeng balewalain ang Iran because we still have Filipinos in Iran – more than a thousand na mga kababayan natin ang naninirahan po diyan sa Iran. So tinitingnan din po namin iyan,"" he said. (We cannot brush off Iran because we still have Filipinos in Iran – more than a thousand of our countrymen live there. So we're taking a look at it too.)
The New York Times reported that the number of infections in Iran and Italy doubled in just two days, approaching 900 combined. Seventeen people in Italy died as of Friday, while 26 in Iran died as of Thursday.
Japan lists 214 cases with 4 deaths nationwide. In Yokohama, 538 Filipinos were previously quarantined aboard the Diamond Princess cruise ship. Some 445 have been repatriated, while others who were symptomatic or contracted the COVID-19 disease stayed behind.
On Thursday, February 27, the Philippine government banned travel of Filipino tourists to South Korea, and also restricted travelers coming from its North Gyeongsang province. 
Travel ban criteria
In a February 28 press conference, Health Secretary Francisco Duque III enumerated the criteria for the inclusion of countries in travel bans. He said there are 4 factors to consider:

Presence of local transmission in the country proposed to be covered by the ban
Volume of travelers coming into the country
Context and threat based on international health regulations
Health expenditure per capita 

Duque also said they look into a particular country's entry restrictions on people traveling from China. If that country has no full restrictions from travelers from China, then that puts the country at a higher risk. 
The Inter-agency Task Force consider these in deciding if a travel ban would be partial or total. – Rappler.com "
,"February 28, 2020",nCov,House leader surprised to be barred from Saudi due to virus travel ban,Mara Cepeda,"
PH LEADERS. House Minority Leader Bienvenido Abante Jr (R) sits beside President Rodrigo Duterte (L) during the celebration of the 120-year presence of the Baptist Churches in the Philippines at the SMX Convention Center in Pasay City on January 16, 2020. File photo by Valerie Escalera/Presidential Photo 
MANILA, Philippines – House Minority Leader Bienvenido Abante Jr – who was supposed to have an official trip to Saudi Arabia – was barred from entering due to a temporary travel ban imposed on Filipino travelers due to the novel coronavirus (2019-nCoV) scare. 
But it seems the Department of Foreign Affairs (DFA) was not aware of the travel restrictions on the Philippines, as Assistant Secretary Eduardo Meñez said they are still getting the “exact details” on the ban as of Friday morning, February 28. 
“We are confirming the exact details of KSA acting’s on COVID restrictions. Thank you for this information about Cong Abante,” Meñez said in a text message to Rappler. 
Saudi Arabia has already banned pilgrims from visiting Islam's holiest sites there in attempt to contain the spread of COVID-19, the disease caused by 2019-nCoV.
According to Abante, he was scheduled speak to several overseas Filipino workers (OFWs) organizations in Jeddah, Saudia Arabia regarding the proposed Department of OFWs. 
He boarded an Emirates flight from the Philippines bound for Saudi Arabia on Wednesday, February 26, with a layover in Dubai. From there, he was supposed to take a connecting flight to Jeddah on Thursday, February 27.
While in Dubai, however, Abante’s airline informed him that he will no longer be allowed to enter Saudi Arabia because its government already barred Filipino tourists from entering due to the 2019-nCoV.  
But Abante thought he would still be able to travel since he had a diplomatic passport with him and was on an official House trip. 
“On Thursday, February 27, I was in Dubai and en route to Jeddah, Saudi Arabia on an official trip when I was informed by our airline that I would not be allowed to board my connecting flight to Jeddah due to sguidelines issued by the Saudi government prohibiting the entry of Filipino nationals possessing tourist visas,” Abante said in a statement.  
“While I am aware that these travel restrictions are in place to prevent the spread of the COVID-19 virus, to my knowledge government functionaries on official trips are not covered by this ban – including myself, as I am a government official traveling with a diplomatic passport and a travel authority issued by the House of Representatives,” he added. 
In the end, Abante was forced to just stay in Dubai for now and is expected to fly back to Manila over the weekend. 
Still, the Manila 6th District congressman understands the precautionary measures that had to be taken by Saudi Arabia to help prevent the spread of COVID-19. 
“Be that as it may, given the threats posed by the COVID-19 outbreak, I understand and respect the precautions being undertaken by governments worldwide to protect their populations from this disease, and trust that our Department of Foreign Affairs will work to clarify matters regarding this unfortunate misunderstanding,” Abante said.  
As of Friday, the Philippines has recorded no local transmission of 2019-nCoV. The 3 confirmed cases recorded in the country were all Chinese nationals, one of whom died while the other two recovered from their symptoms. 
To date, the Department of Health is probing a total of 621 patients for possible infection, but only 30 remain admitted in hospitals nationwide. The other 588 patients under investigation have already been discharged.The Philippines is so far imposing travel bans with varying degrees of restrictions on China, its administrative regions Macau and Hong Kong, and South Korea. – Rappler.com "
,"February 28, 2020",nCov,Iloilo gov’t to monitor travelers from South Korea due to coronavirus scare,Bonz Magsambol,"
 
MANILA, Philippines – Iloilo Governor Arthur Defensor Jr has ordered the monitoring of travelers from South Korea amid the outbreak of coronavirus disease 2019 (COVID-19) in the East Asian country. 
Defensor issued Executive Order 28-A on Wednesday, February 26, stating that “persons in the Province of Iloilo travelling from South Korea shall be assessed pursuant to the COVID-19 Decision Tool.”
The travelers may be classified as persons under monitoring (PUMs) or persons under investigation (PUIs) and may be quarantined.
In a press release sent to media, Defensor said the order aims to “to further strengthen quarantine procedures and other prevention and control measures against COVID-19.”
On Wednesday afternoon, the Philippine government has temporarily prohibited Filipino travelers from South Korea. (READ: PH bans travel of Filipino tourists to South Korea over coronavirus threat)
South Korea has recorded the highest number of novel coronavirus cases outside mainland China at 1,146 as of Wednesday. Of this number, 12 have died while 22 have recovered.
The Philippine government has also banned the entry of travelers from North Gyeongsang province where Daegu City, the virus epicenter in South Korea, is located. 
Canceled event
Following the order, the Iloilo government also canceled the “Run for Jesus” event in La Paz district on Thursday, February 27, where South Korean delegates were supposed to attend. 
The provincial local government, however, said that ""an unconfirmed number of Koreans already arrived in Iloilo.""
Defensor said that the provincial government should act immediately on the issue following the surge of COVID-19 cases in China, Hongkong, and Macau. 
As of Thursday, the Department of Health said it has probed 615 patients for infection. There had been 3 confirmed cases who were Chinese tourists. Two of them have already recovered and the other died. There is still no recorded local transmission in the country. (READ: PH coronavirus watch: Suspected cases per region, as of February 27, 2020)  – Rappler.com "
,"February 27, 2020",nCov,3 Filipinos quarantined at New Clark City show coronavirus symptoms,Mara Cepeda,"
NEW CLARK CITY. Three Filipino repatriates from the Japanese cruise ship M/V Diamond Princess start showing symptoms of the novel coronavirus. File photo from the Department of Health 
MANILA, Philippines – Three Filipinos who were repatriated from the cruise ship Diamond Princess started showing symptoms of the novel coronavirus (2019-nCoV) while quarantined at the New Clark City Athletes' Village.
This was confirmed to Rappler by Department of Health (DOH) Secretary Francisco Duque III on Thursday, February 27.
""Yes, 3 PUIs (persons under investigation) already sent nose and throat swabs testing at the RITM (Research Institute for Tropical Medicine),"" Duque said in a text message.
The 3 Filipinos have since been transferred to a hospital outside New Clark City in Capas, Tarlac – the Philippine government's designated quarantine facility for the novel coronavirus – for further observation.
A total of 445 Filipinos were repatriated from Diamond Princess late Tuesday night, February 25, after the novel coronavirus spread onboard the ship, reported to have around 3,700 people. Of this number, 531 were Filipino crew members and 7 were Filipino passengers.
Only 80 Filipino crew members have so far tested positive for COVID-19, the disease caused by the novel coronavirus. None of them, however, were included in the Philippine government's repatriation program for now.
All the Filipino repatriates from Diamond Princess will have to go through a total of 28 days of quarantine – 14 days while onboard the Diamond Princess, before they were allowed to go back to the Philippines, and another 14 days from their arrival in New Clark City.
As of Thursday, the Philippines has recorded 3 confirmed cases of the novel coronavirus, all of them Chinese. One died, while the other two recovered.
The DOH has also probed 615 patients in the Philippines for possible infection. Of this number, only 64 remain admitted to heath facilities nationwide, while 548 have been discharged. – Rappler.com "
