City/municipality,Developer,Floor area (m²),Image,Name,Province,Remarks
Cotabato City,Alnor Prime Properties,,,Mall of Alnor (MOA),Maguindanao,
Cotabato City,DoubleDragon Properties,,,CityMall Cotabato,Maguindanao,The biggest CityMall at its opening in terms of GFA (with regards to Grand CityMalls) and the 1st national retail mall in Cotabato City.[2]
Cotabato City,,,,South Seas Mall,Maguindanao,
Cotabato City,Lucio and Susan Co,,,Puregold and Centro Shopping Center,Maguindanao,Puregold has 2 branches in Cotabato City in along Sinsuat Avenue and the other one is along Quezon Avenue
Cotabato City,Tan Abing,,,Superama Hypermart,Maguindanao,"Home grown hypermart in Cotabato City, currently has 5 branches in Cotabato City"
Cotabato City,Unknown businessman from Manila,,,Fiesta Mall,Maguindanao,Known for its Chinese products and 2nd branch of Puregold in Cotabato City
Naga,,,,101 Shopping Center[citation needed],Camarines Sur,
Legazpi,,,,101 Shopping Mall[3],Albay,
Legazpi,ABSEC,,,A. Bichara Silverscreen Entertainment Center[4],Albay,
Naga,,,,ALDP Mall[5],Camarines Sur,
Naga,,,,E-Mall[citation needed],Camarines Sur,
Naga,,,,Grand Master Mall[citation needed],Camarines Sur,
Naga,,,,Avenue Square[citation needed],Camarines Sur,
Legazpi,Ayala Land,,,Ayala Malls Legazpi[citation needed],Albay,
Naga,,,,Bichara Mall Naga[6],Camarines Sur,
Daet,,,,Central Plaza Mall[citation needed],Camarines Norte,
Sorsogon City,DoubleDragon Properties,,,CityMall Sorsogon[citation needed],Sorsogon,
Legazpi,Sunwest,,,Embarcadero de Legazpi[citation needed],Albay,
Masbate City,,,,Gaisano Capital Masbate[citation needed],Masbate,
Iriga,,,,Gaisano Capital Iriga[citation needed],Camarines Sur,
Sorsogon City,,,,Gaisano Capital Sorsogon[citation needed],Sorsogon,
Legazpi,,,,Gregorian Mall[7],Albay,
Libmanan,,,,LCC Center Libmanan[citation needed],Camarines Sur,
Goa,,,,LCC Center Goa,Camarines Sur,
Pili,,,,LCC Pili[citation needed],Camarines Sur,
Calabanga,,,,LCC Calabanga[citation needed],Camarines Sur,
Daraga,,,,LCC Mall Daraga,Albay,
Guinobatan,,,,LCC Center Guinobatan,Albay,
Ligao,,,,LCC Center Ligao,Albay,
Polangui,,,,LCC Mall Polangui,Albay,
Sorsogon City,,,,LCC Center Sorsogon,Sorsogon,
Labo,,,,LCC Market Plus Labo,Camarines Norte,
Pio Duran,,,,LCC Market Plus Pio Duran,Albay,
Tabaco,,,,LCC Mall Tabaco,Albay,
Daet,,,,LCC Center Daet,Camarines Norte,
Masbate City,,,,LCC Center Masbate,Masbate,
Naga,Liberty Commercial Center Inc.,,,LCC Central Mall Naga,Camarines Sur,
Iriga,,,,LCC Mall Iriga[citation needed],Camarines Sur,
Legazpi,,,,LCC Mall Legazpi[citation needed],Albay,
Nabua,,,,LCC Mall Nabua[citation needed],Camarines Sur,
Legazpi,Landco Development Corp.,,,Pacific Mall Legazpi[8],Albay,
Sorsogon City,,,,Primark Town Center Sorsogon[citation needed],Sorsogon,
Iriga,Regent Land Developer Corp.,,,Regent Central Commercial Complex[citation needed],Camarines Sur,
Naga,Robinsons Land,,,Robinsons Place Naga[9],Camarines Sur,
Legazpi,SM Prime Holdings,,,SM City Legazpi,Albay,
Sorsogon City,SM Prime Holdings,,,SM City Sorsogon,Sorsogon,
Naga,SM Prime Holdings,,,SM City Naga,Camarines Sur,
Naga,Vista Land & Lifescapes,,,Vista Mall Naga[10],Camarines Sur,
Tabaco,,,,Tabaco CityMall[citation needed],Albay,
Virac,VTC Development Corp.,,,Virac Town Center[11],Catanduanes,
