Building,Developer,Image,Location,Name,Remarks,Retail Space (m2),Year opened
,Ayala Land,,"Alabang–Zapote Road, Ayala Alabang, Muntinlupa",Alabang Town Center,,"48,000[5]",1982.0
,Ayala Land,,"Macapagal Boulevard, Aseana City, Bay City, Parañaque",Ayala Malls Manila Bay,,160000,2019.0
,Vista Land[6],,"Daang Hari Road, Las Piñas",Evia Lifestyle Center,,120000,2012.0
,Ayala Land,,"Quirino Highway corner Maligaya Drive, Novaliches, Quezon City",Fairview Terraces,,114000,2014.0
,Filinvest Land,,"Corporate Avenue corner Civic Drive, Filinvest City, Alabang, Muntinlupa",Festival Alabang,,"400,000[7]",1998.0
,Araneta Group,,"Aurora Boulevard corner Gen. Aguinaldo Street, Araneta Center, Socorro, Quezon City",Gateway Mall,,"100,000[8]",2004.0
,Ayala Land,,"Ayala Avenue, Ayala Center, Makati",Glorietta,,"250,000[9]",1991.0
,Ayala Land,,"Makati Avenue, Ayala Center, Makati",Greenbelt,,"250,000[10]",1990.0
,Ayala Land,,"26th Street corner C-5 Road, Bonifacio Global City, Taguig",Market! Market!,,170000,2003.0
,Lopez Holdings,,"Rockwell Drive corner Estrella Street, Rockwell Center, Makati",Power Plant Mall,,41000,2000.0
,Robinsons Land,,"EDSA corner Ortigas Avenue, Ortigas Center, Quezon City",Robinsons Galleria,,216000,1990.0
,Robinsons Land,,"Pedro Gil Street corner Adriatico Street, Ermita, Manila",Robinsons Place Manila,,"241,000[11]",1997.0
,Shang Properties,,"EDSA corner Shaw Boulevard, Ortigas Center, Mandaluyong",Shangri-La Plaza,,"175,000[12]",1991.0
,SM Prime Holdings,,"C-5 Road corner McKinley Parkway, Bonifacio Global City, Taguig",SM Aura Premier,,198257,2013.0
,SM Prime Holdings,,"Quirino Highway, Greater Lagro, Novaliches, Quezon City",SM City Fairview,,282681,1997.0
,SM Prime Holdings,,"EDSA corner North Avenue, Quezon City",SM City North EDSA,,497213,1985.0
,SM Prime Holdings,,"Jose Diokno Boulevard, Bay City, Pasay",SM Mall of Asia,,"432,891[13]",2006.0
,SM Prime Holdings,,"EDSA corner Julia Vargas Avenue, Ortigas Center, Mandaluyong",SM Megamall,,"474,225[14]",1991.0
,SM Prime Holdings,,"Alabang–Zapote Road, Pilar Village, Las Piñas",SM Southmall,,"205,120[15]",1995.0
,Ayala Land,,"EDSA corner North Avenue, Quezon City",TriNoma,,"195,000[8]",2007.0
,Ayala Land,,"Katipunan Avenue, Loyola Heights, Quezon City",U.P. Town Center,,174000,2013.0
,Lica Land,,Mandaluyong,500 Shaw Zentrum,,,
,,,San Juan,Agora Mall,,,
,Araneta Group,,Quezon CityAraneta Center,Ali Mall,,,
,,,Quezon City,Anonas City Center,,,
,,,CaloocanMonumento,Araneta Square,,,
,,,Quezon City,Berkeley Square,,,
,,,Makati,Cash & Carry Mall,,,
,Eton Properties,,Quezon CityEton Centris,Centris Station,,,
,,,Quezon City,Circle C Center,,,
,Ever Gotesco Malls,,Quezon City,Ever Gotesco Commonwealth Center,,,
,Ever Gotesco Malls,,ManilaQuiapo,Ever Gotesco Manila Plaza,,,
,,,Quezon City,Fairview Center Mall,,,
,Araneta Group,,Quezon CityAraneta Center,Farmers Plaza,,,
,,,Malabon,Fisher Mall Malabon[16],,,
,,,Quezon City,Fisher Mall Quezon Avenue,,,
,Robinsons Land,,Mandaluyong,Forum Robinsons,,,
,RMR Group of Companies,,Marikina,Graceland Plaza,,,
,,,San Juan,Greenhills Shopping Center,,,
,,,Makati,Guadalupe Commercial Center,,,
,,,Quezon City,Hemady Square,,,
,,,Pasay,HK Sun Plaza,,,
,,,Quezon CityTimog Area,Il Terrazzo Mall,,,
,Joymart Consolidated,,ManilaSanta Cruz,Isetann Carriedo,,,
,Joymart Consolidated,,ManilaQuiapo,Isetann Cinerama Recto,,,
,Joymart Consolidated,,Quezon CityAraneta Center,Isetann Cubao,,,
,,,Quezon City,Jackman Plaza,,,
,,,Pasig,Lucky Gold Plaza / LG Plaza,,,
,,,Makati,Makati Square,,,
,,,Malabon,Malabon Citisquare,,,
,Ayala Land,,Pasay,Metropoint Mall,,,
,Federal Land,,Pasay,Met Live,,,
,,,Quezon City,Novaliches Plaza Mall,,,
,,,Valenzuela,One Mall Valenzuela,,,
,,,Parañaque,Pearl Plaza,,,
,,,Marikina,Riverbanks Center,,,
,RMR Group of Companies,,Quezon CityTandang Sora,RMR Square,,,
,Robinsons Land,,Pasig,Robinsons Metro East,,,
,Robinsons Land,,Quezon CityNovaliches,Robinsons Novaliches,,,
,Robinsons Land,,ManilaPaco,Robinsons Otis,,,
,Robinsons Land,,Las Piñas,Robinsons Place Las Piñas,,,
,Robinsons Land,,Malabon,Robinsons Town Mall Malabon,,,
,"Robinsons Retail Holdings, Inc.",,Quezon City,Robinsons Townville Regalado,,,
,,,Mandaluyong,Shaw Centermall,,,
,SM Prime Holdings,,Las Piñas,SM Center Las Piñas,,,
,SM Prime Holdings,,Muntinlupa,SM Center Muntinlupa,,,
,SM Prime Holdings,,PasigOrtigas Center,SM Center Pasig,,,
,SM Prime Holdings,,Caloocan,SM Center Sangandaan,,,
,SM Prime Holdings,,Quezon City,SM Cherry Congressional,,,
