Name,Developer,Floor area (m²),Building,City/municipality,Image,Location,Province,Remarks,Retail Space (m2),Year opened
Mall of Alnor (MOA),Alnor Prime Properties,,,Cotabato City,,,Maguindanao,,,
CityMall Cotabato,DoubleDragon Properties,,,Cotabato City,,,Maguindanao,The biggest CityMall at its opening in terms of GFA (with regards to Grand CityMalls) and the 1st national retail mall in Cotabato City.[2],,
South Seas Mall,,,,Cotabato City,,,Maguindanao,,,
Puregold and Centro Shopping Center,Lucio and Susan Co,,,Cotabato City,,,Maguindanao,Puregold has 2 branches in Cotabato City in along Sinsuat Avenue and the other one is along Quezon Avenue,,
Superama Hypermart,Tan Abing,,,Cotabato City,,,Maguindanao,"Home grown hypermart in Cotabato City, currently has 5 branches in Cotabato City",,
Fiesta Mall,Unknown businessman from Manila,,,Cotabato City,,,Maguindanao,Known for its Chinese products and 2nd branch of Puregold in Cotabato City,,
101 Shopping Center[citation needed],,,,Naga,,,Camarines Sur,,,
101 Shopping Mall[3],,,,Legazpi,,,Albay,,,
A. Bichara Silverscreen Entertainment Center[4],ABSEC,,,Legazpi,,,Albay,,,
ALDP Mall[5],,,,Naga,,,Camarines Sur,,,
E-Mall[citation needed],,,,Naga,,,Camarines Sur,,,
Grand Master Mall[citation needed],,,,Naga,,,Camarines Sur,,,
Avenue Square[citation needed],,,,Naga,,,Camarines Sur,,,
Ayala Malls Legazpi[citation needed],Ayala Land,,,Legazpi,,,Albay,,,
Bichara Mall Naga[6],,,,Naga,,,Camarines Sur,,,
Central Plaza Mall[citation needed],,,,Daet,,,Camarines Norte,,,
CityMall Sorsogon[citation needed],DoubleDragon Properties,,,Sorsogon City,,,Sorsogon,,,
Embarcadero de Legazpi[citation needed],Sunwest,,,Legazpi,,,Albay,,,
Gaisano Capital Masbate[citation needed],,,,Masbate City,,,Masbate,,,
Gaisano Capital Iriga[citation needed],,,,Iriga,,,Camarines Sur,,,
Gaisano Capital Sorsogon[citation needed],,,,Sorsogon City,,,Sorsogon,,,
Gregorian Mall[7],,,,Legazpi,,,Albay,,,
LCC Center Libmanan[citation needed],,,,Libmanan,,,Camarines Sur,,,
LCC Center Goa,,,,Goa,,,Camarines Sur,,,
LCC Pili[citation needed],,,,Pili,,,Camarines Sur,,,
LCC Calabanga[citation needed],,,,Calabanga,,,Camarines Sur,,,
LCC Mall Daraga,,,,Daraga,,,Albay,,,
LCC Center Guinobatan,,,,Guinobatan,,,Albay,,,
LCC Center Ligao,,,,Ligao,,,Albay,,,
LCC Mall Polangui,,,,Polangui,,,Albay,,,
LCC Center Sorsogon,,,,Sorsogon City,,,Sorsogon,,,
LCC Market Plus Labo,,,,Labo,,,Camarines Norte,,,
LCC Market Plus Pio Duran,,,,Pio Duran,,,Albay,,,
LCC Mall Tabaco,,,,Tabaco,,,Albay,,,
LCC Center Daet,,,,Daet,,,Camarines Norte,,,
LCC Center Masbate,,,,Masbate City,,,Masbate,,,
LCC Central Mall Naga,Liberty Commercial Center Inc.,,,Naga,,,Camarines Sur,,,
LCC Mall Iriga[citation needed],,,,Iriga,,,Camarines Sur,,,
LCC Mall Legazpi[citation needed],,,,Legazpi,,,Albay,,,
LCC Mall Nabua[citation needed],,,,Nabua,,,Camarines Sur,,,
Pacific Mall Legazpi[8],Landco Development Corp.,,,Legazpi,,,Albay,,,
Primark Town Center Sorsogon[citation needed],,,,Sorsogon City,,,Sorsogon,,,
Regent Central Commercial Complex[citation needed],Regent Land Developer Corp.,,,Iriga,,,Camarines Sur,,,
Robinsons Place Naga[9],Robinsons Land,,,Naga,,,Camarines Sur,,,
SM City Legazpi,SM Prime Holdings,,,Legazpi,,,Albay,,,
SM City Sorsogon,SM Prime Holdings,,,Sorsogon City,,,Sorsogon,,,
SM City Naga,SM Prime Holdings,,,Naga,,,Camarines Sur,,,
Vista Mall Naga[10],Vista Land & Lifescapes,,,Naga,,,Camarines Sur,,,
Tabaco CityMall[citation needed],,,,Tabaco,,,Albay,,,
Virac Town Center[11],VTC Development Corp.,,,Virac,,,Catanduanes,,,
Xentro Mall Malilipot,,,,Malilipot,,,Albay,,,
Xentro Mall Polangui,,,,Polangui,,,Albay,,,
Xentro Mall Sorsogon,,,,Sorsogon City,,,Sorsogon,,,
Yashano Mall,,,,Legazpi,,,Albay,,,
Youth Center Mall[12],,,,Virac,,,Catanduanes,,,
Brickstone Mall[citation needed],,,,Tuguegarao,,,Cagayan,,,
Mall of the Valley[13],,,,Tuguegarao,,,Cagayan,Managed by Xentro Mall,,
Fragante Citimall[citation needed],,,,Tuguegarao,,,Cagayan,First shopping mall in North Luzon,,
Valley Hotel Tower Mall,,,,Tuguegarao,,,Cagayan,Completion 2018,,
Unitop Mall Tuguegarao[citation needed],RI-RANCE Realty Corp.,,,Tuguegarao,,,Cagayan,First Unitop Mall in Cagayan Valley,,
Novo Mall,Royal Novo Greenland Realty Corp.,,,Aparri,,,Cagayan,,,
Ryan Mall,,,,Aparri,,,Cagayan,,,
Ilagan City Mall[citation needed],,,,Ilagan,,,Isabela,The First LGU-built shopping mall in Ilagan. Savemore is one of the anchor tenants.,,
Northstar Mall[14],Northstar Resources Inc.,,,Ilagan,,,Isabela,First Mall in Ilagan. Savemore is one of the anchor tenants.,,
Primark Town Center Tuguegarao[15],Primark Philippine Properties,,,Tuguegarao,,,Cagayan,Former Paseo Reale Mall,,
Primark Town Center Cauayan[16],Primark Philippine Properties,,,Cauayan,,,Isabela,Market Mall,,
Primark Town Center Echague[16],Primark Philippine Properties,,,Echague,,,Isabela,"Market Mall, first Primark Town Center in the Philippines",,
Primark Town Center Bambang[16],Primark Philippine Properties,,,Bambang,,,Nueva Vizcaya,Market Mall,,
Primark Town Center Cordon[16],Primark Philippine Properties,,,Cordon,,,Isabela,Market Mall,,
Robinsons Place Santiago,Robinsons Land,,,Santiago,,,Isabela,First Robinsons Mall and 1st full-service mall in Cagayan Valley.,,
Robinsons Place Tuguegarao,Robinsons Land,,,Tuguegarao,,,Cagayan,Second Robinsons Mall in Cagayan Valley and First Robinsons Mall in Cagayan,,
Vista Mall Santiago,Vista Land & Lifescapes,,,Santiago,,,Isabela,"Under construction, First Vista Mall in Isabela",,
Vista Mall Tuguegarao,Vista Land & Lifescapes,,,Tuguegarao,,,Cagayan,Upcoming,,
SM City Tuguegarao[citation needed],SM Prime Holdings,,,Tuguegarao,,,Cagayan,"Under construction, Second SM Mall in Tuguegarao City",,
SM Center Tuguegarao Downtown,SM Prime Holdings,,,Tuguegarao,,,Cagayan,Second SM Mall in Cagayan Valley and First SM Mall in Cagayan,,
SM City Cauayan,SM Prime Holdings,,,Cauayan,,,Isabela,First SM Mall in Cagayan Valley. Former site of Isabela Colleges Foundation. 1st SM Mall with full solar panels.,,
Talavera Square Mall[17],,,,Cauayan,,,Isabela,First mall in Cauayan City. Unitop is one of the anchor tenants.,,
Talavera Square Mall[citation needed],,,,Ilagan,,,Isabela,Robinsons Supermarket is one of the anchor tenants.,,
Xentro Mall Cabagan[citation needed],AMRC Holdings Co. Inc.,,,Cabagan,,,Isabela,,,
Xentro Mall Ilagan[citation needed],AMRC Holdings Co. Inc.,,,Ilagan,,,Isabela,,,
Xentro Mall Roxas[citation needed],AMRC Holdings Co. Inc.,,,Roxas,,,Isabela,,,
Xentro Mall Santiago[citation needed],AMRC Holdings Co. Inc.,,,Santiago,,,Isabela,First Xentro Mall in Cagayan Valley and in the Philippines,,
Xentro Mall Tumauini[citation needed],AMRC Holdings Co. Inc.,,,Tumauini,,,Isabela,,,
CityMall Tuguegarao[citation needed],"DoubleDragon Properties, SM Investments Corporation",,,Tuguegarao,,,Cagayan,"Under construction, First CityMall in Cagayan Valley",,
CityMall Aparri,"DoubleDragon Properties, SM Investments Corporation",,,Aparri,,,Cagayan,"Under construction, Second CityMall in Cagayan Valley",,
Robinsons Place Dasmariñas,Robinsons Land,96000,,Dasmariñas,,,Cavite,Second Robinsons mall in Cavite,,
Sta. Lucia East Grand Mall,Sta. Lucia Realty & Development Inc.,230000,,Cainta,,,Rizal,Largest mall in South Luzon,,
SM City Bacoor[18],SM Prime Holdings,120202,,Bacoor,,,Cavite,First SM mall in Cavite,,
SM City Batangas,SM Prime Holdings,80350,,Batangas City,,,Batangas,First SM mall in Batangas,,
SM City Dasmariñas,SM Prime Holdings,201645,,Dasmariñas,,,Cavite,Largest shopping mall in Cavite Province and SM mall in South Luzon,,
SM City Lipa,SM Prime Holdings,141283,,Lipa,,,Batangas,Largest mall in Batangas,,
SM City Masinag,SM Prime Holdings,96313,,Antipolo,,,Rizal,Second SM mall in Rizal,,
SM City Santa Rosa,SM Prime Holdings,86463,,Santa Rosa,,,Laguna,"First SM Mall in Laguna, and largest mall in the provinceMall expansion ongoing construction",,
SM City Taytay,SM Prime Holdings,97467,,Taytay,,,Rizal,First SM Mall in Rizal,,
SM City Trece Martires,SM Prime Holdings,83783,,Trece Martires,,,Cavite,Fifth SM mall in Cavite,,
Name,Developer,Floor area (m²),,City/municipality,Image,,Province,Remarks,,
Centro Mall Cabuyao,,,,Cabuyao,,,Laguna,,,
Checkpoint Mall,,,,Calamba,,,Laguna,,,
Olivarez Plaza Los Baños,,,,Los Baños,,,Laguna,,,
Pavilion Mall,Ayala Land (operator),,,Biñan,,,Laguna,,,
Robinsons Place GenTrias,Robinsons Land,,,General Trias,,,Cavite,,,
