source_id,date,category,title,author,text
,Feb 22 2020,nCov,"Russia-linked disinformation campaign fueling coronavirus alarm, US says","Shaun Tandon and Arthur MacMillan, Agence France-Presse","


Medical staff members preparing equipment to meet passengers of a military plane, which evacuated citizens of Russia and ex-Soviet countries from China's Wuhan province on February 5, 2020. Yuri Shestak, Vsluh.ru handout via Reuters


Thousands of Russian-linked social media accounts have launched a coordinated effort to spread alarm about the new coronavirus, disrupting global efforts to fight the epidemic, US officials say.
The disinformation campaign promotes unfounded conspiracy theories that the United States is behind the COVID-19 outbreak, in an apparent bid to damage the US image around the world by seizing on health concerns.
State Department officials tasked with combating Russian disinformation told AFP that false personas are being used on Twitter, Facebook and Instagram to advance Russian talking points in multiple languages.
""Russia's intent is to sow discord and undermine US institutions and alliances from within, including through covert and coercive malign influence campaigns,"" said Philip Reeker, the acting Assistant Secretary of State for Europe and Eurasia. 
""By spreading disinformation about coronavirus, Russian malign actors are once again choosing to threaten public safety by distracting from the global health response,"" he said.
The claims that have been circulating in recent weeks include allegations that the virus is a US effort to ""wage economic war on China,"" that it is a biological weapon manufactured by the CIA or part of a Western-led effort ""to push anti-China messages.""
US individuals including Microsoft co-founder Bill Gates, a philanthropist who has spent billions on global health programs, have also been falsely accused of involvement in the virus.
The disinformation campaign was identified by US monitors in mid-January after Chinese officials announced a third death from the new coronavirus in Wuhan, the epicenter of the outbreak.
More than 2,340 people have since died, mostly in China, and the number of cases exceeds 76,000, most are in China.
- Close coordination observed -
Several thousand online accounts -- previously identified for airing Russian-backed messages on major events such as the war in Syria, the Yellow Vest protests in France and Chile's mass demonstrations -- are posting ""almost near identical"" messages about the novel coronavirus, according to a report prepared for the State Department's Global Engagement Center and seen by AFP.
The accounts -- run by humans, not bots -- post at similar times in English, Spanish, Italian, German and French and can be linked back to Russian proxies, or carry similar messages to Russian-backed outlets such as RT and Sputnik, it said. 
Russian state-funded media started pushing anti-Western messages about the cause of the epidemic on January 20, with operators of the social media accounts beginning to post globally the following day, US officials say.
""In this case, we were able to see their full disinformation ecosystem in effect, including state TV, proxy web sites and thousands of false social media personas all pushing the same themes,"" said Special Envoy Lea Gabrielle, the head of the State Department's Global Engagement Center, which is tasked with tracking and exposing propaganda and disinformation.
During many past news events, the accounts would post actively for up to 72 hours. But messages about the new coronavirus have been uploaded every day over the past month -- a sign, US officials said, of Russia's investment in a story unlikely to disappear soon from the headlines.
""In the Russian doctrine of information confrontation, this is classic,"" said another official from the Global Engagement Center. 
""The number of coronavirus cases globally hasn't reached its apex, so the Russian strategy is to very cheaply but very effectively take advantage of the information environment to sow discord between us and China, or for economic purposes.""
Experts saw parallels with previous conspiracy theories traced to Moscow, including a KGB disinformation campaign in the 1980s that convinced many around the world that US scientists created the HIV virus that causes AIDS.
US intelligence has also said that Russia interfered through social media manipulation in the 2016 election and seeks to do so again in 2020. The Kremlin has denied the charges and President Donald Trump has scoffed at suggestions of Russian help.
- Risks seen in response -
Scientists believe the COVID-19 illness originated in late December in Wuhan at a market selling exotic animals for human consumption.
Bats are known carriers of this strain of the coronavirus, whose official name is SARS-CoV-2, but scientists think it spread to humans via another mammal species, possibly pangolins.
The US believes the latest Russian disinformation campaign is making it harder to respond to the epidemic, particularly in Africa and Asia, with some of the public becoming suspicious of the Western response.
The World Health Organization warned Friday that the window to stem the outbreak was narrowing, voicing alarm at a surge of cases with no clear link to China.
A State Department official said that Russian operatives appeared to have been given ""carte blanche"" to attack the US reputation.
""Whether or not a particular theme is being directed at the highest levels doesn't matter. It's the fact that they have freelance ability to operate in this space to do whatever damage they can, which could have seismic implications.""
"
,Feb 22 2020,nCov,Iran reports 1 death among 10 new COVID-19 cases,Agence France-Presse,"


Iranian women wearing protective masks to prevent contracting a coronavirus walk at Grand Bazaar in Tehran, Iran, Feb. 20, 2020. Nazanin Tabatabaee, West Asia News Agency/Reuters


TEHRAN - Iran on Saturday reported 1 more death among 10 new cases of coronavirus, bringing the total number of deaths in the Islamic republic to 5 and infections to 28.
""We have 10 new confirmed cases of COVID-19,"" health ministry spokesman Kianoush Jahanpour said on state television.
""One of the new cases has unfortunately passed away,"" he added, noting that 8 of them had been hospitalized in Qom and 2 in Tehran, without specifying where the death occurred.
The COVID-19 outbreak first emerged in Iran on Wednesday, when officials said it killed 2 elderly people in Qom, a Shiite holy city south of the capital.
They were the first confirmed deaths from the disease in the Middle East.
Since then, Iran has carried out tests on 785 suspected cases, Jahanpour said.
""Most of the cases are either Qom residents or have a history of coming and going from Qom to other cities,"" the health ministry spokesman said.
Qom is a center for Islamic studies and pilgrims, attracting scholars from Iran and beyond. An official said the first 2 victims, who were Qom residents, had not left Iran.
Following the announcement of the deaths, neighboring Iraq on Thursday clamped down on travel to and from the Islamic republic, with its health ministry announcing people in Iran were barred from entering the country ""until further notice.""
Kuwait's national carrier Kuwait Airways also announced it would suspend all flights to Iran.
"
,Feb 22 2020,nCov,Chinese provincial gov’t: COVID-19 incubation could be as long as 27 days,Reuters,"


People wear masks at a main shopping area as the country is hit by an outbreak of the new coronavirus in downtown Shanghai, China, Feb. 21, 2020. Aly Song, Reuters


SHANGHAI - A 70-year-old man in China's Hubei province was infected with coronavirus but did not show symptoms until 27 days later, the local government said on Saturday, meaning the virus' incubation period could be much longer than the presumed 14 days.
A longer incubation period could complicate efforts to contain spread of the epidemic that has so far killed more than 2,000 people and spread outside China.

Drop in new China virus cases as toll reaches 2,345: government

The man, only identified by his family name, Jiang, on Jan. 24 drove his car back to Shennongjia, in northwestern Hubei, from eastern Ezhou, where he had close contact with his sister, who had been infected, according to the government website of Hubei, the virus epicenter.
He had a fever on Feb. 20 and tested positive for coronavirus a day later, according to the government statement.
"
,Feb 22 2020,nCov,Pinoy repatriates quarantined at New Clark City cleared to go home,ABS-CBN News,"
MANILA (2nd UPDATE)—Filipino repatriates from Hubei province in China, the epicenter of COVID-19, have been cleared to go home to their families, authorities said as they completed a 14-day quarantine period at New Clark City in Capas town, Tarlac.
Forty-nine people — including 30 overseas Filipinos workers from Wuhan, 5 Department of Health medical team members, 5 Department of Foreign Affairs response team members, 6 plane crew, and 3 ground personnel — completed the quarantine period through a send-off ceremony
They did not show any signs of the virus, Health Secretary Francisco T. Duque III said in a statement Saturday afternoon.








Forty-nine people — including 30 overseas Filipinos workers from Wuhan, 5 Department of Health medical team members, 5 Department of Foreign Affairs response team members, 6 plane crew, and 3 ground personnel — completed the quarantine period through a send-off ceremony. Courtesy of PCOO


Forty-nine people — including 30 overseas Filipinos workers from Wuhan, 5 Department of Health medical team members, 5 Department of Foreign Affairs response team members, 6 plane crew, and 3 ground personnel — completed the quarantine period through a send-off ceremony. Courtesy of PCOO


Forty-nine people — including 30 overseas Filipinos workers from Wuhan, 5 Department of Health medical team members, 5 Department of Foreign Affairs response team members, 6 plane crew, and 3 ground personnel — completed the quarantine period through a send-off ceremony. Courtesy of PCOO



The repatriates also received a certificate clearing them of the virus and were given financial assistance by the Overseas Workers Welfare Administration (OWWA), and the Department of Social Welfare and Development. Media was barred covering the event.
The Health Department also thanked agencies such as the DFA, the OWWA, and the local government for the joint effort exerted.
Malacañang said it was ""pleased"" with the development and applauded the agencies involved, especially the repatriation team members, for their heroic efforts.
""We likewise thank the local government, as well as the residents, of Capas, Tarlac for their cooperation and understanding in hosting our fellow countrymen during their quarantine period,"" Presidential spokesperson Salvador Panelo said.
Rooms occupied by the repatriates and the staff are to be sanitized in time for the arrival of the next batch of repatriates from the virus-stricken Diamond Princess Cruise ship docked in Yokohama.
They were poised to occupy the rooms on Sunday, but the repatriation was postponed as the Japanese government sought to finish testing the 400 expected repatriates.
As of Saturday, the virus has killed 2,345 and infected more than 76,000 people, mostly in China. — With a report from Bianca Dava, ABS-CBN News
"
,Feb 22 2020,nCov,China brings in 7 cruise ships to house Wuhan medical workers,Reuters,"


Medical workers in protective suits inspect a CT scan image at a hospital in Yunmeng county of Xiaogan city in Hubei, the province hit hardest by the novel coronavirus outbreak, China, Feb. 20, 2020. China Daily via Reuters


BEIJING - China is bringing in 7 cruise ships to house medical workers in Wuhan, state media said on Saturday, at a time when such ships are under scrutiny after hundreds of passengers on the Diamond Princess liner in Japan contracted the coronavirus disease 2019 (COVID-19).
The first of these ships, the Blue Whale, arrived in Wuhan, the epicenter of the outbreak, on Friday from Yichang, a nearby city down the Yangtze River.
The 7 ships will provide 1,469 beds in total.
Tens of thousands of medical workers have been brought into central Hubei province and its capital, Wuhan, from across China to help contain the coronavirus outbreak.
A senior Chinese health official said last week as of Feb. 11, 1,716 health workers had been infected by the coronavirus, including several who died.
The ships are normally used for river cruises in the Three Gorges scenic area, Xinhua added.
The ships are expected to provide safe dining and living conditions for medics to keep them refreshed as they fight the epidemic, state media said.
The Diamond Princess, held under quarantine in Yokohoma, Japan, since Feb. 3, has reported more than 630 cases, accounting for the biggest infection cluster outside China.
Several countries have already evacuated scores of passengers from the ship, which carried about 3,700 people. A second group of Chinese citizens from Hong Kong were among those flown home from Japan, Xinhua reported.
"
,Feb 22 2020,nCov,Australia reopens doors to some Chinese students after coronavirus ban,"Lidia Kelly, Reuters","


People wearing face masks walk on Bourke Street after cases of the coronavirus were confirmed in Melbourne, Victoria, Australia, Jan. 29, 2020. Andrew Kelly, Reuters/File


MELBOURNE - The Australian government said Saturday it would allow the return of some Chinese high school students who have been blocked from entering the country due to coronavirus restrictions, reopening its doors to a market that is key for the economy.
Thousands of Chinese students were prevented from heading to Australia after the long summer break for the start of school and university terms this month when the government imposed a travel ban for most people travelling from China.
Australian officials said the targeted easing of the ban would allow about 760 Chinese high school students - none from Hubei province, which is the epicenter of the outbreak - to apply to return.
The students would be considered on a case-by-case basis and those who were successful would be subjected to a 14-day self-imposed quarantine on arrival in Australia, officials said.
""It is incredibly important that we bring some normality back to the international student market,"" Education Minister Dan Tehan told reporters. ""It is a small step we are taking, it is a precautionary step.""
Tehan said the government would next week consider whether to allow the return of tertiary education students.
Chinese students made up almost 40 percent of the international higher education population in Australia in 2018, according to the most recent official data.
That broader population has grown by more than 10 percent over each of the past 3 years, contributing more than A$30 billion ($21 billion) to the domestic economy.
Australia introduced its travel restrictions on all foreign nationals who had been in China within 2 weeks of planned travel to Australia from entering the country.
Australian nationals and permanent residents were exempt from the ban, which has been extended twice and remains in place until Feb. 29.
"
,Feb 22 2020,nCov,South Korea reports surge in virus cases linked to hospital,"Claire Lee, Agence France-Presse","


Workers from a disinfection service company sanitize a street in front of a branch of the Shincheonji Church of Jesus the Temple of the Tabernacle of the Testimony where a woman known as ""Patient 31"" attended a service in Daegu, South Korea, Feb. 19, 2020. Yonhap via Reuters


SEOUL (UPDATE) - South Korea reported 142 more coronavirus cases Saturday, the sharpest spike in infections yet, with many new cases involving patients being treated in hospital for mental health issues.
The national toll of 346 is now the second-highest outside of China, with the jump in cases at the hospital in the southern city of Cheongdo following a similar spike among members of a religious sect in the nearby city of Daegu.
Among the new cases, 92 were ""related"" to patients or staff at Cheongdo Daenam Hospital, the Korea Centers for Disease Control and Prevention (KCDC) said.
""Most of the hospital's patients who have been diagnosed are those who had been staying as inpatients for mental illnesses,"" Seoul's vice health minister Kim Gang-lip told reporters.
Some cases show ""no confirmed epidemiological connections,"" meaning they are not sure where or how they contracted the virus, he added.
Authorities reported another death on Saturday, taking the toll to 2. Both victims had been inpatients at the hospital.
Almost 170 members of the Shincheonji Church of Jesus have now been infected, starting with a 61-year-old woman who attended at least 4 services at the church's Daegu branch before being diagnosed.
""Those who are related to Shincheonji's Daegu branch account for 48 percent of all confirmed cases,"" KCDC director Jung Eun-kyeong told reporters.
KCDC said some 9,300 Shincheonji members in Daegu have either been quarantined at facilities or have been asked to stay at home. Among them, 1,261 said they had symptoms, health officials added.
The mayor of Daegu -- South Korea's fourth-biggest city, with a population of over 2.5 million -- has advised locals to stay indoors, while access to a major US military base in the area has been restricted.
CHURCH 'DEEPLY SORRY'
One of the Shincheonji members in Daegu visited China -- where the deadly virus was first detected -- in January, while some 3 others are believed to have traveled to other countries, KCDC director Jung said.
Cheongdo, some 27 kilometers south of Daegu, is the birthplace of Shincheonji's founder Lee Man-hee.
County officials said on Friday that a 3-day funeral was held for one of the church members 3 weeks ago at a hall owned by the Cheongdo hospital.
Shincheonji is often accused of being a cult and claims its founder Lee has donned the mantle of Jesus Christ and will take 144,000 people with him to heaven on the day of judgement.
But with more church members than available places in heaven, they are said to have to compete for slots and pursue converts persistently and secretively.
President Moon Jae-in on Friday called for a ""thorough investigation"" of everyone who attended the funeral and Shincheonji services.
The central government on Friday had declared Daegu and Cheongdo ""special management zones,"" with Prime Minister Chung Sye-kyun saying the region would be supported with medical personnel, beds and equipment.
Authorities in Seoul banned public rallies at 3 main locations on health and safety grounds.
The US army garrison in Daegu -- where around 10,000 soldiers, civilians and family members live or work -- has restricted access and instructed any American troops who recently attended Shincheonji services to self-quarantine.
Shincheonji offered an apology, suspending its worship services and gatherings nationwide.
""We are deeply sorry that because of 1 of our members, who thought of her condition as a cold because she had not traveled abroad, led to many in our church being infected and thereby caused concern to the local community,"" it said in a statement.
But its leader Lee told his followers the outbreak had been ""caused by the Devil"" and compared it to the biblical testing of Job, Yonhap news agency reported.
"
,Feb 22 2020,nCov,"Drop in new China virus cases as toll reaches 2,345: government",ABS-CBN News,"


A resident wears a makeshift protective face shield at a residential compound in Wuhan, the epicenter of the novel coronavirus outbreak, Hubei province, China, Feb. 21, 2020. Reuters


BEIJING (UPDATE) - The death toll in China from the new coronavirus outbreak rose by 109, the National Health Commission said Saturday, bringing the total number of fatalities to 2,345.
Another 397 new cases were reported nationwide, down from nearly 900 officially reported Friday, bringing the total number of cases to over 76,000.
The drop in new cases of the coronavirus disease 2019 (COVID-19) came as officials in Hubei province -- whose capital city Wuhan is the epicenter the outbreak -- were ordered to revise figures to clear ""doubt"" around the data.
The number of new cases nationwide for Feb. 19 was revised up to 820 up from 394 previously reported, the National Health Commission said Saturday.
It also adjusted upwards the total confirmed cases for Feb. 20 by over 400 cases to 75,891.
The decision to amend Hubei's past data, which was announced on Friday by local authorities, is the latest in a string of changes made to Hubei's counting method -- further complicating efforts to track the spread of the illness.
Last week, Chinese health officials added patients from Hubei who had been diagnosed via clinical methods including lung imaging on top of those confirmed by lab tests.
But on Thursday, Hubei officials backtracked the decision and deducted 279 cases -- which they were ordered to re-add to the count on Friday.
The virus has spread to several parts of the world, triggering travel restrictions to and from China in some countries. 
"
,Feb 20 2020,nCov,Japanese data on cruise ship coronavirus infections back quarantine strategy,"Rocky Swift, Reuters","


A man in a protective clothing is seen on the sixth deck of cruise ship Diamond Princess in Yokohama, in this Feb. 4, 2020 photo obtained from social media. @DAXA_TW, Twitter/Reuters


TOKYO - Newly released data from a Japanese research institute appears to back the government's case that its quarantine strategy for the Diamond Princess cruise ship was successful in stemming contagion of the coronavirus among passengers.
Japan has been criticized for its handling of the quarantine, as more than 620 people on board have been infected with the virus and 2 elderly passengers have died.
The US Centers for Disease Control and Prevention (CDC) has said the quarantine may not have been sufficient.
But a report released on Wednesday by the National Institute of Infectious Diseases (NIID) showed that the onset of symptoms from confirmed cases of COVID-19 peaked on Feb. 7 before tailing off to zero by Feb. 15.
Cases among crew were observed to steadily increase, peaking on Feb. 13.
""The decline in the number of confirmed cases, based on reported onset dates, implies that the quarantine intervention was effective in reducing transmission among passengers,"" according to the report. Later transmission ""appears to have occurred mostly among crew or within passenger cabins.""
The NIID is Japan's top research institute of infectious diseases.
More than 620 passengers have been infected on the ship, which has been quarantined since Feb. 3, initially with about 3,700 people on board. The health ministry announced on Thursday that 2 passengers in their 80s had died, the first fatalities from the ship.
The NIID report was ""very reassuring,"" said Kentaro Iwata, an infectious disease specialist from Kobe University Hospital who had been one of the harshest critics of the quarantine. After visiting the ship, Iwata had posted YouTube videos decrying the infection controls he saw.
The videos got over a million views before Iwata took them down, saying at a press briefing on Thursday that the new data and reports of improved controls on the ship convinced him that the government had responded to his criticism.
The United States, Canada and other nations evacuated their citizens ahead of the Feb. 19 end of the quarantine. Remaining passengers have been released in batches and advised by health authorities to stay at home and monitor their condition.
The health ministry will provide assistance to those returning passengers, as there is still a risk they could develop symptoms, said Koji Wada, a professor at the International University of Health and Welfare in Tokyo.
""We can say the quarantine has been done as we planned,"" said Wada, who has worked as an advisor on site at the Diamond Princess. ""I'm not sure if I can say it's a success.""
"
,Feb 20 2020,nCov,Taiwan bans Italian pig imports in quarrel over flight ban,Reuters,"


Customers wearing face masks shop at the pork counter of a supermarket following the outbreak of the novel coronavirus in Wuhan, Hubei province, China February 12, 2020. China Daily via REUTERS


ROME - Taiwan on Wednesday imposed a ban on live pigs and pork product imports from Italy following Rome's suspension of flights between the 2 countries in response to the coronavirus outbreak.
Italy stopped all flights between the country and Taiwan, China as well as Hong Kong and Macau on Jan. 31 to stop the spread of the virus.
""Deletion of recognition of Italy as a country free of African swine fever,"" a statement published by the Taiwan's Bureau of Animal and Plant Health Inspection and Quarantine said.
Rome's flight ban did not play well in Taipei, which summoned Italy's representative Davide Giglio to urge a speedy resumption of flights.
Beijing was also not happy with the ban and has lobbied to have it lifted but so far with no success.
Italian Foreign Minister Luigi Di Maio said earlier this month that the block on flights was an emergency measure.
""We will keep it in place as long as health authorities and... the scientific community tell us we should.""
Taiwan's imports of commercial goods from Italy amounted to $2.6 billion in 2019 with machinery, chemical products, leather, vehicles and textiles leading the list, according to the Taipei's representative office in Rome.
The website of Taiwan's state-owned Central News Agency reported the Taiwan government as saying: ""After conducting a rolling assessment of the international outbreak of African swine fever, the bureau has concluded that the epidemic on the Italian island of Sardinia is escalating.""
"
