source_id,date,category,title,author,text
,Mar 07 2020,nCov,"CODE RED: Philippines' coronavirus cases rise to 6, DOH confirms local transmission",ABS-CBN News,"


A computer image created by Nexu Science Communication together with Trinity College in Dublin, shows a model structurally representative of a betacoronavirus which is the type of virus linked to COVID-19, better known as the coronavirus linked to the Wuhan outbreak, shared with Reuters on Feb. 18, 2020. NEXU Science Communication/Reuters


MANILA (4th UPDATE) - Philippine health authorities on Saturday raised Code Red as it confirmed local transmission and another case of coronavirus disease 2019 (COVID-19) in the country, bringing the total number of patients to 6. 
Health Secretary Francisco Duque III said the latest patient is a 59-year-old woman who got infected from her 62-year-old husband, the country's fifth case of COVID-19. 
The man was, meanwhile, the first confirmed local transmission of the disease. 
The couple, who lives east of Manila, are now confined at the state-run Research Institute for Tropical Medicine (RITM) in Alabang, Muntinlupa City. Both have no recent travel history, records from the Bureau of Immigration (BI) showed.
""The DOH is currently exhausting all its efforts to identify others who may have come in contact with the confirmed cases to ensure that this localized transmission does not progress to community spread,"" Duque said.

What is Code Red?

To stem the spread of the disease, which has infected nearly 100,000 people and killed more than 3,300 worldwide, health authorities raised its alert system to ""Code Red, Sub-level 1.""
The alert is ""a preemptive call to ensure that national and local governments and public and private health care providers can prepare for possible increase in suspected and confirmed cases,"" Duque said.
A ""code red"" alert also means all hospital personnel are required to report for duty in their respective facilities to provide medical services. 
Announcing ""code red"" also prompted health authorities to recommend to President Rodrigo Duterte for the declaration of a state of public health emergency.

Duterte OKs declaration of state of public health emergency amid coronavirus spread- Go

In response to the DOH recommendation, the chief executive has agreed to declare a national public health emergency, according to Sen. Christopher ""Bong"" Go.
""Pursuant to the recommendation of the DOH and my suggestion as Chair of the Senate Committee on Health, President Rodrigo Duterte has agreed to issue a declaration of a State of Public Health Emergency due to the confirmation of a local transmission of COVID-19 in our country,"" he said.
In the event of a sustained community transmission or an increasing number of local cases whose links cannot be established, Duque said the strategy will be shifted from an intensive contact tracing to the implementation of community-level quarantine or lockdown and/or possibly, suspension of work or school.
SIXTH CASE
RITM director Dr. Celia Carlos revealed that the latest patient, who was admitted on March 5, was experiencing mild respiratory symptoms.
Her husband, the 5th coronavirus case who is suffering from severe pneumonia, is in critical condition, she added. 
""He still has severe pneumonia and other medical problems like diabetes and hypertension,"" Carlos said.
The man had coughs last Feb. 25 and was admitted at the Cardinal Santos Medical Center in San Juan City on March 1 with severe pneumonia. He tested positive on March 5. 
The man also frequented a Muslim prayer hall in San Juan, which has seen been disinfected. The worshipers in this prayer hall experiencing symptoms of COVID-19 have been asked to call the Department of Health hotline (02) 8651 7800 local 1149 o 1150 for referral to a health facility. 
According to Duque, the recovery of patients in critical condition is slow.
""Based on the experience, the clinical condition on severe cases as reported in China, it takes a very long time for them to recover from 3 to 6 weeks when critical. If mild, it's about 2 to 3 weeks,"" he said.
The first 3 COVID-19 cases in the Philippines involved Chinese nationals with history of travel to Wuhan, China, epicenter of the outbreak. One of them died of severe pneumonia on Feb. 1 while 2 recovered and have returned home. 
The fourth case, a 48-year-old Filipino man, had traveled to Japan, which has recorded 349 confirmed cases and 6 deaths from the illness. 
Health assistant secretary Maria Rosario Vergeire said the Philippines had 5 sub-national laboratories capable of diagnosing the virus.
These are the San Lazaro Hospital and Lung Center of the Philippines in Manila, Baguio General Hospital and Medical Center in Northern Luzon, Vicente Sotto Memorial Medical Center in the Visayas, and Southern Philippines Medical Center in Mindanao.
The country also has testing kits capable of completing about 2,500 procedures, Carlos added.
Duque also appealed to stakeholders to exercise utmost prudence in sharing sensitive information about suspected or confirmed cases of COVID-19.
“Our objectives for sharing information are 2-pronged: ensure the public's health and safety by facilitating contact tracing and ensure that the individual’s right to privacy is not impinged. Hence, we appeal to all to coordinate closely with the Department of Health when disseminating information to the public and within their respective institutions. Let us make sure the information sharing process will yield the utmost benefit, and avoid unnecessary stress and stigma to individuals and institutions,"" the health chief said.

 
"
,Mar 07 2020,nCov,"Elderly must take extra precaution, avoid travel amid coronavirus outbreak - seniors' House rep",ABS-CBN News,"



MANILA - Senior citizens must take extra precaution and avoid non-essential travel amid the novel coronavirus epidemic as they are at higher risk of contracting the disease, a lawmaker representing the elderly said Saturday.
Older adults must also practice prevention measures such as frequent proper handwashing and bathing regularly, said Senior Citizens party-list Rep. Francisco Datol Jr.
If experiencing symptoms of the coronavirus disease 2019 (COVID-19), they must immediately go to the nearest hospital, he added.
""Delaying going to see the doctor may lead to untimely sickness or death,"" Datol said.
Cleaning the house and surroundings, especially areas where germs are more likely to spread, must also be observed.
The lawmaker also called on village officials to check the condition of their elderly constituents.
""Seniors are very active voters. It is but right that public servants reciprocate with even more vigor to attend to the needs of the elderly,"" Datol added.
The most common symptoms of the fast-spreading illness are fever, tiredness and dry cough, the World Health Organization (WHO) said. 
Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea, the United Nation's health agency added.
""Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness,"" WHO said.

Philippines' new coronavirus cases now at 5, including potential local transmission

As of Friday, the Philippines has 5 confirmed cases of COVID-19- 3 Chinese nationals and 2 Filipinos.
The latest confirmed infection is a 62-year-old Filipino man who experienced coughs on Feb. 25 and was brought to a Manila hospital on March 1 with severe pneumonia. He tested positive of the virus on March 5.
The United States' Centers for Disease Control and Prevention (CDC) said the elderly population were twice as likely to have serious COVID-19 illness. 
""As people age, their immune systems change, making it harder for their body to fight off diseases and infection,"" the US national public health institute said.
""Many older adults are also more likely to have underlying health conditions that make it harder to cope with and recover from illness,"" CDC added.
"
,Mar 06 2020,nCov,Japan to void 2.8 million visas for Chinese amid coronavirus fears,ABS-CBN News,"


People wearing face masks, following an outbreak of coronavirus, enjoy watching cherry blossom in Saitama Prefecture, Japan, March 6, 2020. Athit Perawongmetha, Reuters


TOKYO - Japan will render void 2.8 million visas already issued to Chinese nationals and 17,000 visas issued to South Korean nationals from Monday as part of efforts to contain the coronavirus outbreak, the Foreign Ministry said Friday.
Tens of thousands have been infected by the acute respiratory disease in China, the epicenter of the outbreak, while South Korea has seen the second highest number of cases of the virus. 
More details to follow.
"
,Mar 06 2020,nCov,Netherlands records 1st death in coronavirus outbreak,Agence France-Presse,"


People are seen at the entrance of the Amsterdam Medisch Centrum (AMC), following a new case of coronavirus confirmed in the country, in Amsterdam, the Netherlands, Feb. 28, 2020. Eva Plevier, Reuters



THE HAGUE - The Netherlands has recorded its first death in the novel coronavirus outbreak, Dutch health officials said Friday.
""An 86-year-old man with COVID-19 who was admitted to the Ikazia hospital in Rotterdam has died. This is the first patient in the Netherlands to die of the coronavirus,"" the National Institute for Public Health said in a statement, adding the source of his contamination was unknown.
More details to follow.
 
"
,Mar 06 2020,nCov,First Filipino coronavirus patient in Hong Kong released from hospital,ABS-CBN News,"


People wear protective masks as they walk outside a shopping mall at Causeway Bay, following the outbreak of the new coronavirus, in Hong Kong, China, Feb. 21, 2020. Tyrone Siu, Reuters


MANILA - The first Filipino patient infected by the novel coronavirus (COVID-19) in Hong Kong has been discharged from the hospital. 
""She is healthy and has since returned to her employer’s home,"" Philippine Consulate General in Hong Kong Raly Tejada said.
The Filipino domestic helper contracted the disease from her now-deceased employer, a 39-year-old man who traveled to Wuhan and returned to Hong Kong in January. 
The other 2 Filipino migrant workers, who are still in quarantine after contracting the disease, are also expected to be released soon.
""We expect them to be released soon as they remain healthy and asymptomatic,"" Tejada added.
The Philippine health department said more than 80 Filipinos abroad have tested positive for COVID-19. Most of them were aboard the Diamond Princess cruise ship in Japan.
The novel coronavirus, believed to have originated from the Chinese city of Wuhan, has infected more than 95,000 people and killed nearly 3,300 worldwide, mostly in China.
Hong Kong, where some 240,000 Filipinos work, has recorded 104 positive cases of COVID-19 and 2 deaths, data from the World Health Organization showed. -- report from Jan Yumul, ABS-CBN News 
 
"
,Mar 05 2020,nCov,FIFA: Asian World Cup football qualifiers face postponement over COVID-19,Agence France-Presse,"


A ""formal proposal"" has been circulated among Asian countries, FIFA said after talks with the Asian Football Confederation, with a decision expected in the coming days. Arnd Wiegmann, Reuters/file


FIFA and Asia's football governing body are considering postponing upcoming World Cup qualifiers over the novel coronavirus, a statement said on Thursday.
A ""formal proposal"" has been circulated among Asian countries, FIFA said after talks with the Asian Football Confederation, with a decision expected in the coming days.
""For both FIFA and the AFC, the well-being and health of all individuals involved in football matches remains the highest priority, and as such, a formal proposal to postpone upcoming matches in the Asian FIFA World Cup 2022 and AFC Asian Cup 2023 qualifiers will now be shared with the relevant member associations,"" the FIFA statement said.
""FIFA and the AFC will provide an update on these fixtures in the coming days following consultation with the AFC member associations.""
The women's Olympic playoff between China and South Korea, both hard-hit by the virus, is also up for discussion, as well as the AFC Futsal Championship in Turkmenistan.
Asia's next qualifiers for the 2022 World Cup and 2023 Asian Cup are scheduled for March 26 and 31. The women's Olympic playoff, already postponed once, is set for April 9 and 14 and the futsal championship is due to start on February 26.
Asian football has been badly disrupted by the COVID-19 epidemic, with the region's Champions League club competition thrown into chaos and leagues suspended in China, South Korea and Japan.
For more sports coverage, visit the ABS-CBN Sports website.
"
,Mar 05 2020,nCov,Woman positive of coronavirus after trip to PH - Australian gov't,ABS-CBN News,"
MANILA - An elderly woman contracted the novel coronavirus after traveling to the Philippines, the Australian government said Wednesday.
The patient, in her 60s, is among the new 6 confirmed cases of coronavirus disease 2019 (COVID-19) in New South Wales (NSW), bringing number of infected in Australia's southeastern state to 22.
""Her travel details are being obtained and will be disclosed if she posed a risk to any other passengers on her flight,"" the NSW government said on its website.
""NSW Health is continuing to find and respond to cases as they are diagnosed to slow any spread of COVID-19 in the community,"" it added.
As of Thursday, March 4, data from the World Health Organization showed that Australia has at least 43 confirmed cases and 1 death of COVID-19.
Meanwhile, the Philippines has recorded 3 positive cases of coronavirus, all of which were Chinese nationals who came from Wuhan City, where the fast-spreading illness first originated.
"
,Mar 05 2020,nCov,USAID pledges funds to PH in fight vs coronavirus,ABS-CBN News,"


Members of Filipino Nurses United call for the government’s transparency and ask for protective gear for nurses working at the front-lines in containing the spread of the 2019 Novel Coronavirus during a general meeting at the Philippine General Hospital on Feb. 6, 2020. Jonathan Cellona, ABS-CBN News


MANILA - The US Agency for International Development (USAID) has pledged millions of dollars of financial assistance to several countries, including the Philippines, to fight the coronavirus disease 2019 (COVID-19) epidemic.
The Philippines is among 25 beneficiary countries of the $37 million fund from USAID's Emergency Reserve Fund for Contagious Infectious Diseases, the aid agency said.
The funds will be used to to prepare laboratories for large-scale testing for COVID-19, train and equip rapid response teams and investigate cases and trace the contacts of infected persons, among others.
Financing will be distributed to the World Health Organization (WHO), other multilateral institutions, and programs led by USAID's implementing partners.
""These are the first US Government funds committed from the pledge of up to $100 million announced by the US Department of State on Feb. 7, 2020,"" USAID said in a statement released Monday.
Other beneficiary countries are Angola, Indonesia, Iraq, Kazakhstan, Kenya, South Africa, Tajikistan, Turkmenistan, Uzbekistan, Zambia, Zimbabwe, Bangladesh, Burma, Cambodia, Ethiopia, Laos, Mongolia, Nepal, Nigeria, Pakistan, Thailand, and Vietnam.
USAID will also distribute to coronavirus-affected countries personal protective equipment (PPE), such as goggles, gowns, face shields and gloves, that came from many US private-sector entities.
As of Wednesday, March 4, the WHO said the novel coronavirus has infected more than 93,000 and killed nearly 3,200 people -- majority from China.
In the Philippines, there were 3 confirmed cases of COVID-19 while 39 others are being monitored.
"
,Mar 03 2020,nCov,France shuts dozens of schools in bid to contain coronavirus,Agence France-Presse,"


French government and officials including French Foreign Affairs Minister Jean-Yves Le Drian (1st-L), French Economy and Finance Minister Bruno Le Maire (2nd-L), French Prime Minister Edouard Philippe (3rd-L), French Health and Solidarity Minister Olivier Veran (4th-L) and French President Emmanuel Macron (3rd-R) attend a defense council concerning the coronavirus outbreak, in Paris, France, Feb. 29, 2020. Jean-Claude Coutausse, Pool/Reuters


PARIS - French officials have closed down about 120 schools in areas that have reported the largest numbers of coronavirus infections, and more could be shuttered in the coming days, Education Minister Jean-Michel Blanquer said Tuesday.
Both primary and secondary schools have been shut in the Oise department north of Paris, where the main cluster of French cases has emerged, and where 2 people who have died of the virus lived. 
Officials have reported 191 coronavirus cases in France so far, and 3 deaths.
The Oise closures are affecting about 35,000 pupils, Blanquer told LCI television, while an additional 9,000 have been told to stay home in the Morbihan department of Brittany on the Atlantic coast.
One class of some 20 students has been suspended in Montreuil, a suburb just east of Paris, after a pupil tested positive for the virus, Blanquer said.
The Oise schools will remain closed until further notice, while Morbihan authorities have ordered doors shut until at least March 14.
""These figures are evolving quickly,"" Blanquer said, adding: ""There could be similar measures taken in the coming days"" at other schools.
Authorities have already halted all class trips outside the country, and prohibited any gatherings of more than 5,000 people in enclosed spaces.
Schools are increasing stocks of soap for washing hands, but Blanquer said there were no plans to order a nationwide school shutdown, for now.
""It wouldn't make sense to confine everyone, to paralyze the country, it would be counter-productive,"" he said.
President Emmanuel Macron, who is scheduled to visit the health ministry's crisis management center on Tuesday, has called off several events this week as France scrambles to contain the outbreak.
Contagion fears have led to shortages of sanitizing hand gels and face masks, with suppliers racing to replenish stocks even though much of the production is in China, where authorities have closed thousands of factories after the coronavirus emerged there in December.
Demand for thermometers has also soared, with one French producer, STIL, relaunching production at its factory south of Paris for the first time in 15 years after having moved manufacturing to Chinese partners.
""We can't do without China completely, but with this coronavirus the balance could shift for French companies to not be completely reliant"" on Chinese producers, STIL's president Gerard Lux told AFP.
"
,Mar 03 2020,nCov,No Filipino with coronavirus yet in Italy - DFA,ABS-CBN News,"


An empty canal is seen after the spread of coronavirus has caused a decline in the number of tourists in Venice, Italy, March 1, 2020. Manuel Silvestri, Reuters


MANILA - All Filipinos living in Italy are free from the coronavirus disease 2019 (COVID-19) amid the rise of cases there, the Philippine foreign ministry said Tuesday.
""Based on reports from our posts in Rome and Milan as of today, no Filipinos have been reported as affected by COVID - PUM [person under monitoring], PUI [patient under investigation] or COVID positive,"" said Assistant Secretary Eduardo Meñez of the Department of Foreign Affairs' Office of Strategic Communication and Research.
The death toll from coronavirus in Italy jumped to 52 on Tuesday (Manila time) from 34 the day before.
The increase in deaths was the largest since the outbreak surfaced 10 days ago in the wealthy northern regions of Lombardy and Veneto.
Lombardy, around Italy's financial capital Milan, is by far the hardest hit, with 38 casualties.
The virus has since spread south but the vast majority of cases remain centered on the original hotspots, with the addition of Emilia Romagna, another affluent region which borders on both Lombardy and Veneto and now has more cases than Veneto.
In total, 2,036 people have tested positive in Italy, up from 1,694 on Sunday. Of these, 149 have recovered, the civil protection agency said. - With reports from Willard Cheng, ABS-CBN News and Gavin Jones and Angelo Amante, Reuters
"
