source_id,date,category,title,author,text
,"March 1, 2020, 8:43 PM",nCov,Abu Dhabi hotels allow some guests to leave after coronavirus scare,By Reuters,"By Reuters DUBAI – Two luxury hotels in Abu Dhabi, which had been in lockdown amid concerns about the coronavirus during a professional cycling event, allowed some guests to leave on Sunday after they tested negative for the disease, company spokespersons said.  Exterior view of the Crowne Plaza hotel, where two Italian cyclists participating in the UAE Tour tested positive for COVID-19 coronavirus, at Yas Island in Abu Dhabi, United Arab Emirates, February 29, 2020. (REUTERS / Satish Kumar / MANILA BULLETIN) The W Abu Dhabi and the Crowne Plaza Abu Dhabi had been placed under lockdown on Friday as authorities screened all guests, including scores of professional cyclists. There were concerns they might have interacted with two Italian cyclists who were suspected of contracting the disease. The guests at the two hotels, on Yas Island in the United Arab Emirates’ capital, included 140 professional cyclists participating in the final two stages of the UAE Tour, which was also canceled after the tests. “No cases have been confirmed at the Crowne Plaza Abu Dhabi Yas Island. We are working closely with the local authorities to facilitate the departure of remaining guests,” a spokeswoman of the hotel said. W Abu Dhabi said some guests at the hotel were cleared to leave the property following their screening results. “All other guests (will) remain in the hotel pending their screening results and clearance from authorities,” a spokeswoman said. “We will resume normal operations as soon we have clearance from the authorities.” The Abu Dhabi government did not respond to a Reuters request for comment. Some guests, including professional cyclists, took to Twitter to say they were allowed to leave on Sunday after they tested negative for the virus. The UAE, a regional business hub and major transit point for passengers traveling to China and other destinations in Asia, has reported 21 cases of the coronavirus so far but no fatalities. Five of those people have now recovered. The Gulf state’s education ministry announced the suspension of nursery school classes while Dubai’s Emirates Group asked staff to take paid and unpaid leave over coronavirus scare, according to an internal email seen by Reuters. The majority of infections in the Gulf Arab countries have been linked to visits to Iran or involve people who have come into contact with people who had been there. READ MORE: Qatar reports its first coronavirus in man who returned from Iran Tags: ncov"
,"March 1, 2020, 8:36 PM",nCov,Coronavirus cases in Germany jump to 117,By Reuters,"By Reuters BERLIN – The number of confirmed coronavirus cases in Germany has jumped to 117 from 66, the Robert Koch Institute for disease control said on Sunday. A German government crisis committee has widened cross-border travel guidelines and canceled major international events, and the health minister has advised people with cold symptoms to stay away from mass events. More than half of the cases are in North Rhine-Westphalia, Germany’s most populous state where several schools and daycare centers will be closed on Monday to try to prevent the spread of the virus after staff members tested positive. Interior Minister Horst Seehofer told the mass-selling Bild am Sonntag newspaper that he expected a vaccine for the coronavirus to be available by the end of the year. Asked if Germany would be ready to lock down cities and regions to control the epidemic, Seehofer said: “This would be the last resort.” He did not say what needs to happen for Germany to enact such drastic measures. Finance Minister Olaf Scholz said in remarks published on Sunday that Germany would be in a position to introduce fiscal stimulus measures should the coronavirus spark a global economic crisis. READ MORE: German states report total of 22 new coronavirus cases Tags: ncov"
,"March 1, 2020, 7:24 PM",nCov,"Iran reports 11 new virus deaths, taking total to 54",By Agence France-Presse,"By Agence France-Presse Iran’s health ministry on Sunday reported 11 new deaths from the novel coronavirus and 385 infections, bringing the overall number of lives lost to 54 and cases to 978. “Eleven people lost their lives” in the past 24 hours, spokesman Kianoush Jahanpour told a televised news conference, adding that testing across the country showed there were 385 new cases. READ MORE: Iran reports 8 new coronavirus deaths, 34 in total   Tags: ncov"
,"March 1, 2020, 6:37 PM",nCov,South Africa to airlift 151 from virus-infected China within days,By Agence France-Presse,"By Agence France-Presse South Africa will evacuate 151 citizens from the coronavirus-hit Chinese city of Wuhan within days, the health minister said Sunday, as the death toll and number of infected worldwide mounted. The virus has spread to more than 60 countries around the globe — killing nearly 3,000 people and sickening 87,000 — prompting the World Health Organization to raise its risk assessment to its highest level. The decision to airlift the trapped South Africans came after President Cyril Ramaphosa on Thursday directed the repatriation of those who have asked to return home. “We were asked by the president to start the process immediately  — (so) within seven to 10 days (the evacuation team) must have completed the task,” Health Minister Zweli Mkhize said. The minister told a news conference at the country’s main OR Tambo International airport that there were 201 South Africans in Wuhan — the epicentre of the virus, and that “151 have indicated they want to be repatriated”. The group will be kept in quarantine for 21 days at a site authorities have refused to disclose. “The people we are bringing in are South Africans who are healthy and as far as we are concerned, are not infected,” Mkhize said. The repatriation process will be executed by the military. South Africa will be the latest country to extricate its nationals from Wuhan, where the deadly coronavirus outbreak first emerged in December. Until Friday when a case was detected in Nigeria, sub-Saharan Africa had largely escaped the fast-spreading epidemic. READ MORE: Coronavirus study pinpoints African nations’ vulnerabilities   Tags: ncov"
,"March 1, 2020, 6:02 PM",nCov,3 repatriates from cruise ship show symptoms of COVID-19,By Analou De Vera,"By Analou De Vera Three more repatriates from the M/V Diamond Princess cruise ship have exhibited symptoms of respiratory illness, bringing the total number to 13, an official of the Department of Health (DOH) said Sunday. In a text message, Health Assistant Secretary Maria Rosario Vergeire said 10 out of the 13 repatriates have tested negative for the coronavirus disease 2019 (COVID-19). The test results of the three others remain pending. The health official was unable to give further details about the symptoms experienced by the three repatriates. The DOH previously reported that eight repatriates experienced sore throat, while another repatriate had “non-productive cough”. The health department said that  445 Filipinos were repatriated from the M/V Diamond Princess cruise ship. They are currently quarantined at the Athletes Village in New Clark City in Capas, Tarlac. The 13 members of the Philippine repatriation team were also put on quarantine at the said facility. Tags: ncov"
,"March 1, 2020, 5:51 PM",nCov,"UK steps up coronavirus planning, may bring doctors out of retirement",By Reuters,"By Reuters LONDON – Britain is planning for the global coronavirus epidemic to get worse, health minister Matt Hancock said on Sunday, describing the outbreak as a “very, very significant challenge”.  Britain’s Secretary of State for Health and Social Care Matt Hancock leaves Downing Street in London, Britain February 6, 2020. (REUTERS / Peter Nicholls / File Photo / MANILA BULLETIN) Prime Minister Boris Johnson will chair a meeting of the government’s emergency response committee on Monday, signaling a stepping up of Britain’s preparation for the epidemic which began in China, where authorities estimate it has killed almost 3,000 people worldwide. “We’ve got a clear strategy for dealing with coronavirus – a very, very significant challenge,” Hancock told Sky News. “We’re also planning in case this gets worse, much worse.” If the virus becomes more widespread, the government will look at registering retired health workers to work again, and whether encouraging people to work at home could delay its peak until summer when it can be more easily dealt with. Britain currently has 23 confirmed coronavirus cases, and Hancock said on Sunday it was still in a containment phase. The issue will become a standing item for all cabinet meetings and there will be more media briefings from health officials. Johnson wrote in the Sun newspaper that it was right to be concerned about the possible spread of the virus, but said a visit to a British hospital had left him “100 per cent confident in the medical resilience” The government is launching a new public information campaign this week, encouraging people to wash their hands for at least 20 seconds, and to do so more often than normal. Tags: ncov"
,"March 1, 2020, 6:14 PM",nCov,Italy prepares deficit hike to tackle coronavirus impact,By Reuters,"By Reuters ROME – Italy will introduce this week measures worth 3.6 billion euros ($3.5 billion) to help the economy withstand the largest outbreak of coronavirus in Europe, Economy Minister Roberto Gualtieri said on Sunday.  Italy’s Minister of Finance Roberto Gualtieri attends a one day Italo-Franco summit in Naples, Italy February 27, 2020. (REUTERS / Ciro De Luca / File Photo / MANILA BULLETIN) In an interview with La Repubblica newspaper, Gualtieri said this amounted to 0.2 percent of gross domestic product (GDP) and would come on top of an aid-package worth 900 million euros that was unveiled on Friday for the worst-impacted areas. Gualtieri said the new bill would include tax credits for companies that reported a 25 percent drop in revenues, tax cuts and additional funds for the health service. Italy has registered more than 1,100 confirmed cases of coronavirus since the contagion came to light in wealthy northern regions on Feb. 20 and at least 29 people have died. The economy minister said he was confident the European Union would approve the necessary hike in Italy’s official deficit target, adding eurogroup ministers would talk mid-week by telephone about the situation. Italy has the biggest debt pile in the euro zone after Greece, but Gualtieri said public finances were solid and predicted the 2019 budget deficit would come in at between 1.6 percent – 1.7 percent of GDP against an original target of 2.2 percent. The official data for 2019 is due to be released on Monday. Italy had forecast a deficit of 2.2 percent for this year, based on the assumption the economy would grow 0.6 percent in 2020. The government has yet to revise the growth forecast but analysts are saying a recession looks inevitable. The respected REF Ricerche think tank has warned the crisis could cut national output by 1 percent – 3 percent in the first half of 2020. READ MORE: Italy coronavirus cases rise to 888, of which 46 have recovered: official Tags: ncov"
,"March 1, 2020, 5:07 PM",nCov,"Kuwait confirms new coronavirus case, brings total to 46: health ministry",By Reuters,"By Reuters KUWAIT – Kuwait has confirmed a new case of coronavirus infection, bringing the total number of people diagnosed with the disease in the country to 46, a health ministry official told a media conference on Sunday. The majority of the cases, including the one identified in the past 24 hours, are either people who had traveled to Iran or been in contact with people who were there, she said. READ MORE: Kuwait reports three new cases of coronavirus, raising total to eight Tags: ncov"
,"March 1, 2020, 4:56 PM",nCov,Buses send groceries to neighborhoods in epidemic-hit Wuhan,By Xinhua,"By Xinhua WUHAN — More than 800 buses have been enlisted to send groceries to neighborhoods in Wuhan, the city hardest-hit by the novel coronavirus (COVID-19) outbreak and capital of central China’s Hubei Province.  A medical worker in protective suit inspects a CT scan image at a ward of Wuhan Red Cross Hospital in Wuhan, the epicentre of the novel coronavirus outbreak, in Hubei province, China February 24, 2020. (China Daily via REUTERS / FILE PHOTO / MANILA BULLETIN) This has been one of the measures recently taken by the Hubei provincial department of commerce to ensure the “last milage” deliveries of daily necessities to the city’s over 10 million residents. The city has imposed tough measures to contain the pathogen, restricting residents to self-quarantine at home. All urban public transportation services and outbound traffic channels at the airport and rail stations have been closed in the city since Jan. 23, two days before the Spring Festival, or the Chinese Lunar New Year, to curb the spread of the deadly pathogen. To facilitate residents’ daily life, the provincial department of commerce has taken a variety of measures including organizing suppliers to pack every three varieties of vegetables into a parcel each weighing around 5 kg and with a price of 10 yuan (about 1.43 US dollars) for household consumption. Daily deliveries of such vegetable parcels in the city have reached 200,000 bags. More than 1,800 tons of meat have recently been put into the market in Wuhan, with prices 15 percent lower than the ordinary market price, according to the department. The authorities have allowed the Baishazhou Wholesale Market in the city to open three aquatic products sales outlets. There are more than 30 e-commerce platforms providing home deliveries of fresh fruits, vegetables, and daily necessities to citizens in Wuhan, with a daily distribution volume of about 300,000 orders. READ MORE: China reports 47 more coronavirus deaths Tags: ncov"
,"March 1, 2020, 4:50 PM",nCov,South Korea wages ‘all-out responses’ to virus with 586 new cases,By Agence France-Presse ,"By Agence France-Presse  South Korean President Moon Jae-in said Sunday the government was waging “all-out responses” to contain the novel coronavirus as the country added 586 more cases, taking the total to 3,736.  South Korean President Moon Jae-In  (AFP Photo/Jung Yeon-je/MANILA BULLETIN FILE PHOTO) South Korea has the largest national total in the world outside China, after it saw a rapid surge in the number of coronavirus cases in recent days. Scores of events have been canceled or postponed over the contagion, while the country’s central bank has warned of a minus growth in the first quarter for the world’s 12th-largest economy, noting the epidemic will hit both consumption and exports. “The government is now waging all-out responses after raising the crisis alert to the highest level,” Moon said at an Independence Movement Day ceremony, scaled down due to the outbreak. “We will be able to overcome the COVID-19 outbreak and revive our shrunken economy,” he added. Samsung Electronics suspended operations at its domestic smartphone plant in Gumi — 200 kilometres (210 miles) southeast of Seoul — on Saturday for the second time in a week, after a third employee tested positive for the virus. Auto giant Hyundai Motor also stopped operations at one of its Ulsan plants after an employee tested positive for the coronavirus. Concerts by K-pop superstars BTS and the World Team Table Tennis Championships were among canceled events, while sports leagues have modified their seasons to contain the virus. K-pop star CHUNG HA was placed in self-quarantine when a member of her staff tested positive after visiting Italy last month, Yonhap news agency reported. The singer tested negative. Nearly 90 percent of the cases were in Daegu, the center of the country’s outbreak, and neighboring North Gyeongsang province, the Korea Centers for Disease Control and Prevention said in a statement. The country reported one more death Sunday, taking the total death toll to 18. South Korea has an advanced health system and a free media, factors observers say improve the reliability of its statistics, with the numbers expected to rise as it checks more than 260,000 people associated with the Shincheonji Church of Jesus. A 61-year-old female member developed a fever on February 10, but attended at least four church services in Daegu — the country’s fourth-largest city with a population of 2.5 million — before being diagnosed. Around 60 percent of the cases were linked to the entity, the KCDC said. “Until now, the COVID-19 outbreak in the country has been excessively led by a specific group,” said KCDC vice director Kwon Jun-wook. Shincheonji apologized Sunday on behalf of its members who had kept their religion secret, adding: “It will be hard for our devotees to reveal their identity when political leaders… are recklessly criticizing Shincheonji as the epicenter.” Daegu has filed a police complaint against the local branch of the sect for submitting an incomplete list of its members, while other provincial governments have warned of taking similar action. The city’s streets have been largely deserted for days, aside from long queues at the few shops with masks for sale, with authorities urging the public to exercise caution. “The best way to prevent the COVID-19 is for the citizens to refrain from going outside,” said Daegu mayor Kwon Young-jin. But officials say they are not considering a citywide quarantine similar to Wuhan’s lockdown, where the virus first emerged. The new school term start has been delayed one week nationwide and three weeks in Daegu, while the US and South Korean militaries have postponed forthcoming joint exercises. Tags: ncov"
,"March 1, 2020, 4:30 PM",nCov,China says will repatriate overseas citizens if needed due to coronavirus,By Reuters,"By Reuters BEIJING – China will take measures to repatriate its citizens in countries seriously affected by the coronavirus outbreak if necessary, an official at the country’s foreign ministry said on Sunday.  People coming from the Hubei province wait at a checkpoint at the Jiujiang Yangtze River Bridge in Jiujiang, Jiangxi province, China, as the country is hit by an outbreak of a new coronavirus, February 1, 2020. (REUTERS / Thomas Peter / FILE PHOTO / MANILA BULLETIN) Cui Aiming, the foreign ministry official who spoke at a briefing in Beijing, did not name any particular countries. READ MORE: China reports 47 more coronavirus deaths Tags: ncov"
,"March 1, 2020, 4:27 PM",nCov,Malaysia’s health ministry says four new cases of coronavirus confirmed,By Reuters,"By Reuters KUALA LUMPUR – Malaysia’s health ministry said on Sunday the country has four new confirmed cases of coronavirus, bringing the total number of infections in the country to 29.  People wearing protective face masks cross a street in Hong Kong on February 9, 2020, as a preventative measure after a coronavirus outbreak which began in the Chinese city of Wuhan. (DALE DE LA REY / AFP / FILE PHOTO / MANILA BULLETIN) All of the new cases were Malaysians, two of whom had travel history to China and Italy. Of Malaysia’s total cases, 22 patients have recovered and been discharged from hospital. READ MORE: Malaysia confirms fourth case of coronavirus infection Tags: ncov"
